strategy,old_rows,new_rows,common_rows,old_start,new_start,old_end,new_end,return_max_abs_diff,return_different_days,nav_max_abs_diff,nav_different_days,turnover_max_abs_diff,turnover_different_days,cost_max_abs_diff,cost_different_days,exposure_effective_max_abs_diff,exposure_effective_different_days,drifted_exposure_before_trade_max_abs_diff,drifted_exposure_before_trade_different_days,final_exposure_after_overheat_max_abs_diff,final_exposure_after_overheat_different_days,position_different_days,actual_position_next_different_days,actual_position_before_different_days,new_cap_days,best_candidate_different_days,raw_score_max_abs_diff
V1.1,3562,3562,3562,2011-12-09,2011-12-09,2026-08-11,2026-08-11,0.0005416416955179582,344,0.36071312053360316,3435,0.029628043121296743,111,2.9628043121296757e-05,111,0.029339853300733854,324,0.029628043121296743,324,0.029339853300733854,324,0,0,0,73.0,,
V1.3,4764,4764,4764,2007-01-04,2007-01-04,2026-08-11,2026-08-11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,,0.0,6.764366844436154e-12
