code,name,source,adjustment,source_detail,first,last,rows
159915.SZ,CYB100_ETF,Tencent fqkline,qfq/front-adjusted,qfqday,2011-12-09,2026-08-11,3561
159941.SZ,NASDAQ_ETF,Tencent fqkline,qfq/front-adjusted,qfqday,2015-07-13,2026-08-11,2693
513030.SH,GERMANY_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,adjust=qfq,2014-09-05,2026-08-11,2897
513520.SH,NIKKEI_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,adjust=qfq,2019-06-25,2026-08-11,1731
159985.SZ,SOYMEAL_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,adjust=qfq,2019-12-05,2026-08-11,1620
518880.SH,GOLD_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,adjust=qfq,2013-07-29,2026-08-11,3170
