candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,r2_execution_threshold,switch_buffer,buffer_label,entry_fraction,entry_label,ann_return_full,ann_vol_full,max_dd_full,sharpe_repo_full,trades_full,cost_total_full,turnover_total_full,holding_day_ratio_full,avg_holding_fraction_full,partial_position_days_full,pending_days_full,staged_initials_full,staged_fills_full,reason_full,ann_return_last_10y,ann_vol_last_10y,max_dd_last_10y,sharpe_repo_last_10y,trades_last_10y,cost_total_last_10y,turnover_total_last_10y,holding_day_ratio_last_10y,avg_holding_fraction_last_10y,partial_position_days_last_10y,pending_days_last_10y,staged_initials_last_10y,staged_fills_last_10y,reason_last_10y,ann_return_last_5y,ann_vol_last_5y,max_dd_last_5y,sharpe_repo_last_5y,trades_last_5y,cost_total_last_5y,turnover_total_last_5y,holding_day_ratio_last_5y,avg_holding_fraction_last_5y,partial_position_days_last_5y,pending_days_last_5y,staged_initials_last_5y,staged_fills_last_5y,reason_last_5y,ann_return_last_3y,ann_vol_last_3y,max_dd_last_3y,sharpe_repo_last_3y,trades_last_3y,cost_total_last_3y,turnover_total_last_3y,holding_day_ratio_last_3y,avg_holding_fraction_last_3y,partial_position_days_last_3y,pending_days_last_3y,staged_initials_last_3y,staged_fills_last_3y,reason_last_3y,ann_return_last_1y,ann_vol_last_1y,max_dd_last_1y,sharpe_repo_last_1y,trades_last_1y,cost_total_last_1y,turnover_total_last_1y,holding_day_ratio_last_1y,avg_holding_fraction_last_1y,partial_position_days_last_1y,pending_days_last_1y,staged_initials_last_1y,staged_fills_last_1y,reason_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,layer4_pass,pass_reason
lb_28_r2_none_buf_1p15_entry_full,lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,1.0,full,0.11491115745741753,0.22444959487718605,-0.3222439454451812,0.5972009503108334,234.0,0.399,399.0,0.9095394736842105,0.9095394736842105,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04097633863827488,0.21982590123840529,-0.32224394544518065,0.29315552263208416,131.0,0.224,224.0,0.9277777777777778,0.9277777777777778,0.0,0.0,0.0,0.0,,0.001400496187055733,0.2204848046955584,-0.32224394544518187,0.11742812059725317,81.0,0.136,136.0,0.9325396825396826,0.9325396825396826,0.0,0.0,0.0,0.0,,-0.21561064825941278,0.2068938607722528,-0.29593970491665655,-1.0683849867364446,28.0,0.048,48.0,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/full entry
lb_28_r2_none_buf_1p15_entry_0p75,lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.75,0p75,0.11266655415225668,0.2156223280226824,-0.30365446368566806,0.6031996571284222,412.0,0.388,388.0,0.9095394736842105,0.8666735197368421,417.0,417.0,200.0,178.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04629291453254747,0.20913549587920208,-0.30110622783603724,0.32136296016157795,230.0,0.21725,217.25,0.9277777777777778,0.8837301587301587,222.0,222.0,112.0,99.0,,0.020449241573620602,0.20861678982555903,-0.30110622783603713,0.20193857887847694,143.0,0.13275,132.75,0.9325396825396826,0.8912037037037037,125.0,125.0,68.0,62.0,,-0.18180684896375943,0.19871984432305914,-0.269197883587211,-0.9087727185570582,49.0,0.0465,46.5,0.9523809523809523,0.9077380952380952,45.0,45.0,24.0,21.0,,-0.22446033051608527,1.8589481759513138,178.0,,,,0.531657589427259,2.1137717609143403,99.0,1.904874538656487,2.1137717609144735,62.0,3.380379929565336,2.674182132944558,21.0,4,True,True,True,pass
lb_28_r2_none_buf_1p15_entry_0p67,lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.67,0p67,0.1118150663290618,0.21325725284178823,-0.3018411407008377,0.603899496073059,412.0,0.38448,384.48,0.9095394736842105,0.8529564144736842,417.0,417.0,200.0,178.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04784943612934911,0.2062520001760935,-0.29477563941814067,0.33012286131157087,230.0,0.21509,215.08999999999997,0.9277777777777778,0.8696349206349206,222.0,222.0,112.0,99.0,,0.026455075060471955,0.2054039913903138,-0.29477563941814033,0.2303687977259105,143.0,0.13171,131.70999999999998,0.9325396825396826,0.8779761904761904,125.0,125.0,68.0,62.0,,-0.17077495207324533,0.1965259796203136,-0.26049062499894493,-0.8530757230858973,49.0,0.04602,46.019999999999996,0.9523809523809523,0.893452380952381,45.0,45.0,24.0,21.0,,-0.3096091128355738,2.040280474434353,178.0,,,,0.6873097491074232,2.746830602703998,99.0,2.5054578873416222,2.7468306027041534,62.0,4.483569618616745,3.5449079917711623,21.0,4,True,True,True,pass
lb_28_r2_none_buf_1p15_entry_0p50,lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.5,0p50,0.10979307930306637,0.20902465114673838,-0.2988683050357217,0.6031085308510079,412.0,0.377,377.0,0.9095394736842105,0.8238075657894737,417.0,417.0,200.0,178.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.050923338414990305,0.20106858370489478,-0.2814492255977393,0.34789634225463356,230.0,0.21050000000000002,210.5,0.9277777777777778,0.8396825396825397,222.0,222.0,112.0,99.0,,0.03906730105903944,0.19961476698977762,-0.281449225597738,0.29227059392441834,143.0,0.1295,129.5,0.9325396825396826,0.8498677248677249,125.0,125.0,68.0,62.0,,-0.14698318933179866,0.1925920152212142,-0.24174390907913512,-0.7277686843547375,49.0,0.045,45.0,0.9523809523809523,0.8630952380952381,45.0,45.0,24.0,21.0,,-0.5118078154351169,2.3375640409459497,178.0,,,,0.9946999776715426,4.079471984744131,99.0,3.7666804871983706,4.079471984744387,62.0,6.862745892761413,5.419579583752143,21.0,4,True,True,True,pass
lb_28_r2_none_buf_1p15_entry_0p33,lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.33,0p33,0.1074842458704417,0.2059233080489672,-0.2960729721295623,0.5989299801580998,412.0,0.36951999999999996,369.52,0.9095394736842105,0.7946587171052633,417.0,417.0,200.0,178.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.053678836882133485,0.19724908942284922,-0.2683080255228404,0.3640224555250264,230.0,0.20590999999999998,205.91000000000003,0.9277777777777778,0.8097301587301587,222.0,222.0,112.0,99.0,,0.05146888266396088,0.19533656159633953,-0.26830802552284017,0.3550476507977725,143.0,0.12729000000000001,127.29,0.9325396825396826,0.8217592592592594,125.0,125.0,68.0,62.0,,-0.12271301453551475,0.18969653602046163,-0.22266276797567908,-0.59402077925289,49.0,0.043980000000000005,43.980000000000004,0.9523809523809523,0.8327380952380952,45.0,45.0,24.0,21.0,,-0.7426911586975837,2.6170973315618906,178.0,,,,1.2702498243858606,5.393591992234025,99.0,5.006838647690515,5.39359199223417,62.0,9.289763372389803,7.327693694097748,21.0,4,True,True,True,pass
lb_28_r2_none_buf_1p15_entry_0p25,lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.25,0p25,0.10629928953682533,0.20487049660060608,-0.29479256975122814,0.5957188623024303,412.0,0.366,366.0,0.9095394736842105,0.7809416118421053,417.0,417.0,200.0,178.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.054865212637917216,0.19594723070667125,-0.262192769834413,0.370870489220382,230.0,0.20375,203.75,0.9277777777777778,0.7956349206349206,222.0,222.0,112.0,99.0,,0.057229830249120095,0.19387573623193527,-0.2621927698344141,0.3844336738267652,143.0,0.12625,126.25,0.9325396825396826,0.808531746031746,125.0,125.0,68.0,62.0,,-0.11112491826593729,0.1887073428711214,-0.2135666977253129,-0.5286285436140468,49.0,0.043500000000000004,43.5,0.9523809523809523,0.8184523809523809,45.0,45.0,24.0,21.0,,-0.8611867920592209,2.745137569395306,178.0,,,,1.3888873999642337,6.0051175610767675,99.0,5.582933406206436,6.005117561076778,62.0,10.44857299934755,8.237300719134366,21.0,4,True,True,True,pass
lb_28_r2_none_buf_1p08_entry_full,lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,1.0,full,0.12079116377486421,0.22578217947909274,-0.3472784440942456,0.6183054946076274,240.0,0.41100000000000003,411.0,0.9095394736842105,0.9095394736842105,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.03781671878369863,0.2217102607029238,-0.34727844409424535,0.2788225851615269,134.0,0.23,230.0,0.9277777777777778,0.9277777777777778,0.0,0.0,0.0,0.0,,-0.0028757791954699963,0.22358085356808274,-0.3472784440942468,0.09972724867813339,84.0,0.14200000000000002,142.0,0.9325396825396826,0.9325396825396826,0.0,0.0,0.0,0.0,,-0.24166710056174034,0.2079443577977607,-0.3184461773452083,-1.2242309734642032,28.0,0.048,48.0,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/full entry
lb_28_r2_none_buf_1p08_entry_0p75,lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.75,0p75,0.1166430681713011,0.21726415118009554,-0.33393678422100004,0.6167132103144775,423.0,0.39949999999999997,399.5,0.9095394736842105,0.8663651315789473,420.0,420.0,206.0,183.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04560071907475449,0.21189462821881155,-0.33393678422100026,0.31681646798111246,237.0,0.22375,223.75,0.9277777777777778,0.8847222222222222,217.0,217.0,115.0,103.0,,0.019182984885772525,0.21296230764313318,-0.3339367842209996,0.19632526074632428,149.0,0.13874999999999998,138.75,0.9325396825396826,0.8931878306878307,119.0,119.0,71.0,65.0,,-0.2169147236248684,0.20389785024203821,-0.2942390656392545,-1.095269340711903,50.0,0.047,47.0,0.9523809523809523,0.9146825396825397,38.0,38.0,24.0,22.0,,-0.41480956035631067,1.3341659873245537,183.0,,,,0.7784000291055859,1.3341659873245093,103.0,2.205876408124252,1.3341659873247202,65.0,2.4752376936871934,2.42071117059538,22.0,4,True,True,True,pass
lb_28_r2_none_buf_1p08_entry_0p67,lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.67,0p67,0.11518851085930448,0.21498448035515477,-0.33011554597674286,0.6148785886086886,423.0,0.39582,395.81999999999994,0.9095394736842105,0.8525493421052632,420.0,420.0,206.0,183.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04796420732650142,0.20925345947872828,-0.33011554597674286,0.3289174596070071,237.0,0.22175,221.75,0.9277777777777778,0.8709444444444445,217.0,217.0,115.0,103.0,,0.026193506520568066,0.21009835003771582,-0.33011554597674275,0.22869758358588874,149.0,0.13771,137.71,0.9325396825396826,0.8805952380952381,119.0,119.0,71.0,65.0,,-0.20886708670905418,0.20282059730161717,-0.2863394916883141,-1.051807239158713,50.0,0.04668,46.68,0.9523809523809523,0.9026190476190477,38.0,38.0,24.0,22.0,,-0.5602652915559725,1.7162898117502712,183.0,,,,1.0147488542802785,1.716289811750249,103.0,2.9069285716038062,1.7162898117504044,65.0,3.280001385268616,3.210668565689423,22.0,4,True,True,True,pass
lb_28_r2_none_buf_1p08_entry_0p50,lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.5,0p50,0.1118952338618786,0.2109077001332422,-0.3221615150132221,0.6085924004996516,423.0,0.388,388.0,0.9095394736842105,0.8231907894736842,420.0,420.0,206.0,183.0,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.05277983015839727,0.20451164224406604,-0.32216151501322166,0.35412046293953287,237.0,0.2175,217.5,0.9277777777777778,0.8416666666666667,217.0,217.0,115.0,103.0,,0.041007332335807334,0.20494835165594405,-0.3221615150132219,0.2990951492032284,149.0,0.1355,135.5,0.9325396825396826,0.8538359788359788,119.0,119.0,71.0,65.0,,-0.19155995104727852,0.20089361405431988,-0.2693021420921883,-0.9562109045543976,50.0,0.046,46.0,0.9523809523809523,0.876984126984127,38.0,38.0,24.0,22.0,,-0.8895929912985601,2.5116929081023476,183.0,,,,1.4963111374698634,2.51169290810237,103.0,4.388311153127733,2.511692908102492,65.0,5.010714951446182,4.914403525302003,22.0,4,True,True,True,pass
