candidate,line_role,lookback,r2_threshold,r2_label,r2_execution_threshold,switch_buffer,buffer_label,entry_fraction,entry_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,partial_position_days,pending_days,staged_initials,staged_fills,reason
lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,1.0,full,full,Full,2016-12-30,2007-01-04,2432.0,0.11491115745741753,0.22444959487718605,-0.3222439454451812,0.5972009503108334,220.0,234.0,0.399,399.0,0.9095394736842105,0.9095394736842105,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,1.0,full,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,1.0,full,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.04097633863827488,0.21982590123840529,-0.32224394544518065,0.29315552263208416,91.0,131.0,0.224,224.0,0.9277777777777778,0.9277777777777778,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,1.0,full,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.001400496187055733,0.2204848046955584,-0.32224394544518187,0.11742812059725317,51.0,81.0,0.136,136.0,0.9325396825396826,0.9325396825396826,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_full,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,1.0,full,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.21561064825941278,0.2068938607722528,-0.29593970491665655,-1.0683849867364446,12.0,28.0,0.048,48.0,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p75,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.75,0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.11266655415225668,0.2156223280226824,-0.30365446368566806,0.6031996571284222,220.0,412.0,0.388,388.0,0.9095394736842105,0.8666735197368421,417.0,417.0,200.0,178.0,
lb_28_r2_none_buf_1p15_entry_0p75,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.75,0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p75,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.75,0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.04629291453254747,0.20913549587920208,-0.30110622783603724,0.32136296016157795,91.0,230.0,0.21725,217.25,0.9277777777777778,0.8837301587301587,222.0,222.0,112.0,99.0,
lb_28_r2_none_buf_1p15_entry_0p75,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.75,0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.020449241573620602,0.20861678982555903,-0.30110622783603713,0.20193857887847694,51.0,143.0,0.13275,132.75,0.9325396825396826,0.8912037037037037,125.0,125.0,68.0,62.0,
lb_28_r2_none_buf_1p15_entry_0p75,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.75,0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.18180684896375943,0.19871984432305914,-0.269197883587211,-0.9087727185570582,12.0,49.0,0.0465,46.5,0.9523809523809523,0.9077380952380952,45.0,45.0,24.0,21.0,
lb_28_r2_none_buf_1p15_entry_0p67,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.67,0p67,full,Full,2016-12-30,2007-01-04,2432.0,0.1118150663290618,0.21325725284178823,-0.3018411407008377,0.603899496073059,220.0,412.0,0.38448,384.48,0.9095394736842105,0.8529564144736842,417.0,417.0,200.0,178.0,
lb_28_r2_none_buf_1p15_entry_0p67,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.67,0p67,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
