candidate,R2_THRESHOLD,TARGET_VOL,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,decision_hint,stability_label
r2_0.20_no_tv,0.2,,0.2372663548273939,0.2316078596779605,0.573964945916122,0.3924491740866123,0.283900095199473,-0.2512487344344758,-0.2512487344344758,-0.152956658017122,-0.15295665801712177,-0.2512487344344758,1.2427764376715928,1.206863148101138,2.024985530595554,1.7043816926767061,1.3519768188963512,0.18520926288950817,0.18723523134694758,0.23844683045765655,0.20691602957367358,0.19966450791935375,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.20_tv_10,0.2,0.1,0.1311543666694377,0.12662528849068821,0.27072027996406245,0.20741969905848023,0.1650418704162775,-0.13236855897848332,-0.13236855897848332,-0.07541312751316354,-0.07541312751316365,-0.12761749553496127,1.1857533520460144,1.1501293339132668,2.242186441595623,1.7405374320644231,1.456209097802346,0.1089658980525657,0.1088394286520328,0.10959793620613444,0.11192304881401846,0.10900690381163677,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,0.6106363340203386,0.6110863756659798,0.4128338199185335,0.5425253834617341,0.5445481698574101,1.2853375294198803,1.2853375294198803,0.8644658607698166,0.8644658607698166,1.0329715925691296,exploratory,pending
r2_0.20_tv_15,0.2,0.15,0.19788783639161256,0.19073095804495765,0.42578574296729244,0.32049216224231025,0.2524132367646328,-0.19435440613251065,-0.19435440613251065,-0.11174949208434082,-0.11174949208434082,-0.18718206696303663,1.193805700349309,1.1586105830261635,2.2421864415956327,1.7405374320644327,1.4594364442455818,0.16234238445262916,0.1620596129134087,0.16439690430920195,0.16788457322102776,0.1634204247000416,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,0.909016164481749,0.9091185388541229,0.6192507298778002,0.8137880751926011,0.8166032194150274,1.5,1.5,1.2966987911547248,1.2966987911547248,1.5,exploratory,pending
r2_0.20_tv_20,0.2,0.2,0.2619584918958737,0.25047378248032115,0.5662907676879889,0.42865530428390564,0.33056429420607225,-0.24392496290425114,-0.24392496290425114,-0.14718884645208885,-0.14718884645208874,-0.24392496290425125,1.2317227565429953,1.1904023479600234,2.1845374693671173,1.7217411111918886,1.4466598997483606,0.2062453179933774,0.20561036380893397,0.2164491113337464,0.2215459327198312,0.213209410975574,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.1296004345151067,1.1255446055995748,0.8112406577237371,1.0721629979489906,1.0544042921050407,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_25,0.2,0.25,0.2930348231111979,0.2795552948693716,0.6276655673725713,0.49954429262199085,0.3738424762257273,-0.29786742644063746,-0.2978674264406376,-0.1745507533989934,-0.1745507533989935,-0.2978674264406376,1.2147460540376112,1.1706200912254345,2.048979593693228,1.7001844929621344,1.398120312927471,0.23425507419947714,0.2340971332884085,0.2540175945079924,0.2579823373934587,0.24951452665111326,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.2438730315783288,1.23824011315306,0.9601607226214585,1.2242318439832618,1.2064522631136874,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_30,0.2,0.3,0.30947072737136017,0.2961849374886767,0.7044168699474382,0.5421112175075424,0.39393779146326713,-0.34863355152834097,-0.34863355152834097,-0.18856730515524278,-0.18856730515524278,-0.34863355152834097,1.1955560323372765,1.151054741780505,2.0092025300144254,1.6939711045153591,1.3480114025711096,0.2522770201634258,0.2534187964593084,0.2865370403190659,0.2787198910675938,0.27437145430626186,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.302453710259122,1.3004340165027322,1.0963496132146513,1.2995326698794765,1.3010684621247885,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_35,0.2,0.35,0.32153275508581713,0.3091149792286232,0.795387151563758,0.5715841486500624,0.40897869263947695,-0.3595432287018795,-0.3595432287018795,-0.19431946216519513,-0.19431946216519524,-0.3595432287018794,1.1901299183425578,1.1476158907373288,2.0213241831921565,1.7019464419600265,1.33829833373769,0.2637120862327147,0.2657244058254107,0.3150107851984854,0.2906138532342648,0.28711714843580066,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.334290547834888,1.3348986565450693,1.204599830204753,1.341164266878556,1.3475553044174315,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.20_tv_40,0.2,0.4,0.33212390050295837,0.3204763277990561,0.835914341964437,0.5857277189037235,0.4165358746416765,-0.3596955765415192,-0.3596955765415192,-0.21608118262593823,-0.21608118262593823,-0.3596955765415192,1.2014980883776791,1.1609198502875717,1.9870344266006097,1.6878980895308158,1.335376310276328,0.2690798172855955,0.27148865223639895,0.33517334470087157,0.30006926962619745,0.2931061312726965,0.9167888563049853,0.9194444444444444,0.9285714285714286,0.9431216931216931,0.9285714285714286,1.3501664800812527,1.3520849831990704,1.2847075237184409,1.373415022718831,1.3680966326789177,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_no_tv,0.3,,0.22853385342549615,0.22961148810208942,0.5040910007838673,0.3489669268043729,0.26110139787731534,-0.16742624738559664,-0.16742624738559664,-0.1618617928033944,-0.1618617928033944,-0.16742624738559653,1.2277461210192555,1.2175295797853747,1.8837192863761651,1.5886335149212376,1.2954600714475053,0.18108289477845838,0.1837223270112796,0.23129101586118037,0.20127516381891683,0.19361070792992527,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.30_tv_10,0.3,0.1,0.12325755234305702,0.12213685530341878,0.25188125039135967,0.19742203351338583,0.15022372626531721,-0.135878869606621,-0.1358788696066211,-0.07791354621626512,-0.07791354621626512,-0.09412741552394954,1.1122704355460948,1.1064318947571368,2.0909875285610187,1.6549257871491811,1.3339293586187868,0.1099606246904724,0.1096036664149347,0.11041693540544173,0.1127401170240468,0.10943290714581086,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.5936853581751325,0.5909306987632984,0.3954006205128245,0.5249266360016933,0.5268490426666194,1.4127635980570599,1.4127635980570599,0.9499799745665911,0.9499799745665911,1.0572104082695297,exploratory,pending
