candidate,R2_THRESHOLD,TARGET_VOL,target_vol_label,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days
r2_0.20_no_tv,0.2,,no_tv,full,2015-07-13,2026-05-15,2728,0.2372663548273939,0.18520926288950817,1.2427764376715928,-0.2512487344344758,9.021918506278347,2015-07-13,2022-10-14,274,227,2501,0.9167888563049853,0.9167888563049853,1.0,0.0,1455,1046
r2_0.20_no_tv,0.2,,no_tv,last_10y,2016-05-09,2026-05-15,2520,0.2316078596779605,0.18723523134694758,1.206863148101138,-0.2512487344344758,7.0301658961083895,2016-05-09,2022-10-14,248,203,2317,0.9194444444444444,0.9194444444444444,1.0,0.0,1365,952
r2_0.20_no_tv,0.2,,no_tv,last_5y,2021-05-11,2026-05-15,1260,0.283900095199473,0.19966450791935375,1.3519768188963512,-0.2512487344344758,2.4886399942929316,2021-05-11,2022-10-14,121,90,1170,0.9285714285714286,0.9285714285714286,1.0,0.0,633,537
r2_0.20_no_tv,0.2,,no_tv,last_3y,2023-05-11,2026-05-15,756,0.3924491740866123,0.20691602957367358,1.7043816926767061,-0.15295665801712177,1.6998401760014445,2023-05-11,2026-03-30,61,43,713,0.9431216931216931,0.9431216931216931,1.0,0.0,397,316
r2_0.20_no_tv,0.2,,no_tv,last_1y,2025-05-15,2026-05-15,252,0.573964945916122,0.23844683045765655,2.024985530595554,-0.152956658017122,0.573964945916122,2025-05-15,2026-03-30,16,18,234,0.9285714285714286,0.9285714285714286,1.0,0.0,128,106
r2_0.20_tv_10,0.2,0.1,tv_10,full,2015-07-13,2026-05-15,2728,0.1311543666694377,0.1089658980525657,1.1857533520460144,-0.13236855897848332,2.7966061830438966,2015-07-13,2018-10-11,2560,227,2501,0.9167888563049853,0.6106363340203386,1.2853375294198803,0.0,1455,1046
r2_0.20_tv_10,0.2,0.1,tv_10,last_10y,2016-05-09,2026-05-15,2520,0.12662528849068821,0.1088394286520328,1.1501293339132668,-0.13236855897848332,2.2945412745295486,2016-05-09,2018-10-11,2368,203,2317,0.9194444444444444,0.6110863756659798,1.2853375294198803,0.0,1365,952
r2_0.20_tv_10,0.2,0.1,tv_10,last_5y,2021-05-11,2026-05-15,1260,0.1650418704162775,0.10900690381163677,1.456209097802346,-0.12761749553496127,1.1463852179814307,2021-05-11,2022-10-14,1196,90,1170,0.9285714285714286,0.5445481698574101,1.0329715925691296,0.0,633,537
r2_0.20_tv_10,0.2,0.1,tv_10,last_3y,2023-05-11,2026-05-15,756,0.20741969905848023,0.11192304881401846,1.7405374320644231,-0.07541312751316365,0.7602516953642444,2023-05-11,2025-11-07,724,43,713,0.9431216931216931,0.5425253834617341,0.8644658607698166,0.0,397,316
r2_0.20_tv_10,0.2,0.1,tv_10,last_1y,2025-05-15,2026-05-15,252,0.27072027996406245,0.10959793620613444,2.242186441595623,-0.07541312751316354,0.27072027996406245,2025-05-15,2025-11-07,237,18,234,0.9285714285714286,0.4128338199185335,0.8644658607698166,0.0,128,106
r2_0.20_tv_15,0.2,0.15,tv_15,full,2015-07-13,2026-05-15,2728,0.19788783639161256,0.16234238445262916,1.193805700349309,-0.19435440613251065,6.061321668062062,2015-07-13,2018-10-11,2440,227,2501,0.9167888563049853,0.909016164481749,1.5,0.0,1455,1046
r2_0.20_tv_15,0.2,0.15,tv_15,last_10y,2016-05-09,2026-05-15,2520,0.19073095804495765,0.1620596129134087,1.1586105830261635,-0.19435440613251065,4.729760258040915,2016-05-09,2018-10-11,2248,203,2317,0.9194444444444444,0.9091185388541229,1.5,0.0,1365,952
r2_0.20_tv_15,0.2,0.15,tv_15,last_5y,2021-05-11,2026-05-15,1260,0.2524132367646328,0.1634204247000416,1.4594364442455818,-0.18718206696303663,2.081330233274043,2021-05-11,2022-10-14,1188,90,1170,0.9285714285714286,0.8166032194150274,1.5,0.0,633,537
r2_0.20_tv_15,0.2,0.15,tv_15,last_3y,2023-05-11,2026-05-15,756,0.32049216224231025,0.16788457322102776,1.7405374320644327,-0.11174949208434082,1.3025415897979622,2023-05-11,2025-11-07,724,43,713,0.9431216931216931,0.8137880751926011,1.2966987911547248,0.0,397,316
