candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,partial_position_days,pending_days,staged_initials,staged_fills,reason
lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,1.0,full,full,Full,2016-12-30,2007-01-04,2432.0,0.10092388275458575,0.17758949924994413,-0.26302079745525264,0.6305703256476426,982.0,253.0,0.385,385.0,0.5962171052631579,0.5962171052631579,0.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,1.0,full,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,1.0,full,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10390711676029629,0.17115635046538014,-0.20729951416851156,0.6636752362462697,501.0,132.0,0.20800000000000002,208.0,0.6023809523809524,0.6023809523809524,0.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,1.0,full,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07125469422891673,0.1706510797410684,-0.20581675408837985,0.4893413284218755,322.0,77.0,0.12000000000000001,120.0,0.5740740740740741,0.5740740740740741,0.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,1.0,full,last_1y,1Y,2016-12-30,2015-12-22,252.0,7.542755712885985e-05,0.13434547340473368,-0.2058167540883793,0.06835913750201625,116.0,20.0,0.033,33.0,0.5396825396825397,0.5396825396825397,0.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75,layer3_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.09143258127765219,0.16705665553363935,-0.23103778974389722,0.6075015942039197,982.0,404.0,0.364,364.0,0.5962171052631579,0.5558182565789473,393.0,393.0,193.0,151.0,
lb_28_r2_0p50_buf_1p00_entry_0p75,layer3_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75,layer3_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09573655559647154,0.16128972508830455,-0.19530150187527595,0.6479027066597994,501.0,211.0,0.19525000000000003,195.25,0.6023809523809524,0.5646825396825397,190.0,190.0,104.0,79.0,
lb_28_r2_0p50_buf_1p00_entry_0p75,layer3_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07434943440994957,0.1599745474577435,-0.19530150187527606,0.528789263931751,322.0,121.0,0.11175000000000002,111.75,0.5740740740740741,0.5400132275132276,103.0,103.0,60.0,44.0,
lb_28_r2_0p50_buf_1p00_entry_0p75,layer3_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.018352960420496833,0.13150707269140752,-0.19530150187527584,0.20467361638470463,116.0,34.0,0.0315,31.5,0.5396825396825397,0.5168650793650794,23.0,23.0,17.0,14.0,
lb_28_r2_0p50_buf_1p00_entry_0p67,layer3_primary,28,0.5,0p50,1.0,1p00,0.67,0p67,full,Full,2016-12-30,2007-01-04,2432.0,0.08829036072940122,0.1641993468745671,-0.22515794913039755,0.5976016024279338,982.0,404.0,0.35728,357.28,0.5962171052631579,0.542890625,393.0,393.0,193.0,151.0,
lb_28_r2_0p50_buf_1p00_entry_0p67,layer3_primary,28,0.5,0p50,1.0,1p00,0.67,0p67,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p67,layer3_primary,28,0.5,0p50,1.0,1p00,0.67,0p67,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09302379020786589,0.15861476548705922,-0.19191380165388194,0.6404709212304642,501.0,211.0,0.19117,191.17000000000002,0.6023809523809524,0.5526190476190476,190.0,190.0,104.0,79.0,
lb_28_r2_0p50_buf_1p00_entry_0p67,layer3_primary,28,0.5,0p50,1.0,1p00,0.67,0p67,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07522414919030518,0.1570710843736033,-0.19191380165388183,0.5407707360361959,322.0,121.0,0.10911,109.11,0.5740740740740741,0.5291137566137566,103.0,103.0,60.0,44.0,
lb_28_r2_0p50_buf_1p00_entry_0p67,layer3_primary,28,0.5,0p50,1.0,1p00,0.67,0p67,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.02424925132993483,0.13074022328406734,-0.19191380165388205,0.24926277943536576,116.0,34.0,0.03102,31.02,0.5396825396825397,0.509563492063492,23.0,23.0,17.0,14.0,
lb_28_r2_0p50_buf_1p00_entry_0p50,layer3_primary,28,0.5,0p50,1.0,1p00,0.5,0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.08144821802917224,0.1590486978860401,-0.21276297154714263,0.5720151722518204,982.0,404.0,0.34299999999999997,343.0,0.5962171052631579,0.5154194078947368,393.0,393.0,193.0,151.0,
lb_28_r2_0p50_buf_1p00_entry_0p50,layer3_primary,28,0.5,0p50,1.0,1p00,0.5,0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
