candidate,candidate_type,lookback,r2_threshold,switch_buffer,entry_fraction,notes,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y
lb_28_r2_0p50_buf_1p00_entry_full,layer3_carried_baseline,28,0.5,1.0,1.0,Layer3 carried primary line before staged entry,0.10092388275458575,-0.26302079745525264,,,,insufficient rows: 2432 < 2520 trading days,0.10390711676029629,-0.20729951416851156,,0.07125469422891673,-0.20581675408837985,,7.542755712885985e-05,-0.2058167540883793,
lb_28_r2_0p50_buf_1p00_entry_0p50,layer4_primary_original_entry_fraction,28,0.5,1.0,0.5,Layer3 primary with original initial entry fraction 0.50,0.08144821802917224,-0.21276297154714263,,,,insufficient rows: 2432 < 2520 trading days,0.0871045476690806,-0.1857678767815899,,0.076897230251465,-0.1857678767815899,,0.03685538515128606,-0.18576787678159,
lb_28_r2_0p50_buf_1p00_entry_0p75,layer4_selected,28,0.5,1.0,0.75,Selected Layer4 line under the documented pass rule,0.09143258127765219,-0.23103778974389722,,,,insufficient rows: 2432 < 2520 trading days,0.09573655559647154,-0.19530150187527595,,0.07434943440994957,-0.19530150187527606,,0.018352960420496833,-0.19530150187527584,
lb_28_r2_0p40_buf_1p00_entry_0p50,r2_neighbor_original_entry_fraction,28,0.4,1.0,0.5,R2 neighbor with original initial entry fraction 0.50,0.07840915845188912,-0.26435255521427115,,,,insufficient rows: 2432 < 2520 trading days,0.08695116732096109,-0.20606582403743456,,0.07909126552552959,-0.20606582403743468,,-0.027841347606801237,-0.20606582403743434,
lb_32_r2_0p50_buf_1p00_entry_0p50,return_peak_watch_original_entry_fraction,32,0.5,1.0,0.5,Return peak watch line with original initial entry fraction 0.50,0.08978518990066942,-0.20045915720293672,,,,insufficient rows: 2432 < 2520 trading days,0.08033767227534616,-0.20045915720293705,,0.07044780953716523,-0.2004591572029366,,-0.05052063013649155,-0.20045915720293694,
orig_layer4_lb25_r2_0p20_buf_1p05_entry_0p50,original_layer4_staged_entry,25,0.2,1.05,0.5,"Original first-layer parameter plus original R2 0.20, switch buffer 1.05, and initial entry fraction 0.50",0.08028530568382553,-0.2816299318819915,,,,insufficient rows: 2432 < 2520 trading days,0.0826974692887632,-0.2816299318819916,,0.03257582344645771,-0.2816299318819925,,-0.1799429525598486,-0.2703668164009444,
orig_full_v1_1_reference,original_full_strategy_reference,25,0.2,,,"Full official V1.1 chain; reference only, not Layer4 pass baseline",0.11842186922133546,-0.36963976373742846,,,,insufficient rows: 2432 < 2520 trading days,0.12611054611244588,-0.369639763737429,,0.034126043531237604,-0.36963976373742846,,-0.2697537021783505,-0.369639763737429,
