candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,ann_return_full,max_dd_full,reason_full,trades_full,partial_position_days_full,pending_days_full,staged_fills_full,avg_holding_fraction_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,trades_last_10y,partial_position_days_last_10y,pending_days_last_10y,staged_fills_last_10y,avg_holding_fraction_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,trades_last_5y,partial_position_days_last_5y,pending_days_last_5y,staged_fills_last_5y,avg_holding_fraction_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,trades_last_3y,partial_position_days_last_3y,pending_days_last_3y,staged_fills_last_3y,avg_holding_fraction_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,trades_last_1y,partial_position_days_last_1y,pending_days_last_1y,staged_fills_last_1y,avg_holding_fraction_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,layer4_pass,pass_reason
lb_25_r2_0p20_buf_1p05_entry_0p25,lb_25_r2_0p20_buf_1p05_entry_full,original_layer4,25,0.2,0p20,1.05,1p05,0.25,0p25,0.0711310724573686,-0.25563605151796653,,471.0,447.0,447.0,182.0,0.617907072368421,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08149921819740769,-0.255636051517966,,258.0,232.0,232.0,100.0,0.6420634920634921,0.051306938861955365,-0.25563605151796653,,157.0,123.0,123.0,59.0,0.6755952380952381,-0.152483496276138,-0.2556360515179664,,60.0,45.0,45.0,23.0,0.6994047619047619,-2.5926765052609824,8.981490387074608,182.0,,,,-0.2121210873731627,8.981490387074665,100.0,5.64520492924292,8.98149038707462,59.0,8.033422810716939,5.338759200150623,23.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p33,lb_25_r2_0p20_buf_1p05_entry_full,original_layer4,25,0.2,0p20,1.05,1p05,0.33,0p33,0.07411506364527853,-0.2598514220654399,,471.0,447.0,447.0,182.0,0.632611019736842,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.0819361765413198,-0.25985142206544065,,258.0,232.0,232.0,100.0,0.6567936507936507,0.045324249354121715,-0.25985142206544054,,157.0,123.0,123.0,59.0,0.6886111111111112,-0.16134557110802872,-0.25800318489499274,,60.0,45.0,45.0,23.0,0.7136904761904762,-2.2942773864699895,8.559953332327275,182.0,,,,-0.16842525298195188,8.559953332327197,100.0,5.046935978459555,8.559953332327218,59.0,7.147215327527867,5.102045862447991,23.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p50,lb_25_r2_0p20_buf_1p05_entry_full,original_layer4,25,0.2,0p20,1.05,1p05,0.5,0p50,0.08028530568382553,-0.2816299318819915,,471.0,447.0,447.0,182.0,0.6638569078947368,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.0826974692887632,-0.2816299318819916,,258.0,232.0,232.0,100.0,0.6880952380952381,0.03257582344645771,-0.2816299318819925,,157.0,123.0,123.0,59.0,0.7162698412698413,-0.1799429525598486,-0.2703668164009444,,60.0,45.0,45.0,23.0,0.7440476190476191,-1.6772531826152903,6.382102350672114,182.0,,,,-0.09229597823761093,6.382102350672103,100.0,3.772093387693154,6.382102350672025,59.0,5.287477182345879,3.8656827118528247,23.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p67,lb_25_r2_0p20_buf_1p05_entry_full,original_layer4,25,0.2,0p20,1.05,1p05,0.67,0p67,0.08622045535410838,-0.3039045007673782,,471.0,447.0,447.0,182.0,0.6951027960526317,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08323147359039518,-0.30390450076737885,,258.0,232.0,232.0,100.0,0.7193968253968255,0.01978457883387419,-0.30390450076737896,,157.0,123.0,123.0,59.0,0.7439285714285714,-0.19822379986181504,-0.28367200676036153,,60.0,45.0,45.0,23.0,0.7744047619047619,-1.0837382155870046,4.154645462133444,182.0,,,,-0.03889554807441353,4.154645462133377,100.0,2.492968926434802,4.154645462133377,59.0,3.4593924521492347,2.535163675911112,23.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p20_buf_1p05_entry_0p75,lb_25_r2_0p20_buf_1p05_entry_full,original_layer4,25,0.2,0p20,1.05,1p05,0.75,0p75,0.08893114467362118,-0.3141793133939289,,471.0,447.0,447.0,182.0,0.7098067434210527,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08340420245029945,-0.3141793133939288,,258.0,232.0,232.0,100.0,0.7341269841269841,0.013752083177114738,-0.31417931339392935,,157.0,123.0,123.0,59.0,0.7569444444444444,-0.2067178698420119,-0.289875495835059,,60.0,45.0,45.0,23.0,0.7886904761904762,-0.8126692836357252,3.1271641994783717,182.0,,,,-0.021622662083986555,3.1271641994783828,100.0,1.889719360758857,3.1271641994783383,59.0,2.6099854541295486,1.9148147684413641,23.0,4,True,True,True,pass
lb_25_r2_0p20_buf_1p05_entry_full,lb_25_r2_0p20_buf_1p05_entry_full,original_layer4,25,0.2,0p20,1.05,1p05,1.0,full,0.09705783750997843,-0.3454509553887126,,289.0,0.0,0.0,0.0,0.7557565789473685,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08362042907113931,-0.3454509553887126,,158.0,0.0,0.0,0.0,0.7801587301587302,-0.0051451104304738315,-0.34545095538871273,,98.0,0.0,0.0,0.0,0.7976190476190477,-0.2328177243833074,-0.30902364351947265,,37.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/full entry
lb_28_r2_0p40_buf_1p00_entry_0p25,lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,0.25,0p25,0.07230339368285965,-0.24516603868341047,,423.0,410.0,410.0,159.0,0.528577302631579,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08542381606286131,-0.1842218826246087,,224.0,200.0,200.0,85.0,0.55,0.09326615159125073,-0.18422188262460915,,135.0,111.0,111.0,49.0,0.5419973544973545,0.02204074212379581,-0.18422188262460815,,43.0,33.0,33.0,15.0,0.5327380952380952,-1.6340877234826579,6.836664161731598,159.0,,,,-0.23333956452127325,8.081581896649226,85.0,4.449312108654868,8.081581896649205,49.0,14.360363399567522,8.081581896649382,15.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p40_buf_1p00_entry_0p33,lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,0.33,0p33,0.07432743590485358,-0.25127169688523865,,423.0,410.0,410.0,159.0,0.5420641447368422,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08599334642399237,-0.1912527618575952,,224.0,200.0,200.0,85.0,0.5626984126984127,0.08880370800893034,-0.1912527618575952,,135.0,111.0,111.0,49.0,0.5537433862433863,0.00585269900221741,-0.1912527618575952,,43.0,33.0,33.0,15.0,0.5432142857142858,-1.4316835012832652,6.226098341548781,159.0,,,,-0.17638652840816782,7.378493973350575,85.0,4.0030677504228285,7.378493973350597,49.0,12.741559087409682,7.378493973350675,15.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p40_buf_1p00_entry_0p50,lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,0.5,0p50,0.07840915845188912,-0.26435255521427115,,423.0,410.0,410.0,159.0,0.5707236842105263,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08695116732096109,-0.20606582403743456,,224.0,200.0,200.0,85.0,0.5896825396825397,0.07909126552552959,-0.20606582403743468,,135.0,111.0,111.0,49.0,0.5787037037037037,-0.027841347606801237,-0.20606582403743434,,43.0,33.0,33.0,15.0,0.5654761904761905,-1.0235112465797114,4.91801250864553,159.0,,,,-0.08060443871129586,5.897187755366639,85.0,3.0318235020827533,5.897187755366651,49.0,9.372154426507818,5.897187755366762,15.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p40_buf_1p00_entry_0p67,lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,0.67,0p67,0.08218854783034768,-0.27756887233252603,,423.0,410.0,410.0,159.0,0.5993832236842105,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08756354563830793,-0.22307216922659634,,224.0,200.0,200.0,85.0,0.6166666666666667,0.06907197371403417,-0.22307216922659667,,135.0,111.0,111.0,49.0,0.6036640211640212,-0.06059365303205444,-0.22307216922659645,,43.0,33.0,33.0,15.0,0.5877380952380952,-0.645572308733855,3.5963807968200423,159.0,,,,-0.019366606976611855,4.1965532364504625,85.0,2.029894320933212,4.196553236450451,49.0,6.096923883982496,4.196553236450551,15.0,4,True,True,True,pass
