scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,half_position_days,staged_initials,staged_fills,overheat_days,overheat_triggers,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure,source,r2_threshold,target_vol,overheat_enter,overheat_exit
qveris_v11_r2_0.20_tv_0.25_oh_20_18,5Y,2021-05-10,2026-05-08,1211,10.690863663000197,0.668056866618334,-0.16540663933670907,2.119619516211932,0.25695586640155055,253,140,115,17,9,271,0.3159745770316378,255.5,0.9865985573137159,1.5,qveris_cps3,0.2,0.25,0.2,0.18
qveris_v11_r2_0.20_tv_0.25_oh_20_18,3Y,2023-05-08,2026-05-08,727,6.3844974612900405,0.9997977591583516,-0.16540663933670918,2.726325251448377,0.26739003860749977,170,90,72,7,7,168,0.19135138830707532,162.5,0.9248756636509752,1.5,qveris_cps3,0.2,0.25,0.2,0.18
qveris_v11_r2_0.20_tv_0.25_oh_20_18,1Y,2025-05-08,2026-05-08,243,0.8911076492243037,0.936265919002575,-0.1333857222638163,2.7940871271004735,0.2476445316438491,67,36,26,3,2,65,0.07242297766500293,62.5,0.9415409552476255,1.5,qveris_cps3,0.2,0.25,0.2,0.18
qveris_v11_r2_0.20_tv_0.30_oh_20_18,from_2020,2020-01-02,2026-05-08,1535,24.015955165429745,0.6964631648962747,-0.19138169274416117,1.9229966104571568,0.2979969764583991,359,192,152,17,10,364,0.46202138504097845,344.5,1.0802716820948215,1.5,qveris_cps3,0.2,0.3,0.2,0.18
qveris_v11_r2_0.20_tv_0.30_oh_20_18,5Y,2021-05-10,2026-05-08,1211,14.28334467298901,0.7637090844095618,-0.19138169274416106,2.106038438490185,0.2892157828384468,253,140,115,17,9,271,0.35888122101707765,255.5,1.110752631661917,1.5,qveris_cps3,0.2,0.3,0.2,0.18
qveris_v11_r2_0.20_tv_0.30_oh_20_18,3Y,2023-05-08,2026-05-08,727,8.262525200445541,1.1632036124555856,-0.17016910360865,2.6989500204818304,0.3029149411584633,170,90,72,7,7,168,0.2199008642698334,162.5,1.0536549070151429,1.5,qveris_cps3,0.2,0.3,0.2,0.18
qveris_v11_r2_0.20_tv_0.30_oh_20_18,1Y,2025-05-08,2026-05-08,243,0.9952371076620639,1.046941453477908,-0.15846272607190848,2.6793742201104296,0.282436195886272,67,36,26,3,2,65,0.08489533676795435,62.5,1.0688439006737096,1.5,qveris_cps3,0.2,0.3,0.2,0.18
qveris_v11_r2_0.30_tv_0.20_oh_20_18,from_2020,2020-01-02,2026-05-08,1535,8.259104368292011,0.4410565745815611,-0.14439238206089022,1.8194097302492893,0.21339156224361408,375,191,146,16,10,362,0.33648641904036836,337.5,0.7705954723965277,1.5,qveris_cps3,0.3,0.2,0.2,0.18
qveris_v11_r2_0.30_tv_0.20_oh_20_18,5Y,2021-05-10,2026-05-08,1211,5.899195439464393,0.4946780400354456,-0.14439238206089033,2.0109144218438466,0.21093000948729532,265,141,110,16,9,272,0.26291080201389977,251.5,0.7962225298349218,1.5,qveris_cps3,0.3,0.2,0.2,0.18
qveris_v11_r2_0.30_tv_0.20_oh_20_18,3Y,2023-05-08,2026-05-08,727,3.7484183826322113,0.7159797669842867,-0.14439238206089022,2.572526532063634,0.21930798137816002,169,92,71,6,7,172,0.16006049183727253,163.5,0.7491520738446841,1.5,qveris_cps3,0.3,0.2,0.2,0.18
qveris_v11_r2_0.30_tv_0.20_oh_20_18,1Y,2025-05-08,2026-05-08,243,0.6537395563987909,0.6848393194692195,-0.06901879412759782,2.7277412705479565,0.19860855604343525,71,38,26,3,2,69,0.06261276595811271,64.5,0.757727559574577,1.2692103911995563,qveris_cps3,0.3,0.2,0.2,0.18
qveris_v11_r2_0.30_tv_0.25_oh_20_18,from_2020,2020-01-02,2026-05-08,1535,13.322755767160421,0.5480470967278057,-0.17203310592378096,1.812185183853306,0.2598310068000922,375,191,146,16,10,362,0.4101186173220862,337.5,0.9367887683739162,1.5,qveris_cps3,0.3,0.25,0.2,0.18
qveris_v11_r2_0.30_tv_0.25_oh_20_18,5Y,2021-05-10,2026-05-08,1211,9.019166935278628,0.6153459155934486,-0.17203310592378085,2.009195263185579,0.25478161758765244,265,141,110,16,9,272,0.31814909603900043,251.5,0.9617843419605591,1.5,qveris_cps3,0.3,0.25,0.2,0.18
qveris_v11_r2_0.30_tv_0.25_oh_20_18,3Y,2023-05-08,2026-05-08,727,5.526560636456868,0.9159935136161217,-0.17203310592378096,2.565726430026253,0.2673869056755654,169,92,71,6,7,172,0.19654421759479518,163.5,0.9192956684477684,1.5,qveris_cps3,0.3,0.25,0.2,0.18
qveris_v11_r2_0.30_tv_0.25_oh_20_18,1Y,2025-05-08,2026-05-08,243,0.8554366917817156,0.8984037814908488,-0.0857716401449119,2.7184941863247074,0.24721360333749295,71,38,26,3,2,69,0.07776595744764087,64.5,0.9450657255614667,1.5,qveris_cps3,0.3,0.25,0.2,0.18
qveris_v11_r2_0.30_tv_0.30_oh_20_18,from_2020,2020-01-02,2026-05-08,1535,18.23159592209586,0.6247853752042765,-0.19410899251241343,1.8080683360098206,0.29211852688858325,375,191,146,16,10,362,0.4686527644768145,337.5,1.0567857226302317,1.5,qveris_cps3,0.3,0.3,0.2,0.18
qveris_v11_r2_0.30_tv_0.30_oh_20_18,5Y,2021-05-10,2026-05-08,1211,11.606366519111356,0.6944333631471626,-0.1833428373457472,1.9939994199631375,0.2846946817773791,265,141,110,16,9,272,0.36038553215007796,251.5,1.0778579299523152,1.5,qveris_cps3,0.3,0.3,0.2,0.18
qveris_v11_r2_0.30_tv_0.30_oh_20_18,3Y,2023-05-08,2026-05-08,727,6.982164409180828,1.0544807434433494,-0.1833428373457472,2.5404059239804337,0.3012852307968187,169,92,71,6,7,172,0.226541889396627,163.5,1.0472981377509902,1.5,qveris_cps3,0.3,0.3,0.2,0.18
qveris_v11_r2_0.30_tv_0.30_oh_20_18,1Y,2025-05-08,2026-05-08,243,0.9563080587297121,1.0055394811399143,-0.10137509979249892,2.6205327050625695,0.28078900238055593,71,38,26,3,2,69,0.09090746285028775,64.5,1.0643650127219817,1.5,qveris_cps3,0.3,0.3,0.2,0.18
