candidate,lookback,r2_threshold,r2_label,segment,window,start,end,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,reason
lb_25_r2_none,25,,none,full,Full,2007-01-04,2016-12-30,2432.0,0.08660592744426787,0.2262448719051517,-0.4643465280254735,0.48062341943258524,223.0,292.0,0.501,501.0,0.9083059210526315,
lb_25_r2_none,25,,none,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_25_r2_none,25,,none,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.009909660986217927,0.22640999704909173,-0.46434652802547327,0.15729085577250193,90.0,159.0,0.272,272.0,0.9285714285714286,
lb_25_r2_none,25,,none,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.08835504700381624,0.23257352334791492,-0.46434652802547416,-0.2804681195393195,54.0,95.0,0.16,160.0,0.9285714285714286,
lb_25_r2_none,25,,none,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.29165355081448674,0.20314416122732953,-0.3474529481711658,-1.5930745871872096,11.0,30.0,0.052000000000000005,52.0,0.9563492063492064,
lb_25_r2_0p10,25,0.1,0p10,full,Full,2007-01-04,2016-12-30,2432.0,0.07082735498853832,0.20778591087026507,-0.43164194580057746,0.4335073161332462,467.0,298.0,0.487,487.0,0.8079769736842105,
lb_25_r2_0p10,25,0.1,0p10,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_25_r2_0p10,25,0.1,0p10,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.0039933448678506345,0.21082583085330897,-0.43164194580057835,0.12480294793525691,205.0,163.0,0.268,268.0,0.8373015873015873,
lb_25_r2_0p10,25,0.1,0p10,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.06541573905077225,0.2200562937581606,-0.43164194580057846,-0.19664541592938917,111.0,96.0,0.156,156.0,0.8531746031746031,
lb_25_r2_0p10,25,0.1,0p10,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.3178489806194361,0.19955847584667682,-0.340070652909899,-1.8138699689720883,24.0,33.0,0.054000000000000006,54.0,0.9047619047619048,
lb_25_r2_0p15,25,0.15,0p15,full,Full,2007-01-04,2016-12-30,2432.0,0.07338677486291623,0.20335274004204296,-0.40429002214916665,0.4502174250917627,531.0,297.0,0.475,475.0,0.7816611842105263,
lb_25_r2_0p15,25,0.15,0p15,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_25_r2_0p15,25,0.15,0p15,last_5y,5Y,2011-10-28,2016-12-30,1260.0,0.05118392395328675,0.2046332667775093,-0.40429002214916854,0.34672240385121533,246.0,158.0,0.254,254.0,0.8047619047619048,
lb_25_r2_0p15,25,0.15,0p15,last_3y,3Y,2013-11-29,2016-12-30,756.0,-0.02795980648545826,0.21356043846364628,-0.40429002214916754,-0.025311719269852612,135.0,94.0,0.148,148.0,0.8214285714285714,
lb_25_r2_0p15,25,0.15,0p15,last_1y,1Y,2015-12-22,2016-12-30,252.0,-0.3086827191253432,0.19740137423592605,-0.321664798251579,-1.7683505888531867,35.0,34.0,0.053,53.0,0.8611111111111112,
lb_25_r2_0p20,25,0.2,0p20,full,Full,2007-01-04,2016-12-30,2432.0,0.11152835235221126,0.19792735547790657,-0.33306285386702283,0.6333908117657854,594.0,297.0,0.47300000000000003,473.0,0.7557565789473685,
lb_25_r2_0p20,25,0.2,0p20,last_10y,10Y,,2016-12-30,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
