candidate,baseline_candidate,lookback,r2_threshold,r2_label,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,ann_delta_full_pp,mdd_improve_full_pp,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,layer2_pass,pass_reason
lb_25_r2_none,lb_25_r2_none,25,,none,0.08660592744426787,-0.4643465280254735,,,,insufficient rows: 2432 < 2520 trading days,0.009909660986217927,-0.46434652802547327,,-0.08835504700381624,-0.46434652802547416,,-0.29165355081448674,-0.3474529481711658,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/no R2
lb_25_r2_0p10,lb_25_r2_none,25,0.1,0p10,0.07082735498853832,-0.43164194580057746,,,,insufficient rows: 2432 < 2520 trading days,0.0039933448678506345,-0.43164194580057835,,-0.06541573905077225,-0.43164194580057846,,-0.3178489806194361,-0.340070652909899,,-1.5778572455729556,3.270458222489603,,,-0.5916316118367293,3.270458222489492,2.2939307953043997,3.2704582224895695,-2.6195429804949377,0.7382295261266769,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p15,lb_25_r2_none,25,0.15,0p15,0.07338677486291623,-0.40429002214916665,,,,insufficient rows: 2432 < 2520 trading days,0.05118392395328675,-0.40429002214916854,,-0.02795980648545826,-0.40429002214916754,,-0.3086827191253432,-0.321664798251579,,-1.3219152581351645,6.005650587630685,,,4.127426296706882,6.005650587630473,6.039524051835798,6.005650587630662,-1.7029168310856435,2.578814991958678,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p20,lb_25_r2_none,25,0.2,0p20,0.11152835235221126,-0.33306285386702283,,,,insufficient rows: 2432 < 2520 trading days,0.10726842162657113,-0.33306285386702206,,0.023834297430572526,-0.3330628538670233,,-0.21829825581930662,-0.29594636165962207,,2.4922424907943386,13.128367415845066,,,9.73587606403532,13.128367415845121,11.218934443438878,13.128367415845087,7.335529499518012,5.150658651154371,4,True,True,True,pass
lb_25_r2_0p25,lb_25_r2_none,25,0.25,0p25,0.10859661535713849,-0.35306391664982073,,,,insufficient rows: 2432 < 2520 trading days,0.12349861070927926,-0.35306391664981984,,0.039092049882973434,-0.35306391664981995,,-0.2535875497825737,-0.34388372313431714,,2.199068791287062,11.128261137565277,,,11.358894972306132,11.128261137565342,12.744709688678968,11.12826113756542,3.8066001031913044,0.35692250368486445,4,True,True,True,pass
lb_25_r2_0p30,lb_25_r2_none,25,0.3,0p30,0.11416321593540468,-0.3071467938965792,,,,insufficient rows: 2432 < 2520 trading days,0.1378249065620003,-0.3071467938965795,,0.07934297941765767,-0.30714679389657906,,-0.21513281591878308,-0.3071467938965794,,2.755728849113681,15.719973412889432,,,12.791524557578239,15.719973412889377,16.76980264214739,15.719973412889509,7.652073489570366,4.030615427458639,4,True,True,True,pass
lb_25_r2_0p35,lb_25_r2_none,25,0.35,0p35,0.10325832668868906,-0.2853393952164395,,,,insufficient rows: 2432 < 2520 trading days,0.13228300233861456,-0.28533939521643825,,0.07029333071253108,-0.28533939521643914,,-0.18464188265678716,-0.2853393952164388,,1.665239924442119,17.900713280903403,,,12.237334135239664,17.900713280903503,15.864837771634733,17.900713280903503,10.701166815769959,6.211355295472698,4,True,True,True,pass
lb_25_r2_0p40,lb_25_r2_none,25,0.4,0p40,0.10072557611428601,-0.2790778874721911,,,,insufficient rows: 2432 < 2520 trading days,0.11682935180028453,-0.27907788747219175,,0.06997325318297887,-0.27907788747219153,,-0.16465077108562887,-0.2790778874721912,,1.4119648670018137,18.52686405532824,,,10.691969081406661,18.52686405532815,15.83283001867951,18.52686405532826,12.700277972885788,6.837506069897459,4,True,True,True,pass
lb_25_r2_0p50,lb_25_r2_none,25,0.5,0p50,0.05385984641356467,-0.2693539043998897,,,,insufficient rows: 2432 < 2520 trading days,0.05650385525757695,-0.24591399919775436,,0.009999283732429864,-0.23059999909594986,,-0.1138752787933861,-0.23059999909594964,,-3.27460810307032,19.49926236255838,,,4.659419427135902,21.843252882771893,9.83543307362461,23.37465289295243,17.777827202110064,11.685294907521616,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p60,lb_25_r2_none,25,0.6,0p60,-0.001980765327302181,-0.33294263397091306,,,,insufficient rows: 2432 < 2520 trading days,-0.024563070933840137,-0.3329426339709104,,-0.040606788624832246,-0.21188350590845573,,-0.046271841304745265,-0.20962867246430972,,-8.858669277157006,13.140389405456043,,,-3.4472731920058064,13.140389405456288,4.774825837898399,25.246302211701842,24.53817095097415,13.782427570685607,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
