candidate,candidate_type,lookback,r2_threshold,notes,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y
lb_28_r2_none,layer1_carried_baseline,28,,Layer1 carried primary line before R2,0.09857397504333987,-0.36308997006504484,,,,insufficient rows: 2432 < 2520 trading days,0.014980238101832022,-0.3630899700650443,,-0.04011202544250281,-0.3630899700650435,,-0.2619347480859766,-0.3322353120529721,
lb_28_r2_0p20,layer2_primary_original_r2,28,0.2,Layer1 primary with original R2 threshold 0.20,0.0601110983506028,-0.2867236833486091,,,,insufficient rows: 2432 < 2520 trading days,0.030848574537129636,-0.2867236833486103,,-0.015064028546162844,-0.28672368334861087,,-0.15748683893119564,-0.27500220110883566,
lb_26_r2_0p20,layer2_neighbor_original_r2,26,0.2,Left confirmation line with R2 0.20,0.08453667706878476,-0.3909084431200125,,,,insufficient rows: 2432 < 2520 trading days,0.057199220080027535,-0.3909084431200125,,-0.023968645122938503,-0.3909084431200134,,-0.29019606275188814,-0.3172372551219965,
lb_30_r2_0p20,layer2_neighbor_original_r2,30,0.2,Right confirmation line with R2 0.20,0.07158281480287099,-0.36298558185102836,,,,insufficient rows: 2432 < 2520 trading days,0.054463110591279396,-0.36298558185102836,,-0.028477994567120413,-0.3629855818510278,,-0.1481905563402457,-0.27813709412640397,
lb_32_r2_0p20,return_peak_watch_original_r2,32,0.2,Return peak watch line with R2 0.20,0.07680399464023391,-0.28597144786494266,,,,insufficient rows: 2432 < 2520 trading days,0.06815521413011583,-0.2821095277323715,,0.03289804809679997,-0.28210952773237163,,-0.07842507196335691,-0.23447606243192753,
orig_layer2_lb25_r2_0p20,original_layer2_r2,25,0.2,Original first-layer parameter plus original R2 0.20,0.11152835235221126,-0.33306285386702283,,,,insufficient rows: 2432 < 2520 trading days,0.10726842162657113,-0.33306285386702206,,0.023834297430572526,-0.3330628538670233,,-0.21829825581930662,-0.29594636165962207,
orig_full_v1_1_reference,original_full_strategy_reference,25,0.2,"Full official V1.1 chain; reference only, not Layer2 pass baseline",0.11842178619786825,-0.36963889758509283,,,,insufficient rows: 2432 < 2520 trading days,0.12611053819299012,-0.3696388975850927,,0.03412627231862175,-0.3696388975850927,,-0.26975281049227207,-0.36963889758509294,
