candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,nav_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,trades,cost_total,turnover_total,avg_exposure_effective,avg_final_exposure,avg_nav_defense_scale_effective,avg_nav_defense_scale_next,defense_day_ratio,trigger_count,recovery_count,reason
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,False,,,1.0,nav_off,full,Full,2016-12-30,2007-01-04,2432.0,0.10629916519138827,0.20487058986534443,-0.29479232575959524,0.5957181352685382,412.0,0.366,366.0,0.780530427631579,0.7809416118421053,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.05486471300767004,0.19594734996841323,-0.2621919229689481,0.37086796317837034,230.0,0.20375,203.75,0.7950396825396825,0.7956349206349206,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.057229580424003945,0.1938757700513756,-0.26219192296894833,0.3844324213653399,143.0,0.12625,126.25,0.8075396825396826,0.808531746031746,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.11112484795031208,0.18870742219006212,-0.21356651337179,-0.5286278226287093,49.0,0.043500000000000004,43.5,0.8184523809523809,0.8184523809523809,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,-0.005601726480106262,0.12694067832056924,-0.31476429123883787,0.019335212249008197,233.0,0.15176094236941629,151.76094236941628,0.2935855263157895,0.2935855263157895,0.359375,0.3589638157894737,0.640625,19.0,18.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,-0.027723713681892748,0.1211276696993061,-0.3147642912388371,-0.17120537251671564,95.0,0.06785118686554689,67.8511868655469,0.2563492063492063,0.25615079365079363,0.3055555555555556,0.3047619047619048,0.6944444444444444,9.0,8.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.030430818140574578,0.109374806089938,-0.12171017472888257,0.32882285174830667,48.0,0.03654199414971739,36.54199414971739,0.2490079365079365,0.2490079365079365,0.28703703703703703,0.28703703703703703,0.7129629629629629,3.0,3.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.023537296976968047,0.1330631781072078,-0.2512339781993632,0.24149517745477528,1578.0,0.20727059467303421,207.27059467303422,0.41532175164473684,0.4154245476973684,0.51953125,0.5192228618421053,0.640625,19.0,18.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,-0.005692044086761605,0.1270250121452672,-0.22496515156576447,0.018895020066238923,880.0,0.10279786524341292,102.79786524341291,0.3910218253968254,0.3910218253968254,0.4791666666666667,0.4785714285714286,0.6944444444444444,9.0,8.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_off,main_line_r2_removed,28,,none,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.03936037530520253,0.11639159285843201,-0.14855884934875552,0.3899579977340895,536.0,0.0595590420309731,59.559042030973096,0.388640873015873,0.3888888888888889,0.4652777777777778,0.4652777777777778,0.7129629629629629,3.0,3.0,
