date,candidate,baseline_candidate,line_id,line_role,overheat_direction,overheat_parameter_label,overheat_enabled,lookback,r2_threshold,switch_buffer,entry_fraction,score_max,decay_label,nav_label,position_before,fraction_before,position,holding_fraction,actual_position_before,actual_position_next,score_decay_multiplier_effective,score_decay_multiplier_next,nav_defense_scale_effective,nav_defense_scale_next,overheat_rule_scale_effective,overheat_rule_scale_next,overheat_rule_on_effective,overheat_rule_on_next,overheat_triggered,overheat_recovered,overheat_bias,overheat_bias_mom,overheat_same_side,overheat_enter_threshold,overheat_exit_threshold,combined_overlay_scale_effective,combined_overlay_scale_next,asset_return,gross_return,turnover,cost,return,nav,exposure_effective,final_exposure_after_overheat,effect_vs_baseline
2017-01-03,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-04,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-05,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-06,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-09,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-10,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-11,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-12,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-13,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-16,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
