line_id,lookback,r2_threshold,switch_buffer,entry_fraction,score_max,target_vol,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,decay_scale,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,overheat
A_clean,28,0.5,1.0,0.75,5.0,off,False,,,,,False,,,,off
G_decay_nav,28,0.5,1.0,0.75,5.0,off,True,0.55,0.85,3.0,0.75,True,0.125,0.03,0.75,off
