line_id,candidate,year,days,return,max_dd
A_clean,A_clean_scoremax_5_overheat_off,2017,244,0.11251259801188374,-0.04999954004204754
A_clean,A_clean_scoremax_5_overheat_off,2018,243,-0.2546536448537916,-0.30708232925431866
A_clean,A_clean_scoremax_5_overheat_off,2019,244,0.2572187561312669,-0.056595290011702715
A_clean,A_clean_scoremax_5_overheat_off,2020,243,0.32548395972230604,-0.151995676390561
A_clean,A_clean_scoremax_5_overheat_off,2021,243,0.0019503592698524308,-0.13317916310432332
A_clean,A_clean_scoremax_5_overheat_off,2022,242,0.13515602544572736,-0.1265502077808498
A_clean,A_clean_scoremax_5_overheat_off,2023,242,0.13976591626980128,-0.07946205743095625
A_clean,A_clean_scoremax_5_overheat_off,2024,242,-0.10323922967435106,-0.2468232110372246
A_clean,A_clean_scoremax_5_overheat_off,2025,243,0.35627909038354555,-0.0912653187073752
A_clean,A_clean_scoremax_5_overheat_off,2026,116,0.2064350124459693,-0.08354654415566931
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2017,244,0.10807209421398589,-0.050004455091876676
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2018,243,-0.22225997954343024,-0.27089207815521166
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2019,244,0.19288783056611214,-0.04269822210936314
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2020,243,0.26990430738200555,-0.14547570662033216
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2021,243,-0.008378763096387853,-0.1314878578407468
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2022,242,0.10185295511369308,-0.09627009768173933
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2023,242,0.13092609468976857,-0.07945834458311096
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2024,242,-0.08365898113279902,-0.21965271283145182
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2025,243,0.26571766263991514,-0.09129493625071605
G_decay_nav,G_decay_nav_scoremax_5_overheat_off,2026,116,0.21695958457675513,-0.07759804944737159
