candidate,SCALE_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,scale_rebalance_days,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,pct_at_max_lev,avg_final_exposure,max_final_exposure,turnover_sum,cost_total,overheat_days
th_0_current,0.0,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.3381534008419198,0.2430461765341405,1.3200085722069088,-0.2813236162531615,55.88770174896498,2016-03-08,2016-12-05,1986,3496,740,2726,0.7797482837528604,1.2816964040673735,1.5,0.3778604118993135,0.8925230040765298,1.5,747.074356353005,0.747074356353005,30
th_0_current,0.0,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3672158518460762,0.24704891575627724,1.3897531274427721,-0.2813236162531614,21.82290122158045,2016-03-08,2016-12-05,1661,2520,225,2275,0.9027777777777778,1.2793693240207324,1.5,0.36547619047619045,1.0310074370242654,1.5,616.9148056507703,0.6169148056507703,20
th_0_current,0.0,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6142611650000189,0.25594565589215484,1.9987807355215854,-0.18054057908720955,9.96147491635785,2022-03-22,2022-06-09,1005,1260,101,1141,0.9055555555555556,1.2280809528035683,1.5,0.17539682539682538,0.9908673512637344,1.5,331.25900324378017,0.3312590032437802,18
th_0_current,0.0,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.9901123308212749,0.2633890884093426,2.7453183483686088,-0.16550599700214497,6.881933599188144,2024-07-15,2024-09-10,618,756,53,695,0.9193121693121693,1.1703965355968986,1.5,0.1626984126984127,0.9423933085580369,1.5,197.66723363358662,0.19766723363358663,8
th_0_current,0.0,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.9273611718414676,0.2440807268277651,2.8123633111983923,-0.12751321964343443,0.9273611718414676,2025-10-22,2025-12-16,223,252,19,229,0.9087301587301587,1.1906786903829383,1.5,0.05555555555555555,0.9327550930792038,1.5,78.01552660427211,0.07801552660427212,4
th_0p05,0.05,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.340499740129139,0.24289073190940652,1.3279066232816459,-0.281840433925732,57.28723079501417,2016-03-08,2016-12-05,778,180,740,2726,0.7797482837528604,1.278386774181175,1.5,0.22568649885583525,0.8909688286228274,1.5,741.0640919299938,0.7410640919299937,30
th_0p05,0.05,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3698481421989035,0.24662761886475895,1.3994938735386162,-0.281840433925732,22.266135372803642,2016-03-08,2016-12-05,628,128,225,2275,0.9027777777777778,1.275342380814143,1.5,0.20277777777777778,1.028459178522644,1.5,611.6051836769652,0.6116051836769651,20
th_0p05,0.05,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6174248731424741,0.2560335130307997,2.0058467376284517,-0.17999528301758538,10.069310952158116,2022-03-22,2022-06-09,342,79,101,1141,0.9055555555555556,1.2278498999595644,1.5,0.07698412698412699,0.9912464878166296,1.5,328.66249330084395,0.32866249330084396,18
th_0p05,0.05,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.991315461303456,0.2635946760518341,2.745687062981183,-0.16419315802273104,6.8962374079172655,2024-07-15,2024-09-10,212,49,53,695,0.9193121693121693,1.1696152326503366,1.5,0.11904761904761904,0.942810329268558,1.5,196.5841384978014,0.1965841384978014,8
th_0p05,0.05,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.9313164980988404,0.24453871930201204,2.815917229976243,-0.12857328412801272,0.9313164980988404,2025-10-22,2025-12-16,84,15,19,229,0.9087301587301587,1.1892205258579152,1.4698024680069322,0.0,0.9331575804094413,1.4698024680069322,77.51522825261348,0.07751522825261349,4
th_0p055,0.055,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.3398196607917565,0.24311463275560916,1.3248235944696447,-0.28184043392573266,56.87832852950898,2016-03-08,2016-12-05,774,172,740,2726,0.7797482837528604,1.2794852094862712,1.5,0.2631578947368421,0.8917784238193718,1.5,741.2316040567227,0.7412316040567227,30
th_0p055,0.055,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3686611532439623,0.2467232636239982,1.3955362163739138,-0.28184043392573277,22.065315970268724,2016-03-08,2016-12-05,622,124,225,2275,0.9027777777777778,1.275944972234554,1.5,0.20357142857142857,1.0289739205737718,1.5,611.140335530494,0.6111403355304941,20
th_0p055,0.055,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6164991867575591,0.2561876056033413,2.0025651237466198,-0.1810160376388822,10.03767118791844,2022-03-22,2022-06-09,338,78,101,1141,0.9055555555555556,1.2281977771309271,1.5,0.07698412698412699,0.9916625189752308,1.5,328.1421064402539,0.3281421064402539,18
th_0p055,0.055,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.993545623056759,0.26364405172262595,2.749481934206552,-0.1640231821875694,6.92279716168869,2024-07-15,2024-09-10,208,49,53,695,0.9193121693121693,1.1704345571413106,1.5,0.11904761904761904,0.943655338569212,1.5,196.14649805543277,0.1961464980554328,8
th_0p055,0.055,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.9312850341709324,0.24437217297987668,2.817605827739467,-0.12857328412801283,0.9312850341709324,2025-10-22,2025-12-16,82,16,19,229,0.9087301587301587,1.187749124526595,1.4698024680069322,0.0,0.9322142767353216,1.4698024680069322,77.13749589896881,0.07713749589896882,4
th_0p06,0.06,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.339848775967422,0.2430254528178504,1.3253156423588406,-0.2816726507568713,56.89577954394195,2016-03-08,2016-12-05,764,159,740,2726,0.7797482837528604,1.27855650339555,1.5,0.26458810068649885,0.8908450060049204,1.5,740.2334760048066,0.7402334760048066,30
th_0p06,0.06,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3683504190222089,0.24651067931154183,1.3956077776081885,-0.2816726507568713,22.01300305841236,2016-03-08,2016-12-05,614,113,225,2275,0.9027777777777778,1.2745476580188153,1.5,0.20396825396825397,1.027558956669293,1.5,610.2276830400706,0.6102276830400706,20
th_0p06,0.06,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6155129923273397,0.2557171590087835,2.003393347408381,-0.1808565445825775,10.004042911968007,2022-03-22,2022-06-09,331,68,101,1141,0.9055555555555556,1.2248150123677755,1.5,0.07698412698412699,0.9883136295555965,1.5,327.3589694611602,0.32735896946116017,18
th_0p06,0.06,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.996374673945998,0.2639480981699244,2.7520107906535936,-0.1640231821875695,6.956574897638342,2024-07-15,2024-09-10,203,42,53,695,0.9193121693121693,1.1744728719406572,1.5,0.11904761904761904,0.9460453912157728,1.5,196.49806303171454,0.19649806303171455,8
th_0p06,0.06,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.9439242751228099,0.24550712744686476,2.8323453594730794,-0.12857328412801228,0.9439242751228099,2025-10-22,2025-12-16,79,11,19,229,0.9087301587301587,1.199694349927432,1.4698024680069322,0.0,0.9386551507483725,1.4698024680069322,77.58795694454784,0.07758795694454784,4
th_0p065,0.065,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.3402263391724816,0.24258353944653313,1.328452527489438,-0.28167265075687253,57.12252549842944,2016-03-08,2016-12-05,753,145,740,2726,0.7797482837528604,1.2767325189496124,1.5,0.2248283752860412,0.8898999710767772,1.5,738.948418937425,0.738948418937425,30
th_0p065,0.065,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3694888627601354,0.24657704033446265,1.3986681623603565,-0.2816726507568724,22.205185658945375,2016-03-08,2016-12-05,606,103,225,2275,0.9027777777777778,1.27564805550329,1.5,0.20992063492063492,1.0285872543400807,1.5,610.3401217834667,0.6103401217834666,20
th_0p065,0.065,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6171432335140621,0.25579163707080554,2.0068213721708994,-0.18087694942569466,10.059676900049281,2022-03-22,2022-06-09,326,62,101,1141,0.9055555555555556,1.2261186576264718,1.5,0.07698412698412699,0.9895150015990756,1.5,327.50598623542345,0.3275059862354235,18
