window,start,end,all_new_asset_cagr,cash_only_cagr,full_entry_cagr,cash_only_delta_cagr,full_entry_delta_cagr,all_new_asset_maxdd,cash_only_maxdd,full_entry_maxdd,cash_only_delta_maxdd,full_entry_delta_maxdd,all_new_asset_switch_staged_initials,cash_only_switch_staged_initials,full_entry_switch_staged_initials,all_new_asset_half_position_days,cash_only_half_position_days,full_entry_half_position_days
5Y,2021-02-24,2026-05-08,0.6142611650000191,0.5470649201135636,0.5618318241350369,-0.06719624488645559,-0.0524293408649823,-0.18054057908721044,-0.2334262511276446,-0.20932457195842058,-0.05288567204043415,-0.02878399287121014,123,0,0,252,28,0
3Y,2023-03-22,2026-05-08,0.9901123308212767,0.9613949435345419,0.9589511021329842,-0.028717387286734786,-0.03116122868829252,-0.16550599700214552,-0.18670962859790252,-0.18806006474936843,-0.021203631595757,-0.022554067747222906,82,0,0,173,12,0
1Y,2025-04-22,2026-05-08,0.9273611718414703,0.936168369413066,0.9564798164694914,0.00880719757159576,0.029118644628021162,-0.12751321964343487,-0.15299685941320085,-0.15269685726170357,-0.025483639769765976,-0.025183637618268695,34,0,0,71,7,0
