candidate,SCALE_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,ann_return_full,ann_return_last_10y,ann_return_last_5y,ann_return_last_3y,ann_return_last_1y,max_dd_full,max_dd_last_10y,max_dd_last_5y,max_dd_last_3y,max_dd_last_1y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_5y,sharpe_repo_last_3y,sharpe_repo_last_1y,ann_vol_full,ann_vol_last_10y,ann_vol_last_5y,ann_vol_last_3y,ann_vol_last_1y,trades_full,trades_last_10y,trades_last_5y,trades_last_3y,trades_last_1y,scale_rebalance_days_full,scale_rebalance_days_last_10y,scale_rebalance_days_last_5y,scale_rebalance_days_last_3y,scale_rebalance_days_last_1y,turnover_sum_full,turnover_sum_last_10y,turnover_sum_last_5y,turnover_sum_last_3y,turnover_sum_last_1y,cost_total_full,cost_total_last_10y,cost_total_last_5y,cost_total_last_3y,cost_total_last_1y,avg_weight_full,avg_weight_last_10y,avg_weight_last_5y,avg_weight_last_3y,avg_weight_last_1y,max_weight_full,max_weight_last_10y,max_weight_last_5y,max_weight_last_3y,max_weight_last_1y,pct_at_max_lev_full,pct_at_max_lev_last_10y,pct_at_max_lev_last_5y,pct_at_max_lev_last_3y,pct_at_max_lev_last_1y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_5y,holding_day_ratio_last_3y,holding_day_ratio_last_1y,decision_hint,stability_label
th_0_current,0.0,0.25,80,1.5,0.3381534008419198,0.3672158518460762,0.6142611650000189,0.9901123308212749,0.9273611718414676,-0.2813236162531615,-0.2813236162531614,-0.18054057908720955,-0.16550599700214497,-0.12751321964343443,1.3200085722069088,1.3897531274427721,1.9987807355215854,2.7453183483686088,2.8123633111983923,0.2430461765341405,0.24704891575627724,0.25594565589215484,0.2633890884093426,0.2440807268277651,1986,1661,1005,618,223,3496,2520,1260,756,252,747.074356353005,616.9148056507703,331.25900324378017,197.66723363358662,78.01552660427211,0.747074356353005,0.6169148056507703,0.3312590032437802,0.19766723363358663,0.07801552660427212,1.2816964040673735,1.2793693240207324,1.2280809528035683,1.1703965355968986,1.1906786903829383,1.5,1.5,1.5,1.5,1.5,0.3778604118993135,0.36547619047619045,0.17539682539682538,0.1626984126984127,0.05555555555555555,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p05,0.05,0.25,80,1.5,0.340499740129139,0.3698481421989035,0.6174248731424741,0.991315461303456,0.9313164980988404,-0.281840433925732,-0.281840433925732,-0.17999528301758538,-0.16419315802273104,-0.12857328412801272,1.3279066232816459,1.3994938735386162,2.0058467376284517,2.745687062981183,2.815917229976243,0.24289073190940652,0.24662761886475895,0.2560335130307997,0.2635946760518341,0.24453871930201204,778,628,342,212,84,180,128,79,49,15,741.0640919299938,611.6051836769652,328.66249330084395,196.5841384978014,77.51522825261348,0.7410640919299937,0.6116051836769651,0.32866249330084396,0.1965841384978014,0.07751522825261349,1.278386774181175,1.275342380814143,1.2278498999595644,1.1696152326503366,1.1892205258579152,1.5,1.5,1.5,1.5,1.4698024680069322,0.22568649885583525,0.20277777777777778,0.07698412698412699,0.11904761904761904,0.0,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p055,0.055,0.25,80,1.5,0.3398196607917565,0.3686611532439623,0.6164991867575591,0.993545623056759,0.9312850341709324,-0.28184043392573266,-0.28184043392573277,-0.1810160376388822,-0.1640231821875694,-0.12857328412801283,1.3248235944696447,1.3955362163739138,2.0025651237466198,2.749481934206552,2.817605827739467,0.24311463275560916,0.2467232636239982,0.2561876056033413,0.26364405172262595,0.24437217297987668,774,622,338,208,82,172,124,78,49,16,741.2316040567227,611.140335530494,328.1421064402539,196.14649805543277,77.13749589896881,0.7412316040567227,0.6111403355304941,0.3281421064402539,0.1961464980554328,0.07713749589896882,1.2794852094862712,1.275944972234554,1.2281977771309271,1.1704345571413106,1.187749124526595,1.5,1.5,1.5,1.5,1.4698024680069322,0.2631578947368421,0.20357142857142857,0.07698412698412699,0.11904761904761904,0.0,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p06,0.06,0.25,80,1.5,0.339848775967422,0.3683504190222089,0.6155129923273397,0.996374673945998,0.9439242751228099,-0.2816726507568713,-0.2816726507568713,-0.1808565445825775,-0.1640231821875695,-0.12857328412801228,1.3253156423588406,1.3956077776081885,2.003393347408381,2.7520107906535936,2.8323453594730794,0.2430254528178504,0.24651067931154183,0.2557171590087835,0.2639480981699244,0.24550712744686476,764,614,331,203,79,159,113,68,42,11,740.2334760048066,610.2276830400706,327.3589694611602,196.49806303171454,77.58795694454784,0.7402334760048066,0.6102276830400706,0.32735896946116017,0.19649806303171455,0.07758795694454784,1.27855650339555,1.2745476580188153,1.2248150123677755,1.1744728719406572,1.199694349927432,1.5,1.5,1.5,1.5,1.4698024680069322,0.26458810068649885,0.20396825396825397,0.07698412698412699,0.11904761904761904,0.0,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p065,0.065,0.25,80,1.5,0.3402263391724816,0.3694888627601354,0.6171432335140621,0.9962644527047275,0.9349300496524993,-0.28167265075687253,-0.2816726507568724,-0.18087694942569466,-0.16402318218756984,-0.12857328412801283,1.328452527489438,1.3986681623603565,2.0068213721708994,2.7493243514064774,2.8185908846887884,0.24258353944653313,0.24657704033446265,0.25579163707080554,0.2642100409287126,0.24501211867635195,753,606,326,201,79,145,103,62,40,11,738.948418937425,610.3401217834667,327.50598623542345,196.36697209832155,77.0997364588201,0.738948418937425,0.6103401217834666,0.3275059862354235,0.19636697209832155,0.07709973645882011,1.2767325189496124,1.27564805550329,1.2261186576264718,1.17455908096282,1.1933500618546997,1.5,1.5,1.5,1.5,1.4815309307098972,0.2248283752860412,0.20992063492063492,0.07698412698412699,0.11904761904761904,0.0,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p07,0.07,0.25,80,1.5,0.34058790122369187,0.3707223179359793,0.6211945266049943,1.0037130919547548,0.9321015785014526,-0.2815693958531643,-0.2815693958531643,-0.18074943043101266,-0.15997811580528576,-0.12857328412801272,1.3287508362870777,1.4012425242883244,2.0146594064530547,2.7674062297358777,2.812974251123831,0.24276374146923357,0.2468053408057827,0.2560742968049937,0.2637900210569647,0.24497698545006386,752,603,324,198,79,140,98,58,35,11,739.2560901319852,610.3976587891784,327.6153240288835,195.5423378344629,76.93199736816015,0.7392560901319852,0.6103976587891784,0.32761532402888344,0.1955423378344629,0.07693199736816014,1.2775620559542218,1.2766354708249645,1.2283839390809712,1.1715975537345236,1.191690113934838,1.5,1.5,1.5,1.5,1.4815309307098972,0.2248283752860412,0.20992063492063492,0.07698412698412699,0.11904761904761904,0.0,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p075,0.075,0.25,80,1.5,0.34044021152852144,0.3705640233109051,0.6238955769998922,1.0080478997182034,0.9440619559571293,-0.2808535727448864,-0.2808535727448864,-0.18099350517126878,-0.16295642658038412,-0.12857328412801272,1.331567397664375,1.40319929988265,2.0186333076235017,2.7692164429349897,2.814963879240325,0.2420291657667945,0.24628618399841848,0.25644170457362686,0.264462930458263,0.24719256112445925,740,590,319,197,81,123,85,53,32,13,736.9244268842438,608.1225400788392,328.15427474784497,196.53383222956518,77.87021958368246,0.7369244268842438,0.6081225400788393,0.328154274747845,0.19653383222956522,0.07787021958368245,1.2743206269304712,1.2719146915515762,1.2299363730841986,1.1755617525516824,1.2009766972248876,1.5,1.5,1.5,1.5,1.4815309307098972,0.1209954233409611,0.06587301587301587,0.07698412698412699,0.11904761904761904,0.0,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p08,0.08,0.25,80,1.5,0.34126954660764564,0.3720992023381695,0.6229158935845318,1.0100113783314608,0.9443144096242089,-0.27812799049248094,-0.27812799049248094,-0.1819619457800652,-0.15987888874558798,-0.1285732841280124,1.3364860747866087,1.410059527896916,2.0252268461664245,2.777119695256048,2.821137217410983,0.24150557178962007,0.24579604986167045,0.25514330234270455,0.26402088893801384,0.24664933605463363,728,583,313,194,79,111,77,47,31,12,734.2235312115793,606.36744580881,325.2131767671636,195.36944206425858,77.21337060730252,0.7342235312115792,0.60636744580881,0.3252131767671636,0.1953694420642586,0.07721337060730252,1.2704052509350199,1.2677956448761392,1.2203601070412875,1.170755027736486,1.1921113626023279,1.5,1.5,1.5,1.5,1.5,0.12757437070938216,0.075,0.09523809523809523,0.14947089947089948,0.09126984126984126,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p085,0.085,0.25,80,1.5,0.3417365672501924,0.371595481749436,0.6212298540294203,1.0062642471880308,0.9489367513564397,-0.27858519567396356,-0.27858519567396356,-0.18297290083310702,-0.16295642658038434,-0.1285732841280125,1.3368227829271557,1.4068087928687405,2.0148598715302475,2.770741173449426,2.833950776031856,0.24174856866274694,0.24616726847919915,0.25605334919319434,0.26394634635829584,0.24634628164414962,724,580,312,191,76,102,70,43,27,9,735.3101407279644,607.555826358245,326.4735866809257,195.4419998247418,76.84216167094809,0.7353101407279643,0.607555826358245,0.32647358668092563,0.1954419998247418,0.07684216167094808,1.2722532451232036,1.2700640122499853,1.2250054998717677,1.1701023446650267,1.1867562066461088,1.5,1.5,1.5,1.5,1.5,0.12757437070938216,0.075,0.09523809523809523,0.14947089947089948,0.09126984126984126,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
th_0p09,0.09,0.25,80,1.5,0.34190393265768204,0.371038297728177,0.6199143371647593,1.003522173470238,0.9659675365642109,-0.2781713106282314,-0.2781713106282314,-0.1847904524066054,-0.16295642658038434,-0.1285732841280124,1.3379933344163957,1.4062084196147198,2.0143158681378504,2.76829631581567,2.851225435144599,0.2416069012916681,0.24594793548670313,0.25567522899856093,0.2636623699957735,0.24806092138125868,721,578,311,190,77,96,64,38,25,8,736.1151625418629,608.3009374770875,327.3443601901661,196.13867897617342,78.13911581553455,0.7361151625418629,0.6083009374770876,0.3273443601901661,0.19613867897617343,0.07813911581553455,1.2727027161506446,1.2706206386653704,1.2263985061521383,1.1723632250834555,1.2037007968640143,1.5,1.5,1.5,1.5,1.5,0.12242562929061784,0.06785714285714285,0.08095238095238096,0.1349206349206349,0.19444444444444445,0.7797482837528604,0.9027777777777778,0.9055555555555556,0.9193121693121693,0.9087301587301587,candidate,pending
