candidate,SCALE_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,scale_rebalance_days,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,pct_at_max_lev,avg_final_exposure,max_final_exposure,turnover_sum,cost_total,overheat_days
th_0_current,0.0,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.3381534008419198,0.2430461765341405,1.3200085722069088,-0.2813236162531615,55.88770174896498,2016-03-08,2016-12-05,1986,3496,740,2726,0.7797482837528604,1.2816964040673735,1.5,0.3778604118993135,0.8925230040765298,1.5,747.074356353005,0.747074356353005,30
th_0_current,0.0,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3672158518460762,0.24704891575627724,1.3897531274427721,-0.2813236162531614,21.82290122158045,2016-03-08,2016-12-05,1661,2520,225,2275,0.9027777777777778,1.2793693240207324,1.5,0.36547619047619045,1.0310074370242654,1.5,616.9148056507703,0.6169148056507703,20
th_0_current,0.0,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6142611650000189,0.25594565589215484,1.9987807355215854,-0.18054057908720955,9.96147491635785,2022-03-22,2022-06-09,1005,1260,101,1141,0.9055555555555556,1.2280809528035683,1.5,0.17539682539682538,0.9908673512637344,1.5,331.25900324378017,0.3312590032437802,18
th_0_current,0.0,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.9901123308212749,0.2633890884093426,2.7453183483686088,-0.16550599700214497,6.881933599188144,2024-07-15,2024-09-10,618,756,53,695,0.9193121693121693,1.1703965355968986,1.5,0.1626984126984127,0.9423933085580369,1.5,197.66723363358662,0.19766723363358663,8
th_0_current,0.0,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.9273611718414676,0.2440807268277651,2.8123633111983923,-0.12751321964343443,0.9273611718414676,2025-10-22,2025-12-16,223,252,19,229,0.9087301587301587,1.1906786903829383,1.5,0.05555555555555555,0.9327550930792038,1.5,78.01552660427211,0.07801552660427212,4
th_0p005,0.005,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.33824382577305045,0.2430647017724996,1.3202046398700398,-0.28131212382593196,55.941054947341556,2016-03-08,2016-12-05,1243,891,740,2726,0.7797482837528604,1.2817505884862193,1.5,0.35411899313501144,0.8926357452664154,1.5,746.2638029495026,0.7462638029495027,30
th_0p005,0.005,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3673130382068006,0.24706334332123214,1.3899740576427322,-0.28131212382593196,21.839129707739335,2016-03-08,2016-12-05,1015,693,225,2275,0.9027777777777778,1.279442334991176,1.5,0.33214285714285713,1.0311123208703443,1.5,616.1874333864433,0.6161874333864433,20
th_0p005,0.005,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6146672493300533,0.255954042889465,1.9997074870385951,-0.1805474726142431,9.975269224836476,2022-03-22,2022-06-09,599,460,101,1141,0.9055555555555556,1.2281152959429933,1.5,0.10634920634920635,0.9909661260852929,1.5,330.763203096916,0.33076320309691604,18
th_0p005,0.005,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.99104871202831,0.2634138196177931,2.7468743605897092,-0.16549627452530602,6.893064580450904,2024-07-15,2024-09-10,349,257,53,695,0.9193121693121693,1.1705130423332966,1.5,0.167989417989418,0.9425841770437955,1.5,197.36268892751417,0.19736268892751413,8
th_0p005,0.005,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.928081353249685,0.24413313041951298,2.813344040366446,-0.1275566470847075,0.928081353249685,2025-10-22,2025-12-16,141,111,19,229,0.9087301587301587,1.190697230032659,1.5,0.05952380952380952,0.932888968751716,1.5,77.90903678678029,0.0779090367867803,4
th_0p01,0.01,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.33797501874319313,0.24307946423109328,1.3193145434296984,-0.28198314987440376,55.78258739055047,2016-03-08,2016-12-05,1063,627,740,2726,0.7797482837528604,1.2815068514396721,1.5,0.3481121281464531,0.8924666569022959,1.5,745.3798914932123,0.7453798914932124,30
th_0p01,0.01,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3670659735067945,0.24703563388957384,1.3893710684063898,-0.28198314987440387,21.79789440500487,2016-03-08,2016-12-05,858,475,225,2275,0.9027777777777778,1.2790678880612154,1.5,0.3238095238095238,1.0308232985515304,1.5,615.3448898276117,0.6153448898276117,20
th_0p01,0.01,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6148781196533468,0.2559275585434649,2.0003994149289643,-0.18035855316611804,9.982437770383802,2022-03-22,2022-06-09,497,315,101,1141,0.9055555555555556,1.2276464396618398,1.5,0.08888888888888889,0.9905966878027769,1.5,330.1876604193336,0.33018766041933356,18
th_0p01,0.01,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.9908269633143085,0.26345499200205413,2.746061299371577,-0.16513629038310162,6.890427655522404,2024-07-15,2024-09-10,293,184,53,695,0.9193121693121693,1.170259975305159,1.5,0.1388888888888889,0.942447462093185,1.5,197.11616032998967,0.19711616032998966,8
th_0p01,0.01,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.925181833959531,0.24409112520656395,2.807608369983844,-0.12754624024530758,0.925181833959531,2025-10-22,2025-12-16,119,80,19,229,0.9087301587301587,1.1902635186418447,1.5,0.05952380952380952,0.9324679650784268,1.5,77.77440771846074,0.07777440771846075,4
th_0p02,0.02,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.3374332436657461,0.2430962727188401,1.317577425622467,-0.2821047686846926,55.464442081126236,2016-03-08,2016-12-05,917,395,740,2726,0.7797482837528604,1.2810302262672368,1.5,0.30463386727688785,0.8922358191321756,1.5,744.1637670913292,0.744163767091329,30
th_0p02,0.02,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.3663420592470923,0.24717419949334243,1.3865911259854042,-0.2821047686846927,21.67745801391739,2016-03-08,2016-12-05,738,292,225,2275,0.9027777777777778,1.2791729964115401,1.5,0.3123015873015873,1.0308676239491152,1.5,614.526310553531,0.614526310553531,20
th_0p02,0.02,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.614382337852317,0.256064980644246,1.9982618259599407,-0.18003548505088285,9.965589593182436,2022-03-22,2022-06-09,420,194,101,1141,0.9055555555555556,1.2272991394797375,1.5,0.08968253968253968,0.9904075337399598,1.5,329.5337665984631,0.3295337665984631,18
th_0p02,0.02,0.25,80,1.5,last_3y,2023-03-22,2026-05-08,756,0.9920121960575026,0.26362825596599526,2.7466907264377545,-0.16501235064950737,6.90452867309905,2024-07-15,2024-09-10,252,115,53,695,0.9193121693121693,1.1702438290378372,1.5,0.1402116402116402,0.9424842000622463,1.5,196.96559402192014,0.19696559402192018,8
th_0p02,0.02,0.25,80,1.5,last_1y,2025-04-22,2026-05-08,252,0.9290637835344813,0.2442625660973389,2.8140744609515456,-0.1275974997823407,0.9290637835344813,2025-10-22,2025-12-16,100,47,19,229,0.9087301587301587,1.1899254577049223,1.5,0.06349206349206349,0.9319897419576344,1.5,77.67887876363812,0.07767887876363813,4
th_0p03,0.03,0.25,80,1.5,full,2011-12-09,2026-05-08,3496,0.3381905617888008,0.24330054919953573,1.3190021902959468,-0.2823301801066148,55.90962211340681,2016-03-08,2016-12-05,839,282,740,2726,0.7797482837528604,1.2815994975825162,1.5,0.32780320366132726,0.8928354630365605,1.5,743.769567679404,0.743769567679404,30
th_0p03,0.03,0.25,80,1.5,last_10y,2015-12-18,2026-05-08,2520,0.36698597791779,0.24731348647516033,1.3878530662543351,-0.2823301801066148,21.784557441971458,2016-03-08,2016-12-05,678,207,225,2275,0.9027777777777778,1.279574382964083,1.5,0.3261904761904762,1.0313758612894726,1.5,614.096573693587,0.6140965736935871,20
th_0p03,0.03,0.25,80,1.5,last_5y,2021-02-24,2026-05-08,1260,0.6147925299434678,0.25617314895765797,1.9985147745841911,-0.18082557788369058,9.97952769309455,2022-03-22,2022-06-09,373,132,101,1141,0.9055555555555556,1.2275946160322981,1.5,0.09047619047619047,0.991027216576189,1.5,329.0266775564346,0.32902667755643455,18
