version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,cash_staged_initials,switch_staged_initials
1.1,v1_1_all_new_asset_50_plus_ma60_overheat,5Y,2021-02-24,2026-05-08,1260,9.961474916357858,0.6142611650000191,-0.18054057908721044,1.9987807355215814,0.25594565589215545,101,252,252,141,118,18,6,6,1005,0.3312590032437671,331.2590032437801,1.2280809528035683,0.9908673512637344,1.5,18,123
1.1,v1_1_all_new_asset_50_plus_ma60_overheat,3Y,2023-03-22,2026-05-08,756,6.881933599188165,0.9901123308212767,-0.16550599700214552,2.745318348368608,0.26338908840934316,53,173,173,89,73,8,4,4,618,0.19766723363357788,197.6672336335866,1.1703965355968986,0.9423933085580369,1.5,7,82
1.1,v1_1_all_new_asset_50_plus_ma60_overheat,1Y,2025-04-22,2026-05-08,252,0.9273611718414703,0.9273611718414703,-0.12751321964343487,2.812363311198394,0.24408072682776577,19,71,71,38,27,4,2,2,223,0.07801552660426843,78.01552660427211,1.1906786903829383,0.9327550930792038,1.5,4,34
1.1,v1_1_cash_only_50_plus_ma60_overheat,5Y,2021-02-24,2026-05-08,1260,7.862223383797398,0.5470649201135636,-0.2334262511276446,1.7541833254030825,0.2691742773780264,101,28,28,18,14,18,6,6,227,0.3211381101761942,321.13811017619423,1.124511219016191,1.002037196782626,1.5,18,0
1.1,v1_1_cash_only_50_plus_ma60_overheat,3Y,2023-03-22,2026-05-08,756,6.5456238896619565,0.9613949435345419,-0.18670962859790252,2.510175311534987,0.28435196569243215,53,12,12,7,6,8,4,4,136,0.18978124408332886,189.7812440833289,1.0437368510906981,0.9488894356335391,1.5,7,0
1.1,v1_1_cash_only_50_plus_ma60_overheat,1Y,2025-04-22,2026-05-08,252,0.936168369413066,0.936168369413066,-0.15299685941320085,2.698571773127195,0.25732689343997295,19,7,7,4,3,4,2,2,58,0.07844738627488426,78.44738627488425,1.0643108869045346,0.9620534220353433,1.4262348315064215,4,0
1.1,v1_1_full_entry_no_staged_plus_ma60_overheat,5Y,2021-02-24,2026-05-08,1260,8.293329577392745,0.5618318241350369,-0.20932457195842058,1.7702138044550586,0.2725748025870686,101,0,0,0,0,18,6,6,211,0.31961661298155275,319.6166129815527,1.107778688644803,1.0033966429344814,1.5,0,0
1.1,v1_1_full_entry_no_staged_plus_ma60_overheat,3Y,2023-03-22,2026-05-08,756,6.517454129806237,0.9589511021329842,-0.18806006474936843,2.4972375923291072,0.2854486977536862,53,0,0,0,0,8,4,4,128,0.19017425275523472,190.1742527552347,1.0425847637119774,0.9567539095621288,1.5,0,0
1.1,v1_1_full_entry_no_staged_plus_ma60_overheat,1Y,2025-04-22,2026-05-08,252,0.9564798164694914,0.9564798164694914,-0.15269685726170357,2.706356522086523,0.2607767494233384,19,0,0,0,0,4,2,2,53,0.07892192166401509,78.92192166401509,1.0626100274544168,0.9752557412847564,1.4196316832265683,0,0
