candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,buffer_blocked_days,reason
lb_28_r2_0p50_buf_1p00,layer2_primary,28,0.5,0p50,1.0,1p00,full,Full,2016-12-30,2007-01-04,2432.0,0.10092421030037846,0.17758945810705845,-0.263020759917026,0.6305721057622796,982.0,253.0,0.385,385.0,0.5962171052631579,0.0,
lb_28_r2_0p50_buf_1p00,layer2_primary,28,0.5,0p50,1.0,1p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00,layer2_primary,28,0.5,0p50,1.0,1p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10390699008030158,0.17115630961521153,-0.20729986340862616,0.6636746822091212,501.0,132.0,0.20800000000000002,208.0,0.6023809523809524,0.0,
lb_28_r2_0p50_buf_1p00,layer2_primary,28,0.5,0p50,1.0,1p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07125425340528535,0.17065101380104153,-0.20581668109433926,0.48933903871767603,322.0,77.0,0.12000000000000001,120.0,0.5740740740740741,0.0,
lb_28_r2_0p50_buf_1p00,layer2_primary,28,0.5,0p50,1.0,1p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,7.520639264080309e-05,0.1343453779455927,-0.20581668109433982,0.06835744361651232,116.0,20.0,0.033,33.0,0.5396825396825397,0.0,
lb_28_r2_0p50_buf_1p02,layer2_primary,28,0.5,0p50,1.02,1p02,full,Full,2016-12-30,2007-01-04,2432.0,0.10326091913679192,0.17775159423089146,-0.2760012877421597,0.6420965125168517,982.0,247.0,0.373,373.0,0.5962171052631579,9.0,
lb_28_r2_0p50_buf_1p02,layer2_primary,28,0.5,0p50,1.02,1p02,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p02,layer2_primary,28,0.5,0p50,1.02,1p02,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11093619966458657,0.17113338247162896,-0.20654528759193436,0.7008460128618063,501.0,129.0,0.202,202.0,0.6023809523809524,4.0,
lb_28_r2_0p50_buf_1p02,layer2_primary,28,0.5,0p50,1.02,1p02,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07364151241842021,0.1706544539825805,-0.20581668109433937,0.5023802161713079,322.0,77.0,0.12000000000000001,120.0,0.5740740740740741,2.0,
lb_28_r2_0p50_buf_1p02,layer2_primary,28,0.5,0p50,1.02,1p02,last_1y,1Y,2016-12-30,2015-12-22,252.0,7.520639264058104e-05,0.13434537794559265,-0.2058166810943396,0.06835744361651235,116.0,20.0,0.033,33.0,0.5396825396825397,0.0,
lb_28_r2_0p50_buf_1p03,layer2_primary,28,0.5,0p50,1.03,1p03,full,Full,2016-12-30,2007-01-04,2432.0,0.1056592361947657,0.1773811225981591,-0.27600128774215993,0.6553292523507084,982.0,245.0,0.369,369.0,0.5962171052631579,16.0,
lb_28_r2_0p50_buf_1p03,layer2_primary,28,0.5,0p50,1.03,1p03,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p03,layer2_primary,28,0.5,0p50,1.03,1p03,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11243542689278074,0.17124301513265588,-0.20654528759193502,0.7083843468922688,501.0,129.0,0.202,202.0,0.6023809523809524,6.0,
lb_28_r2_0p50_buf_1p03,layer2_primary,28,0.5,0p50,1.03,1p03,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07605742756606126,0.17083943521852374,-0.20581668109433893,0.5151794088962904,322.0,77.0,0.12000000000000001,120.0,0.5740740740740741,4.0,
lb_28_r2_0p50_buf_1p03,layer2_primary,28,0.5,0p50,1.03,1p03,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.006748472563994579,0.1349678340551821,-0.20581668109433937,0.11793005132245754,116.0,20.0,0.033,33.0,0.5396825396825397,1.0,
lb_28_r2_0p50_buf_1p05,layer2_primary,28,0.5,0p50,1.05,1p05,full,Full,2016-12-30,2007-01-04,2432.0,0.10448872994436043,0.1768462071810074,-0.2770488446000583,0.6507934673359833,982.0,241.0,0.361,361.0,0.5962171052631579,28.0,
lb_28_r2_0p50_buf_1p05,layer2_primary,28,0.5,0p50,1.05,1p05,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p05,layer2_primary,28,0.5,0p50,1.05,1p05,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10577762926085121,0.17005810876903865,-0.2058166810943396,0.6768382932997565,501.0,127.0,0.198,198.0,0.6023809523809524,13.0,
