candidate,score_max,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,cash_days_full,cash_days_last_10y,cash_days_last_1y,cash_days_last_3y,cash_days_last_5y,trade_days_full,trade_days_last_10y,trade_days_last_1y,trade_days_last_3y,trade_days_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_current_full,max_dd_delta_vs_current_full,ann_return_delta_vs_current_last_10y,max_dd_delta_vs_current_last_10y,ann_return_delta_vs_current_last_5y,max_dd_delta_vs_current_last_5y,ann_return_delta_vs_current_last_3y,max_dd_delta_vs_current_last_3y,ann_return_delta_vs_current_last_1y,max_dd_delta_vs_current_last_1y,decision_hint,stability_label
score_max_2,2,0.10357063005576217,0.15880522330111035,0.07249403294261003,0.2717659397542509,0.20322486716663257,0.2191221489308164,0.20926583098302712,0.27813225258334984,0.23155854075010113,0.22421403717445687,0.5592947072065259,0.8088163907696512,0.3905210070658188,1.1538929427309146,0.936924203017086,-0.5484807969776636,-0.2600163646831629,-0.22005002765059267,-0.22005002765059267,-0.26001636468316347,0.9689770821688094,1.0,1.0,1.0,1.0,0.9689770821688094,1.0,1.0,1.0,1.0,111,0,0,0,0,507,421,64,155,237,0.28032420346562326,0.3341269841269841,0.5079365079365079,0.41005291005291006,0.3761904761904762,1.0030000000000001,0.8420000000000001,0.128,0.31000000000000005,0.47400000000000003,-0.16530856625024226,-0.1505581637284824,-0.18652640824177702,-0.04518750295336027,-0.28823899907981776,-0.045187502953360825,-0.3365482500324597,-0.0482013360186877,-0.310134090241726,-0.04820133601868781,score_max_scan,pending_review
score_max_3,3,0.17822343678077956,0.24268645650130471,0.16087162723603488,0.3836902519322878,0.2951708925251717,0.23652846465022812,0.225129247116715,0.30484719473921673,0.25545624154189567,0.24172086999890616,0.8118067008172756,1.077722779402443,0.6415275711793554,1.3991475308493593,1.1906007176082611,-0.4813950494313969,-0.280911370308368,-0.14674175784273136,-0.15852378177262139,-0.2809113703083682,0.9751257685858021,1.0,1.0,1.0,1.0,0.9751257685858021,1.0,1.0,1.0,1.0,89,0,0,0,0,440,362,60,138,203,0.24287311347121296,0.2873015873015873,0.47619047619047616,0.36507936507936506,0.32222222222222224,0.8690000000000001,0.724,0.12000000000000001,0.276,0.406,-0.09065575952522487,-0.08347241618221568,-0.10264517504158266,-0.06608250857856535,-0.19629297372127863,-0.06608250857856557,-0.2246239378544228,0.013324909859283585,-0.22175649594830116,0.025106933789173502,score_max_scan,pending_review
score_max_4,4,0.2137567191871883,0.27586216336334135,0.14886794485500787,0.45156083959226967,0.3847834593749049,0.2492271536232223,0.23957416280035507,0.3095758933049676,0.28672320109526855,0.26535318823252935,0.9014559153492138,1.135815250914466,0.6027723294759895,1.4408022016249706,1.3577385569322915,-0.4760989922931418,-0.2384574969188853,-0.16377427200035266,-0.16377427200035177,-0.2384574969188853,0.9787590832867524,1.0,1.0,1.0,1.0,0.9787590832867524,1.0,1.0,1.0,1.0,76,0,0,0,0,385,314,47,113,174,0.2121296813862493,0.2492063492063492,0.373015873015873,0.29894179894179895,0.2761904761904762,0.759,0.628,0.094,0.226,0.34800000000000003,-0.05512247711881613,-0.07817635904396059,-0.06946946817954602,-0.023628635189082647,-0.10668040687154545,-0.023628635189082647,-0.15675335019444092,0.008074419631553198,-0.23376017832932816,0.008074419631552199,score_max_scan,pending_review
score_max_4p5,4.5,0.23921294748910404,0.3062869178988523,0.41447236466124715,0.6074511484063718,0.4665182071083245,0.25126725875934997,0.2399816262584112,0.3095572429757984,0.2867644951650933,0.2652514840293707,0.9788249183863832,1.232580844962237,1.2753115378834747,1.7969372768144403,1.5746211049901522,-0.46423411982803287,-0.2284820915548248,-0.15337104448115801,-0.15852378177262083,-0.22848209155482457,0.980715483510341,1.0,1.0,1.0,1.0,0.980715483510341,1.0,1.0,1.0,1.0,69,0,0,0,0,360,291,43,102,157,0.19815539407490218,0.23095238095238096,0.3412698412698413,0.2698412698412698,0.2492063492063492,0.7090000000000001,0.5820000000000001,0.086,0.20400000000000001,0.314,-0.029666248816900387,-0.06631148657885166,-0.039044713644035056,-0.01365322982502215,-0.024945659138125853,-0.013653229825021929,-0.0008630413803387693,0.01332490985928414,0.03184424147691112,0.018477647150746845,score_max_scan,pending_review
score_max_5,5,0.26887919630600443,0.3453316315428874,0.38262812318433603,0.6083141897867106,0.49146386624645033,0.25460504438911274,0.24231764211886048,0.31939981087959024,0.29149854821173,0.26839790822800824,1.0622269991800415,1.344651479265608,1.1742666235037937,1.7742172088624086,1.62217662713134,-0.3979226332491812,-0.21482886172980264,-0.17184869163190486,-0.17184869163190497,-0.21482886172980264,0.9821129122414757,1.0,1.0,1.0,1.0,0.9821129122414757,1.0,1.0,1.0,1.0,64,0,0,0,0,349,286,45,101,155,0.19256567915036332,0.22698412698412698,0.35714285714285715,0.2671957671957672,0.24603174603174602,0.689,0.5720000000000001,0.09000000000000001,0.202,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,score_max_scan,pending_review
score_max_5p5,5.5,0.2763887809334038,0.36254366712955144,0.502342701804209,0.6391902006888142,0.5154320751308703,0.2556405863696988,0.2434088738310803,0.3174146109967122,0.2933583247630654,0.26947778092925095,1.082074447500865,1.3920103293586854,1.4414942509364284,1.8298118102106884,1.6760361027240633,-0.397922633249181,-0.20432103555014436,-0.17686362897116148,-0.17686362897116148,-0.20432103555014514,0.9829513694801565,1.0,1.0,1.0,1.0,0.9829513694801565,1.0,1.0,1.0,1.0,61,0,0,0,0,336,275,43,96,145,0.18585802124091672,0.21825396825396826,0.3412698412698413,0.25396825396825395,0.23015873015873015,0.665,0.55,0.08600000000000001,0.192,0.29000000000000004,0.007509584627399368,2.220446049250313e-16,0.017212035586664065,0.010507826179658286,0.023968208884419973,0.010507826179657509,0.030876010902103568,-0.005014937339256509,0.119714578619873,-0.00501493733925662,score_max_scan,pending_review
score_max_6,6,0.26892761329631387,0.33567398777741153,0.42026193870061834,0.5812621315698536,0.49372019732237904,0.2567330113129827,0.24403249530243862,0.3182487084981124,0.293285883567125,0.26952652909247965,1.0556957678634484,1.3073636439100982,1.2617206466601603,1.7072825496252464,1.6221552538102173,-0.3974227765727587,-0.21194767734914188,-0.17222095229252732,-0.17222095229252765,-0.20432103555014514,0.9840693124650642,1.0,1.0,1.0,1.0,0.9840693124650642,1.0,1.0,1.0,1.0,57,0,0,0,0,330,265,40,93,138,0.1819452207937395,0.21031746031746032,0.31746031746031744,0.24603174603174602,0.21904761904761905,0.651,0.53,0.08000000000000002,0.186,0.276,4.841699030944113e-05,0.0004998566764224943,-0.009657643765475843,0.0028811843806607618,0.002256331075928708,0.010507826179657509,-0.027052058216856967,-0.0003722606606226808,0.03763381551628231,-0.00037226066062245877,score_max_scan,pending_review
score_max_6p5,6.5,0.25504171305671797,0.3236171153206404,0.3399022414409023,0.5336008067185547,0.46427172189202603,0.2587530322655853,0.24498776355686483,0.3253942884130396,0.29645366821544283,0.27146044633294936,1.0069184478403093,1.26618003529993,1.0620157960089092,1.588836985625192,1.5391036839396084,-0.4531953295017025,-0.21194767734914188,-0.17361089271333097,-0.1736108927133312,-0.20432103555014391,0.9860257126886529,1.0,1.0,1.0,1.0,0.9860257126886529,1.0,1.0,1.0,1.0,50,0,0,0,0,322,261,38,89,134,0.17747344885410843,0.20714285714285716,0.30158730158730157,0.23544973544973544,0.2126984126984127,0.635,0.522,0.07600000000000001,0.178,0.268,-0.013837483249286464,-0.05527269625252129,-0.02171451622224696,0.0028811843806607618,-0.027192144354424297,0.01050782617965873,-0.07471338306815589,-0.001762201081426218,-0.042725881743433725,-0.0017622010814261069,score_max_scan,pending_review
score_max_7,7,0.25951603265243794,0.3152824983900899,0.4081824543557615,0.5854822992011413,0.4701089110980152,0.2618723151198897,0.2479395050776758,0.3240456108874371,0.29769472118789286,0.2759197716175586,1.0116880336487428,1.2286828179888174,1.2186767072235156,1.6954068002483846,1.5332992993509824,-0.4508922959658773,-0.20432103555014447,-0.16890475391354332,-0.16890475391354365,-0.20432103555014525,0.9877026271660145,1.0,1.0,1.0,1.0,0.9877026271660145,1.0,1.0,1.0,1.0,44,0,0,0,0,312,253,35,84,129,0.17300167691447735,0.2007936507936508,0.2777777777777778,0.2222222222222222,0.20476190476190476,0.619,0.506,0.07,0.168,0.258,-0.009363163653566486,-0.05296966271669612,-0.030049133152797447,0.010507826179658175,-0.021354955148435106,0.010507826179657398,-0.022831890585569337,0.0029439377183613225,0.02555433117142547,0.0029439377183615445,score_max_scan,pending_review
score_max_8,8,0.2796337691330866,0.3224382199173581,0.618147144160351,0.6907735293292188,0.5089270465697462,0.26625131999022744,0.252965669804354,0.3347127835975919,0.3028001606886697,0.2806389125851205,1.0589525791227814,1.2307100533449262,1.6060401761860161,1.8845330738407045,1.605156311435554,-0.45420202104411067,-0.2342752103218516,-0.16122801705383538,-0.1612280170538356,-0.20432103555014425,0.9907769703745108,1.0,1.0,1.0,1.0,0.9907769703745108,1.0,1.0,1.0,1.0,33,0,0,0,0,307,246,32,81,122,0.16908887646730017,0.19523809523809524,0.25396825396825395,0.21428571428571427,0.19365079365079366,0.605,0.492,0.064,0.162,0.24400000000000002,0.010754572827082143,-0.05627938779492947,-0.02289341162552927,-0.019446348592048968,0.017463180323295857,0.010507826179658397,0.08245933954250817,0.010620674578069367,0.23551902097601496,0.010620674578069478,score_max_scan,pending_review
