candidate,segment,metric,max_abs_diff
score_max_2,full,ann_return,6.286637876939949e-15
score_max_2,full,max_dd,1.0103029524088925e-14
score_max_2,full,ann_vol,5.273559366969494e-16
score_max_2,full,sharpe_repo,1.1102230246251565e-16
score_max_2,last_10y,ann_return,6.716849298982197e-15
score_max_2,last_10y,max_dd,2.1094237467877974e-15
score_max_2,last_10y,ann_vol,4.996003610813204e-16
score_max_2,last_10y,sharpe_repo,0.0
score_max_2,last_5y,ann_return,7.41073868937292e-15
score_max_2,last_5y,max_dd,2.942091015256665e-15
score_max_2,last_5y,ann_vol,4.996003610813204e-16
score_max_2,last_5y,sharpe_repo,1.3322676295501878e-15
score_max_2,last_3y,ann_return,7.327471962526033e-15
score_max_2,last_3y,max_dd,1.915134717478395e-15
score_max_2,last_3y,ann_vol,5.273559366969494e-16
score_max_2,last_3y,sharpe_repo,1.1102230246251565e-15
score_max_2,last_1y,ann_return,6.9111383282915995e-15
score_max_2,last_1y,max_dd,3.1363800445660672e-15
score_max_2,last_1y,ann_vol,4.996003610813204e-16
score_max_2,last_1y,sharpe_repo,2.275957200481571e-15
score_max_3,full,ann_return,6.2727600891321345e-15
score_max_3,full,max_dd,2.9976021664879227e-15
score_max_3,full,ann_vol,4.718447854656915e-16
score_max_3,full,sharpe_repo,1.1102230246251565e-16
score_max_3,last_10y,ann_return,6.2450045135165055e-15
score_max_3,last_10y,max_dd,1.7763568394002505e-15
score_max_3,last_10y,ann_vol,5.273559366969494e-16
score_max_3,last_10y,sharpe_repo,4.440892098500626e-16
score_max_3,last_5y,ann_return,7.105427357601002e-15
score_max_3,last_5y,max_dd,2.3314683517128287e-15
score_max_3,last_5y,ann_vol,4.996003610813204e-16
score_max_3,last_5y,sharpe_repo,1.3322676295501878e-15
score_max_3,last_3y,ann_return,8.215650382226158e-15
score_max_3,last_3y,max_dd,9.159339953157541e-16
score_max_3,last_3y,ann_vol,4.996003610813204e-16
score_max_3,last_3y,sharpe_repo,1.9984014443252818e-15
score_max_3,last_1y,ann_return,6.078471059822732e-15
score_max_3,last_1y,max_dd,4.996003610813204e-16
score_max_3,last_1y,ann_vol,5.551115123125783e-16
score_max_3,last_1y,sharpe_repo,1.2212453270876722e-15
score_max_4,full,ann_return,7.105427357601002e-15
score_max_4,full,max_dd,3.4416913763379853e-15
score_max_4,full,ann_vol,5.551115123125783e-16
score_max_4,full,sharpe_repo,6.661338147750939e-16
score_max_4,last_10y,ann_return,7.605027718682322e-15
score_max_4,last_10y,max_dd,2.4424906541753444e-15
score_max_4,last_10y,ann_vol,4.440892098500626e-16
score_max_4,last_10y,sharpe_repo,2.220446049250313e-16
score_max_4,last_5y,ann_return,7.105427357601002e-15
score_max_4,last_5y,max_dd,1.9984014443252818e-15
score_max_4,last_5y,ann_vol,4.996003610813204e-16
score_max_4,last_5y,sharpe_repo,4.440892098500626e-16
score_max_4,last_3y,ann_return,6.2727600891321345e-15
score_max_4,last_3y,max_dd,1.4710455076283324e-15
score_max_4,last_3y,ann_vol,4.996003610813204e-16
score_max_4,last_3y,sharpe_repo,4.440892098500626e-16
score_max_4,last_1y,ann_return,8.076872504148014e-15
score_max_4,last_1y,max_dd,2.831068712794149e-15
score_max_4,last_1y,ann_vol,5.551115123125783e-16
