check,metric,max_abs_diff
score_max_5_vs_accepted_pure_base,return,9.974659986866641e-17
score_max_5_vs_accepted_pure_base,nav,7.105427357601002e-15
score_max_5_vs_accepted_pure_base,turnover,0.0
score_max_5_vs_accepted_pure_base,fraction_before,0.0
score_max_5_vs_accepted_pure_base,position,0.0
score_max_5_runner_vs_poe,return,0.0
score_max_5_runner_vs_poe,nav,0.0
score_max_5_runner_vs_poe,turnover,0.0
score_max_5_runner_vs_poe,fraction_before,0.0
score_max_5_runner_vs_poe,position,0.0
