candidate,initial_entry_fraction,r2_threshold,switch_buffer,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,partial_position_days_full,partial_position_days_last_10y,partial_position_days_last_1y,partial_position_days_last_3y,partial_position_days_last_5y,pending_days_full,pending_days_last_10y,pending_days_last_1y,pending_days_last_3y,pending_days_last_5y,max_pending_days_full,max_pending_days_last_10y,max_pending_days_last_1y,max_pending_days_last_3y,max_pending_days_last_5y,staged_initials_full,staged_initials_last_10y,staged_initials_last_1y,staged_initials_last_3y,staged_initials_last_5y,staged_fills_full,staged_fills_last_10y,staged_fills_last_1y,staged_fills_last_3y,staged_fills_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_full_full,max_dd_delta_vs_full_full,ann_return_delta_vs_full_last_10y,max_dd_delta_vs_full_last_10y,ann_return_delta_vs_full_last_5y,max_dd_delta_vs_full_last_5y,ann_return_delta_vs_full_last_3y,max_dd_delta_vs_full_last_3y,ann_return_delta_vs_full_last_1y,max_dd_delta_vs_full_last_1y,decision_hint,stability_label
full_entry_1.00,1.0,0.2,1.0,0.29461149930063835,0.3428140869138545,0.5272497435702592,0.6819611338737437,0.5335530383962759,0.2242118815709998,0.2326634317129105,0.3084161469615029,0.2853758843900614,0.2611886053180006,1.2632125331110529,1.3825063939970774,1.5278605925534297,1.9632550008084166,1.7663001197117523,-0.24395899370024787,-0.21834692555630153,-0.15868919725725483,-0.15868919725725406,-0.21834692555630109,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,0.1825041922861934,0.21587301587301588,0.3333333333333333,0.25132275132275134,0.2365079365079365,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6529999999999999,0.544,0.084,0.19,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,staged_entry_ablation,pending_review
staged_0.90,0.9,0.2,1.0,0.2888622568846373,0.3348698983488181,0.5072512162227178,0.6592328478336862,0.525308203402681,0.21837892193420097,0.22586441614235422,0.297750221947185,0.2730866836181674,0.2516192319903215,1.2708906181215236,1.3912422425321862,1.5274163601017263,1.9899259519694767,1.8028290393935371,-0.2354065542871483,-0.20781054657519882,-0.1534175562506216,-0.15341755625062103,-0.20781054657519926,0.7752375628842929,0.8901190476190476,0.8777777777777779,0.8998677248677249,0.9032539682539682,0.1796534376746786,0.2120238095238095,0.3246031746031746,0.2455026455026455,0.2319047619047619,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.6428,0.5343,0.08180000000000001,0.18560000000000001,0.2922,-0.005749242416001055,0.008552439413099577,-0.007944188565036425,0.010536378981102712,-0.008244834993594852,0.010536378981101824,-0.0227282860400575,0.005271641006633021,-0.019998527347541373,0.005271641006633243,staged_entry_ablation,pending_review
staged_0.80,0.8,0.2,1.0,0.282974088812465,0.3267685836947751,0.48699818885454027,0.6362771000653495,0.5167505543685804,0.21301656816446174,0.2195945772255439,0.28785863442768483,0.26159631823036855,0.2427284398960622,1.276143140354042,1.3971203609900265,1.522786691178046,2.012911065967644,1.8370681783011484,-0.2279772972549462,-0.1971646631558024,-0.14813775473755808,-0.14813775473755753,-0.1971646631558026,0.7578535494689772,0.8695238095238095,0.8468253968253968,0.8764550264550266,0.881904761904762,0.1768026830631638,0.20817460317460318,0.31587301587301586,0.23968253968253966,0.22730158730158728,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.6326,0.5246,0.0796,0.18120000000000003,0.2864,-0.01163741048817335,0.015981696445301674,-0.016045503219079382,0.02118226240049914,-0.016802484027695463,0.021182262400498475,-0.04568403380839414,0.01055144251969653,-0.04025155471571895,0.010551442519696752,staged_entry_ablation,pending_review
staged_0.75,0.75,0.2,1.0,0.27997817940496694,0.32265953514087786,0.4767815416082095,0.6247175600077663,0.5123550188130961,0.21052327358025555,0.21667267305348759,0.28322882060922544,0.25618477899388614,0.2385615671245275,1.2777203874410423,1.3988010512922449,1.5186371584618301,2.022527441296338,1.8529693653364083,-0.2244904410855758,-0.19180041735129572,-0.14549483442445843,-0.14549483442445865,-0.19180041735129605,0.7491615427613192,0.8592261904761904,0.8313492063492064,0.8647486772486772,0.8712301587301587,0.17537730575740637,0.20625,0.3115079365079365,0.23677248677248677,0.225,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.6275000000000001,0.5197499999999999,0.07850000000000001,0.179,0.28350000000000003,-0.014633319895671404,0.019468552614672063,-0.020154551772976648,0.026546508205005814,-0.021198019583179795,0.026546508205005037,-0.05724357386597734,0.013194362832795403,-0.05046820196204971,0.013194362832796402,staged_entry_ablation,pending_review
staged_0.67,0.67,0.2,1.0,0.27511320828171804,0.31600476816582534,0.4603166878169538,0.606113684489666,0.5051611077877938,0.20680911057821955,0.21231188540274035,0.27629320860264617,0.24803585440482034,0.23231295576678826,1.2786085855911422,1.3994984623276137,1.509100798170907,2.034581511064776,1.8761996804880794,-0.21890183384173822,-0.1831600423776344,-0.1412620269445185,-0.14126202694451861,-0.1831600423776346,0.7352543320290664,0.84275,0.8065873015873015,0.8460185185185184,0.8541507936507935,0.1730967020681945,0.20317063492063492,0.30452380952380953,0.2321164021164021,0.22131746031746033,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.61934,0.5119900000000001,0.07674,0.17548000000000002,0.27886,-0.01949829101892031,0.025057159858509648,-0.026809318748029165,0.03518688317866714,-0.028391930608482108,0.03518688317866647,-0.07584744938407773,0.01742717031273544,-0.06693305575330544,0.01742717031273633,staged_entry_ablation,pending_review
staged_0.60,0.6,0.2,1.0,0.27078446169721127,0.3101013839427553,0.4457965227886871,0.5897297011188805,0.49870454282973586,0.20384960216134176,0.20883002667876704,0.27073154654823967,0.24146341452710476,0.22729685210148523,1.2775780902836331,1.3978805925173758,1.4975201050361615,2.041052095296495,1.8937916717096377,-0.2140022788525504,-0.17554130921864575,-0.13755419167684324,-0.1375541916768429,-0.1755413092186452,0.7230855226383454,0.8283333333333334,0.7849206349206349,0.8296296296296295,0.8392063492063493,0.17110117384013418,0.20047619047619047,0.29841269841269835,0.22804232804232805,0.2180952380952381,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.6122000000000001,0.5052,0.0752,0.1724,0.27480000000000004,-0.02382703760342708,0.029956714847697463,-0.03271270297109918,0.04280561633765578,-0.034848495566540016,0.042805616337655894,-0.09223143275486323,0.021135005580411148,-0.08145322078157213,0.021135005580411592,staged_entry_ablation,pending_review
staged_0.50,0.5,0.2,1.0,0.26448475563850615,0.3015389162104858,0.4248817990924514,0.5661612633943087,0.4892202426673704,0.20011665417709062,0.2044292597596711,0.2636686418096281,0.23306838917342176,0.22092109057259923,1.2728777147918588,1.391537052989385,1.4751311749070024,2.0421510154528115,1.9134200471044844,-0.20698791747584655,-0.1645622973923878,-0.13225069316750127,-0.13225069316750115,-0.16456229739238737,0.7057015092230297,0.8077380952380953,0.753968253968254,0.8062169312169312,0.8178571428571428,0.16825041922861933,0.19662698412698412,0.2896825396825397,0.2222222222222222,0.21349206349206348,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.6020000000000001,0.49550000000000005,0.07300000000000001,0.168,0.269,-0.030126743662132194,0.03697107622440132,-0.041275170703368724,0.05378462816391372,-0.04433279572890547,0.05378462816391372,-0.11579987047943496,0.0264385040897529,-0.10236794447780784,0.026438504089753567,staged_entry_ablation,pending_review
staged_0.40,0.4,0.2,1.0,0.25804962540339016,0.29282615094621156,0.40378036350190305,0.5424117667702104,0.4794312427127312,0.19699554520167006,0.20074265875424804,0.2577197456811822,0.2259597535484741,0.21554867606452874,1.2640373069683608,1.3799600094194164,1.445185295345865,2.0316604087970997,1.9251801971537719,-0.2004555059875488,-0.15347069857447082,-0.1304648863736435,-0.13046488637364317,-0.1534706985744717,0.6883174958077138,0.7871428571428571,0.723015873015873,0.782804232804233,0.7965079365079365,0.1653996646171045,0.19277777777777777,0.280952380952381,0.2164021164021164,0.20888888888888887,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.5918,0.4858,0.0708,0.1636,0.2632,-0.03656187389724819,0.043503487712699074,-0.04998793596764295,0.06487622698183071,-0.05412179568354469,0.06487622698182938,-0.13954936710353327,0.02822431088361088,-0.12346938006835617,0.028224310883611325,staged_entry_ablation,pending_review
staged_0.33,0.33,0.2,1.0,0.2534649261532893,0.28663870302148986,0.38890728313382184,0.5256855627083414,0.47239882470450767,0.19519084270619635,0.19860869834006747,0.25426081984237664,0.22181663715831673,0.21242654734456612,1.2552176479132628,1.3684986566462778,1.4194084308350123,2.0162919259188676,1.9279354001912794,-0.1969228691528263,-0.14923918547237924,-0.13003415741018476,-0.13003415741018487,-0.1456391752350381,0.6761486864169928,0.7727261904761905,0.7013492063492064,0.766415343915344,0.7815634920634921,0.1634041363890442,0.19008333333333333,0.27484126984126983,0.21232804232804234,0.20566666666666666,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.5846600000000001,0.47901,0.06925999999999999,0.16052,0.25914,-0.04114657314734904,0.047036124547421565,-0.05617538389236465,0.06910774008392229,-0.06115421369176821,0.07270775032126298,-0.15627557116540225,0.028655039847069186,-0.1383424604364374,0.028655039847070074,staged_entry_ablation,pending_review
staged_0.25,0.25,0.2,1.0,0.2481449248665566,0.27947892942227903,0.3718149279829419,0.5064732322317049,0.46418127023268485,0.1935245928766914,0.19663809050295053,0.25105441124345357,0.2179796424614141,0.20953722657451954,1.242372907898632,1.3518513211974634,1.3849146943501336,1.98975433407424,1.9249093592507154,-0.19373254031194287,-0.15180465644717311,-0.12954487157171846,-0.129544871571718,-0.13815865222694634,0.6622414756847401,0.75625,0.6765873015873016,0.7476851851851852,0.7644841269841269,0.16112353269983232,0.18700396825396826,0.26785714285714285,0.20767195767195767,0.201984126984127,0.7926215762996087,0.9107142857142857,0.9087301587301587,0.9232804232804233,0.9246031746031746,622,519,78,177,269,622,518,78,177,269,7,7,4,7,7,327,272,42,95,149,276,224,31,73,120,0.5765,0.47125000000000006,0.0675,0.15700000000000003,0.25450000000000006,-0.04646657443408175,0.050226453388305004,-0.06333515749157548,0.06654226910912842,-0.06937176816359103,0.08018827332935474,-0.17548790164203876,0.029144325685536043,-0.1554348155873173,0.029144325685536376,staged_entry_ablation,pending_review
