code,name,source,adjustment,first,last,rows
159915.SZ,CYB100_ETF,akshare.fund_etf_hist_sina raw close,raw/unadjusted as served by Sina,2011-12-09,2026-05-15,3500
159941.SZ,NASDAQ_ETF,akshare.fund_etf_hist_sina raw close,raw/unadjusted as served by Sina,2015-07-13,2026-05-15,2632
513030.SH,GERMANY_ETF,akshare.fund_etf_hist_sina raw close,raw/unadjusted as served by Sina,2014-09-05,2026-05-15,2836
513520.SH,NIKKEI_ETF,akshare.fund_etf_hist_sina raw close,raw/unadjusted as served by Sina,2019-06-25,2026-05-15,1670
159985.SZ,SOYMEAL_ETF,akshare.fund_etf_hist_sina raw close,raw/unadjusted as served by Sina,2019-12-05,2026-05-15,1559
518880.SH,GOLD_ETF,akshare.fund_etf_hist_sina raw close,raw/unadjusted as served by Sina,2013-07-29,2026-05-15,3109
