sleeve,start,end,rows,duplicate_dates,return_column,days,total_return,cagr,vol,sharpe,maxdd,calmar
Sub-A,2011-12-09,2026-05-08,3788,0,return,3497,84.91543955806439,0.37839151102418733,0.22082225032238764,1.564078214544303,-0.297864492763773,1.270347826668544
Sub-A-DK,2011-12-09,2026-05-08,3755,0,return,3497,28.800253758547097,0.2771293797954273,0.19099623158895537,1.3763601444423599,-0.24991822150710352,1.108880249404105
Sub-B,2011-12-09,2026-05-08,4376,0,return,3623,17.46198987949532,0.22483272929662212,0.13917091403220022,1.527439573074071,-0.1465501795707702,1.5341689103018032
Sub-C,2011-12-09,2026-05-08,4136,0,,3621,4.500566842342708,0.12597290930830463,0.13321125868759232,0.957649559980656,-0.23400235368750189,0.5383403513818282
Sub-D,2011-12-09,2026-05-08,3496,0,return,3496,53.17203761276533,0.33344356690028776,0.2437505118399249,1.3024286592275771,-0.2813429455582317,1.1851854548500573
Microcap,2011-12-09,2026-05-08,3931,0,return_net,3494,684.5846346391263,0.6015741463473803,0.19890522682771863,2.4697001201626687,-0.21299784859803583,2.824320293876094
