scenario,window,start,end,days,cagr,maxdd,sharpe,vol,total
proposal_A10_B15_C10_D20_E40_cash5,from_2020,2020-01-02,2026-05-08,1650,0.4088066195063558,-0.07872662943954178,3.073692180769802,0.11368599777092729,8.43239879882943
proposal_A10_B15_C10_D20_E40_cash5,5Y,2021-05-10,2026-05-08,1300,0.4091703921980321,-0.07872662943954134,2.9807353699054135,0.1174644650393623,4.867627700770083
proposal_A10_B15_C10_D20_E40_cash5,3Y,2023-05-08,2026-05-08,781,0.5447888557930141,-0.07872662943954145,3.663907539424428,0.12078622512419604,2.84896888167701
proposal_A10_B15_C10_D20_E40_cash5,1Y,2025-05-08,2026-05-08,260,0.44543856857270514,-0.07872662943954123,3.138566527022828,0.11975484547215778,0.4624431492906751
proposal_A10_B15_C10_D20_E40_normalized,from_2020,2020-01-02,2026-05-08,1650,0.4339199223709387,-0.08275210344156847,3.0736921807698017,0.1196694713378182,9.589255039291961
proposal_A10_B15_C10_D20_E40_normalized,5Y,2021-05-10,2026-05-08,1300,0.43427505790180176,-0.08275210344156814,2.980735369905414,0.12364680530459188,5.427240091959127
proposal_A10_B15_C10_D20_E40_normalized,3Y,2023-05-08,2026-05-08,781,0.5798859632295916,-0.08275210344156825,3.663907539424428,0.12714339486757478,3.126502914777788
proposal_A10_B15_C10_D20_E40_normalized,1Y,2025-05-08,2026-05-08,260,0.47313185826805215,-0.08275210344156791,3.138566527022828,0.12605773207595558,0.4913604635748259
baseline_B60,from_2020,2020-01-02,2026-05-08,1650,0.3730815687152309,-0.0751167904559108,2.931736893640462,0.11028769377886628,6.972291360816317
baseline_B60,5Y,2021-05-10,2026-05-08,1300,0.3289888197337021,-0.07511679045591069,2.7071005902981025,0.10724536014016796,3.3372374290032445
baseline_B60,3Y,2023-05-08,2026-05-08,781,0.42042339811951535,-0.0751167904559108,3.082823758122023,0.11610477565013115,1.967387536414035
baseline_B60,1Y,2025-05-08,2026-05-08,260,0.5246847529133032,-0.0751167904559108,3.5550847858383245,0.12079415205942994,0.5452377067676277
