window,proposal_cagr,baseline_cagr,delta_cagr,proposal_maxdd,baseline_maxdd,delta_maxdd,proposal_sharpe,baseline_sharpe,delta_sharpe,normalized_cagr,normalized_maxdd
full_common,0.3670973888937781,0.2926371909053926,0.07446019798838549,-0.0987888857133588,-0.075116790455911,-0.02367209525744779,3.0851759854355385,2.743976223702996,0.3411997617325424,0.3893588408038193,-0.1037602962106876
10Y,0.3547654517866103,0.3369771694416796,0.017788282344930684,-0.0787266294395417,-0.0751167904559112,-0.0036098389836305006,2.9367076687679625,2.888006248505053,0.04870142026290969,0.3761528392141093,-0.0827521034415684
5Y,0.4091703921980363,0.3289888197337058,0.0801815724643305,-0.0787266294395414,-0.075116790455911,-0.0036098389836303896,2.9807353699054167,2.707100590298108,0.27363477960730886,0.4342750579018053,-0.0827521034415682
3Y,0.544788855793019,0.4204233981195191,0.12436545767349982,-0.0787266294395415,-0.0751167904559111,-0.0036098389836304035,3.663907539424433,3.0828237581220304,0.5810837813024028,0.5798859632295947,-0.0827521034415684
1Y,0.4454385685727104,0.5246847529133085,-0.0792461843405981,-0.0787266294395414,-0.075116790455911,-0.0036098389836303896,3.138566527022843,3.5550847858383343,-0.4165182588154912,0.473131858268057,-0.0827521034415685
