,proposal_A10_B15_C10_D20_E40_cash5_return,proposal_A10_B15_C10_D20_E40_normalized_return,baseline_A10_ADK15_B60_E15_return,proposal_A10_B15_C10_D20_E40_cash5_nav,proposal_A10_B15_C10_D20_E40_normalized_nav,baseline_A10_ADK15_B60_E15_nav,sleeve_Sub-A_return,sleeve_Sub-A-DK_return,sleeve_Sub-B_return,sleeve_Sub-C_return,sleeve_Sub-D_return,sleeve_Microcap_return
2011-12-09,-1.60690108591176e-05,-1.6914748272755424e-05,-0.0026311746231934214,0.9999839309891408,0.9999830852517273,0.9973688253768066,0.000930271480879874,0.0066408971521738636,-0.006200560573512481,0.00820987927079767,0.0,0.0
2011-12-12,-0.002484193707066794,-0.0026149407442808354,-0.0050093234257114205,0.9974997772006098,0.997368188738511,0.9923726823557724,-0.0004849431480586919,0.0019428740466740368,-0.008753767029844428,-0.011226343377842604,0.0,0.0
2011-12-13,-0.0015136707327142894,-0.0015933376133834623,-0.002149302513677032,0.9959898909819722,0.9957790444890018,0.9902397732550806,0.0002224171854485757,0.007205161258973858,-0.0054205307017799464,-0.00722832845992155,0.0,0.0
2011-12-14,-0.005173947003529973,-0.005446260003715762,-0.006673961773616531,0.9908366920699798,0.990355772906463,0.9836309508616615,-0.00020204438055548835,0.010507998090966364,-0.012216595082009896,-0.009212533031729399,0.0,-0.006
2011-12-15,-0.0034201047746588733,-0.003600110289114603,-0.004734148469518125,0.987447926768524,0.9867903828985385,0.9789742959010691,0.00022239049311068015,-0.009852547137138346,-0.0035850901994145534,0.0010195658223480176,0.0,-0.0075163421907314
2011-12-16,-0.00026877980655256326,-0.00028292611216059306,0.003320503627096596,0.9871825207057864,0.9865111941319875,0.9822249836014431,0.002627090046962044,-0.014884804596228318,0.010300209502420499,0.0029577413570191767,0.0,-0.0059307359307844
2011-12-19,-0.00028750617350018994,-0.000302638077368621,0.0009786200103427166,0.9868986996367121,0.9862126382808928,0.983186208625054,-0.001137510386390872,-0.006307943345778777,0.0035436172522733678,-0.004716769213277078,0.0,-0.000584052003436
2011-12-20,0.003847304686830013,0.004049794407189487,-0.0012199211467861459,0.9906955996292507,0.9902065967077024,0.9819867989779238,0.0001211499702025165,0.00412959824490966,-0.0050083633425102025,0.015103318579508918,0.0,0.0076902808330885
2011-12-21,-0.004190717954304319,-0.0044112820571624405,-0.0019749526769546766,0.9865438737926341,0.9858385161147618,0.9800474215205482,0.0001211499702025165,0.017963580341542107,-0.005803712322020482,-0.0013393655103761796,0.0,-0.0079958488799597
2011-12-22,-0.006186433889500889,-0.006512035673158829,0.0021150157967637006,0.9804406853383238,0.9794187005298485,0.9821202372986418,0.0001211499702025165,0.026583404180030357,0.0010924410464014933,0.004111168367906364,0.0,-0.01693382970068
2011-12-23,0.0030488942573243024,0.0032093623761308442,-0.001102031263153262,0.983429945313499,0.982562010057808,0.9810379100929633,0.0001211499702025165,-0.001922917899540133,-0.003313020423795665,0.0043478917978032015,0.0,0.0077473578602327
2011-12-26,-0.0037371214594207887,-0.0039338120625481985,-0.0019523759475226234,0.979754748161031,0.978696795770441,0.9791225552736899,0.0001211499702025165,-0.003723515155849899,,,0.0,-0.0093730911411026
2011-12-27,-0.002656180547432292,-0.0027959795236129387,0.0037370548263769955,0.9771523426577112,0.9759603795696412,0.98278158994449,0.0001211499702025165,0.03200374828065056,-0.00026215074254620774,-0.001800876871689723,0.0,-0.0061222131147541
2011-12-28,-0.00114862298002134,-0.0012090768210750945,0.0016148780458383138,0.9760299630219529,0.9747803684964159,0.9843686623579454,0.0001211499702025165,0.012176611806359317,-0.00034214349864170046,-0.010602361243764966,0.0,-0.0001229508196721
2011-12-29,-0.001779234724357435,-0.0018728786572183524,-0.0007317751487267763,0.9742933766197309,0.9729547231487836,0.9836483258336464,0.0001211499702025165,0.0007361840002544362,0.00010669036904653595,0.006415319691669733,0.0,-0.0061222131147541
2011-12-30,0.0006398588579403448,0.0006735356399372051,0.0012217412890816572,0.9749167868669937,0.9736100428308696,0.9848500896072533,0.0001211499702025165,-0.005492274350786364,0.003389112407798933,0.0011937699975025317,0.0,0.0
2012-01-03,0.0014630897378312023,0.0015400944608749494,0.000446723654701886,0.9763431776130981,0.9751094942648857,0.9852900454386161,,,0.0007445394245031434,0.013514088241557306,,
2012-01-04,-0.00035464110545906894,-0.0003733064267990199,0.0005218195680820824,0.975996926189282,0.9747454796238438,0.9858041890645625,0.0001211499702025165,0.014628413749242064,-0.0028075958188741312,0.0005438327035179906,0.0,0.0
2012-01-05,0.0002601749477280721,0.0002738683660295496,0.00873525420376844,0.976250856138536,0.9750124315756431,0.9944154392511811,0.0001211499702025165,0.05315436557526665,0.0012499739507636498,0.00060563858093273,0.0,0.0
2012-01-06,-0.00010075777929486576,-0.00010606082031038494,0.0013031000544884374,0.9761524912702368,0.9749090209573373,0.9957112620642536,0.0001211499702025165,0.0010782595909457626,0.0018820768647105357,-0.003951843060216977,0.0,0.0
2012-01-09,-0.0003000141552078639,-0.0003158043739030146,-0.002993287055649973,0.9758596317052144,0.9746011404243615,0.9927308124323518,0.0001211499702025165,-0.011204317192839097,-0.0022079241229072677,0.000190594662079746,0.0,0.0
2012-01-10,0.0016669391653432266,0.001754672805624449,0.0015072086081093007,0.9774863303451812,0.9763112465417947,0.9942270648583853,0.0001211499702025165,-0.006077080465153317,0.004011092801436744,0.010531602481074633,0.0,0.0
2012-01-11,0.0011808008169358814,0.0012429482283535594,0.0029269057176454,0.9786405470025964,0.9775247508760054,0.997137073739157,0.0001211499702025165,-0.005927745532793516,0.006339920917573627,0.0021769768227958585,0.0,0.0
2012-01-12,0.0004269221101840271,0.0004493916949305548,0.0023955208893010394,0.9790583502900344,0.9779640423806383,0.9995257364287956,-0.0006289408922751649,0.011145602091507945,0.001310957774670607,0.0029317253321095253,0.0,0.0
2012-01-13,-0.001302589545458594,-0.0013711468899564143,0.005542342920679233,0.9777830391185527,0.9766231100254389,1.0050654508181283,-0.00756385982258434,0.03793130794166433,0.0010150545194800298,-0.006984617411221642,0.0,0.0
2012-01-16,-0.004533795377186477,-0.00477241618651208,0.0006569731483681456,0.9733499708959057,0.9719622580870317,1.0057257518316682,-0.02133795377186476,0.02460512350369748,,,0.0,-0.006
2012-01-17,0.01595424406962172,0.0167939411259176,0.01433747928974041,0.9888790338967381,0.9882853350259594,1.0201453239697134,0.06727398854421018,-0.0007213576795721544,0.008379421796991249,0.007949159214907752,0.0,0.0179375400604031
2012-01-18,-0.004192496256456473,-0.004413153954164709,-0.0007936417012879087,0.9847331622490378,0.9839238796918466,1.019335694099237,-0.018978914519913737,0.0,0.0046327358537920915,0.014781961816575272,0.0,-0.0111692784104786
