date,variant,nav,return,gross_return,base_gross_return,position_before,fraction_before,position,holding_fraction,weight,turnover,cost,trade_count,stop_count,pending_entry_target,pending_entry_days,staged_initial,fill_on_down_day,staged_initial_count,staged_fill_count,buffer_blocked,buffer_blocked_count,best_candidate,best_score,current_score,max_lev,score_159941.SZ,raw_score_159941.SZ,r2_159941.SZ,score_518880.SH,raw_score_518880.SH,r2_518880.SH,target_vol_input_return,target_vol_input_nav,base_return,base_nav,base_turnover,base_cost,realized_vol,target_vol_scale_effective,target_vol_scale_next,overheat_scale_effective,overheat_scale_next,overheat_scale,exposure_effective,final_exposure,final_exposure_after_overheat,effective_trade_count,target_vol,vol_window,switch_buffer,r2_threshold
2015-07-13,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-14,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-15,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-16,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-17,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-20,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-21,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-22,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-23,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-24,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
2015-07-27,v11_keep_half_no_overheat_no_score_gate,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,80,1.05,0.2
