switch_buffer,cagr,maxdd,sharpe,asset_switches,cash_days,trades,cost,avg_exp
1.0,0.2567898265891364,-0.2713988303578172,1.163058014177332,45,446,426,0.2237484129137111,0.9854017332361186
1.05,0.26916418286152033,-0.2713988303578174,1.2078328144625916,43,446,425,0.21827078455006083,0.9865919580030044
1.2,0.2986609993262148,-0.2713988303578171,1.3159415151549552,37,446,402,0.2033906187199827,0.9932414445169477
1.5,0.3271274127948234,-0.27142284475363865,1.4174392700339162,31,446,397,0.18723507405701129,0.9938437156848596
2.0,0.37625788467748156,-0.27142284475363876,1.5892649783216095,25,446,386,0.16915555918839564,0.999460023044203
2.5,0.390049280137049,-0.27142284475363887,1.6447447269691085,21,446,372,0.15847533238470388,0.9990887676251212
