variant,window,start,end,rows,cagr,maxdd,sharpe,vol,total,asset_switches,cash_days,half_position_days,staged_initials,staged_fills,trades,turnover_sum,cost_sum,avg_exposure,max_exposure,maxdd_start,maxdd_trough
v11_keep_half_no_overheat_no_score_gate,full,2015-07-13,2026-05-15,2632,0.22335242928113952,-0.27020088883149995,0.9876039560958433,0.23140621912922602,7.211598455467582,122,240,374,185,151,1147.0,455.27627490417814,0.4552762749041782,1.1263851489003849,1.5,2022-09-13,2022-12-29
v11_keep_half_no_overheat_no_score_gate,last_10y,2015-12-25,2026-05-15,2520,0.2387989200359235,-0.27020088883149984,1.029024660316524,0.23514708670352646,7.511540711184903,119,204,358,176,142,1124.0,434.7762749041782,0.43477627490417814,1.1443038539308783,1.5,2022-09-13,2022-12-29
v11_keep_half_no_overheat_no_score_gate,last_5y,2021-03-03,2026-05-15,1260,0.27529922936809115,-0.27020088883149984,1.1137189310289188,0.24566792415351246,2.3733428754491457,69,93,179,98,77,687.0,240.19349048512814,0.24019349048512814,1.1436796716690454,1.5,2022-09-13,2022-12-29
v11_keep_half_no_overheat_no_score_gate,last_3y,2023-03-29,2026-05-15,756,0.452383471629213,-0.200993457137552,1.5888142851686118,0.2557794455157407,2.063683472917595,34,42,91,47,38,449.0,111.0943127497217,0.1110943127497217,1.1360726276660278,1.5,2024-07-11,2024-08-05
v11_keep_half_no_overheat_no_score_gate,last_1y,2025-04-29,2026-05-15,252,0.5395944844492326,-0.18893946481939727,1.7626208736896571,0.26504007030940746,0.5395944844492326,9,15,22,12,11,213.0,24.766683970534118,0.02476668397053412,0.9777632018120163,1.5,2025-10-17,2025-11-21
full_entry_no_overheat_no_score_gate,full,2015-07-13,2026-05-15,2632,0.2650944006349898,-0.26269749345708004,1.1066962060457013,0.2382964471797491,10.65781893618771,122,240,0,0,0,1243.0,496.71500542619265,0.49671500542619257,1.203174635616546,1.5,2022-09-13,2022-12-29
full_entry_no_overheat_no_score_gate,last_10y,2015-12-25,2026-05-15,2520,0.28272112051642306,-0.26269749345708004,1.1508866690029087,0.2419455213250184,11.059309913908525,119,204,0,0,0,1229.0,476.2150054261926,0.47621500542619255,1.2209347781518844,1.5,2022-09-13,2022-12-29
full_entry_no_overheat_no_score_gate,last_5y,2021-03-03,2026-05-15,1260,0.3233737109798802,-0.26269749345708004,1.2363129546022311,0.25264541132912466,3.0589389139227956,69,93,0,0,0,798.0,264.5279101997202,0.2645279101997202,1.2122741181774823,1.5,2022-09-13,2022-12-29
full_entry_no_overheat_no_score_gate,last_3y,2023-03-29,2026-05-15,756,0.4985681801926991,-0.20533817822399802,1.6877381453510893,0.2599842161523872,2.365344438851157,34,42,0,0,0,482.0,121.45490744260384,0.12145490744260386,1.19453518162888,1.5,2024-07-11,2024-08-05
full_entry_no_overheat_no_score_gate,last_1y,2025-04-29,2026-05-15,252,0.5798218944478795,-0.19420906565125617,1.8546924428959335,0.2659370816399632,0.5798218944478795,9,15,0,0,0,212.0,25.265406659663928,0.025265406659663925,1.0114295272534921,1.5,2025-10-17,2025-11-21
