entry_case,window,start,end,rows,cagr,maxdd,sharpe,vol,total,asset_switches,cash_days,half_position_days,staged_initials,staged_fills,trades,turnover_sum,cost_sum,avg_exposure,max_exposure,maxdd_start,maxdd_trough
full_entry,full,2015-07-13,2026-05-15,2728,0.2893624436919262,-0.221698901467969,1.2390838401634918,0.22578553939283363,14.66222100683326,94,382,0,0,0,929.0,492.951277865143,0.49295127786514303,1.1930603042495642,1.5,2022-03-08,2022-10-14
full_entry,last_10y,2016-05-09,2026-05-15,2520,0.3073027432227098,-0.221698901467969,1.2934623972019108,0.2272472634292325,13.580141034988042,86,343,0,0,0,885.0,450.30622363407275,0.4503062236340728,1.1943191282119758,1.5,2022-03-08,2022-10-14
full_entry,last_5y,2021-05-11,2026-05-15,1260,0.3823777782340416,-0.221698901467969,1.4451281572628643,0.24494761824159628,4.048167069298959,39,173,0,0,0,508.0,220.2279734250713,0.22022797342507128,1.1706157062126177,1.5,2022-03-08,2022-10-14
full_entry,last_3y,2023-05-11,2026-05-15,756,0.5472690124834032,-0.195306553080015,1.858814209215651,0.2521036360320069,2.704226068167217,20,95,0,0,0,284.0,119.46971423919695,0.11946971423919694,1.1856197453316093,1.5,2026-01-29,2026-03-30
full_entry,last_1y,2025-05-15,2026-05-15,252,0.8770277812623715,-0.195306553080015,2.48918119545094,0.2680250011630735,0.8770277812623715,4,36,0,0,0,120.0,25.77657605116476,0.02577657605116476,1.091559942791763,1.5,2026-01-29,2026-03-30
staged_50_wait_down,full,2015-07-13,2026-05-15,2728,0.2647725537569263,-0.23812860835784677,1.2119670749768903,0.2126255468858517,11.715254702228425,94,382,342,170,151,902.0,468.9656370415495,0.4689656370415495,1.1262815146067329,1.5,2022-03-08,2022-10-14
staged_50_wait_down,last_10y,2016-05-09,2026-05-15,2520,0.28380291983604233,-0.23812860835784688,1.2751887998622944,0.21405329001076168,11.161400500300935,86,343,314,156,138,846.0,427.8376148459913,0.42783761484599137,1.1303043376081354,1.5,2022-03-08,2022-10-14
staged_50_wait_down,last_5y,2021-05-11,2026-05-15,1260,0.3485431254328786,-0.23812860835784677,1.4139150933890678,0.2304967818369035,3.4598905123279184,39,173,158,77,69,463.0,212.36428397343144,0.21236428397343143,1.1181785139723035,1.5,2022-03-08,2022-10-14
staged_50_wait_down,last_3y,2023-05-11,2026-05-15,756,0.5622787024002585,-0.1793790460644391,2.0041436339125096,0.2369292384590959,2.813076663143998,20,95,81,42,40,280.0,117.66424128732048,0.11766424128732048,1.1340888600927537,1.5,2026-01-29,2026-03-30
staged_50_wait_down,last_1y,2025-05-15,2026-05-15,252,0.9283354754309583,-0.17937904606443922,2.5970783044967174,0.26719844731488324,0.9283354754309583,4,36,19,10,9,106.0,25.72358374114018,0.02572358374114019,1.074278889612283,1.5,2026-01-29,2026-03-30
