version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,reason
1.0,v1_0_original_full_entry,Full,2007-01-15,2016-12-30,2425,0.9633648931737393,0.07262506467240648,-0.5366764217816502,0.40843353046089104,0.24707737647832614,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1907.0,0.6228352868643319,622.8352868643319,1.2437992269790494,1.0008093172152475,1.5,
1.0,v1_0_original_full_entry,10Y,,2016-12-30,2425,,,,,,,,,,,,,,,,,,,,insufficient rows: 2425 < 2520 trading days after 2007-01-15
1.0,v1_0_original_full_entry,5Y,2011-10-28,2016-12-30,1260,0.002351732578069088,0.00046990468721519463,-0.5366764217816493,0.11933735079066027,0.23189432784471786,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,0.33132526788717775,331.3252678871778,1.3272701349726561,1.0918660019305777,1.5,
1.0,v1_0_original_full_entry,3Y,2013-11-29,2016-12-30,756,-0.2520081170818751,-0.09225131524322694,-0.5366764217816498,-0.2753984607409722,0.24270074572458944,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,0.2043300288062735,204.33002880627348,1.294166082205973,1.0929128865218336,1.5,
1.0,v1_0_original_full_entry,1Y,2015-12-22,2016-12-30,252,-0.2748236501640864,-0.2748236501640864,-0.30211207150611163,-1.2993914873223111,0.22687749095126222,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.06634760451412992,66.34760451412993,1.2388357169182518,1.0656130274364026,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,Full,2007-01-15,2016-12-30,2425,1.1789949246448144,0.08430322460674744,-0.48163876457428734,0.46057266233393046,0.23743518423037804,486.0,477.0,477.0,245.0,200.0,3.0,2.0,2.0,1910.0,0.5963932854870286,596.3932854870286,1.3224089639065184,0.928870899584042,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,,2016-12-30,2425,,,,,,,,,,,,,,,,,,,,insufficient rows: 2425 < 2520 trading days after 2007-01-15
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2011-10-28,2016-12-30,1260,0.12526401753371563,0.023884306268825206,-0.4816387645742872,0.21845424232063973,0.22113419588888006,232.0,235.0,235.0,122.0,104.0,0.0,0.0,0.0,1024.0,0.31615439393423905,316.154393934239,1.381929902246232,0.9977606390880508,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2013-11-29,2016-12-30,756,-0.08800692534603505,-0.03024093749250556,-0.4816387645742869,-0.0136033443942687,0.2330706877175002,123.0,136.0,136.0,77.0,64.0,0.0,0.0,0.0,629.0,0.19480855512933287,194.8085551293329,1.3595811301899279,1.0107197143612021,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2015-12-22,2016-12-30,252,-0.20840966551590934,-0.20840966551590934,-0.2525165877831058,-0.9240627496264647,0.2247294824184303,31.0,44.0,44.0,26.0,22.0,0.0,0.0,0.0,220.0,0.06177345145082552,61.77345145082553,1.27211225099971,0.986701370411062,1.4918895070157405,
