date,version,scenario,entry_case,position_before,fraction_before,position,holding_fraction,pending_entry_target,pending_entry_since,pending_entry_days,trade_target,trade_fraction,staged_initial,fill_on_down_day,best_candidate,best_candidate_score,current_score,buffer_blocked,trade_blocked_by_stale_price,blocked_trade_target,stale_price_trade_assets,asset_return,gross_return,asset_component,turnover,cost,return,nav,trade_count,stop_count,stop_triggered,staged_initial_count,staged_fill_count,price_ffill_CN_ZZ500_000905,price_ffill_QQQ,price_ffill_EWG,price_ffill_EWJ,price_ffill_GLD,score_CN_ZZ500_000905,score_QQQ,score_EWG,score_EWJ,score_GLD,r2_CN_ZZ500_000905,r2_QQQ,r2_EWG,r2_EWJ,r2_GLD,buffer_blocked_count,target_vol_input_return,target_vol_input_nav,base_gross_return,base_return,base_nav,base_turnover,base_cost,virtual_base_realized_vol,realized_vol,base_position_before,base_position_next,actual_position_before,actual_position_next,target_vol_scale_effective,target_vol_scale_next,weight,overheat_scale_effective,overheat_scale_next,overheat_scale,exposure_effective,final_exposure,final_exposure_after_overheat,drifted_exposure_before_trade,rebalance_delta,buy_delta,sell_delta,effective_trade_count,target_vol,vol_window,max_lev,overheat_enter,overheat_exit,overheat_derisk_scale,overheat_recovery_mode,overheat_on,overheat_on_effective,overheat_triggered,overheat_recovered,overheat_feature_missing,overheat_tc,nav_before_overheat,return_before_overheat,overheat_bias,overheat_bias_mom,overheat_same_side,base_position,base_fraction_before,base_holding_fraction,base_trade_target,base_trade_fraction,base_pending_entry_target,base_pending_entry_since,base_pending_entry_days,base_staged_initial,base_fill_on_down_day,actual_entry_state,actual_pending_target,actual_pending_since,actual_pending_days,actual_staged_initial,actual_fill_on_down_day,actual_staged_initial_count,actual_staged_fill_count,staged_entry_event_count
2007-01-15,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-16,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-17,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-18,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-19,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-22,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-23,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-24,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-25,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-26,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,False,False,False,False,False,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,CASH,CASH,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,80,1.5,,,1.0,,False,False,False,False,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
