asset,start,end,days,total,cagr,maxdd,vol
CN_ZZ500_000905,2007-01-15,2016-12-30,2425,2.1530349250455485,0.12674765006854694,-0.7241725577674145,0.345712577229174
QQQ,2007-01-16,2016-12-30,2424,1.8660309217514692,0.11567859392212965,-0.5340400919420499,0.22188025402248887
EWG,2007-01-16,2016-12-30,2424,0.240146024619605,0.0226275107595586,-0.6309547323451662,0.2978543691960782
EWJ,2007-01-16,2016-12-30,2424,0.005615756960055895,0.0005823526453387906,-0.5355016505853082,0.23491690397151654
GLD,2007-01-16,2016-12-30,2424,0.7687590519803387,0.061079034611544625,-0.45555012734256917,0.19686122666666347
