code,name,source,adjustment,publication_or_inception,raw_first,first_used,last,rows,note
CN_ZZ500_000905,CSI500_INDEX_PROXY_FOR_A_SHARE_LEG,Eastmoney push2his kline secid=1.000905,index close / price index,2007-01-15,2007-01-04,2007-01-15,2016-12-30,2425,Raw vendor rows before CSI publication are clipped.
QQQ,NASDAQ_QQQ_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-12-01,2006-12-01,2006-12-01,2016-12-30,2538,Reindexed to CSI500 trading calendar for this proxy diagnostic.
EWG,GERMANY_EWG_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-12-01,2006-12-01,2006-12-01,2016-12-30,2538,Reindexed to CSI500 trading calendar for this proxy diagnostic.
EWJ,JAPAN_EWJ_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-12-01,2006-12-01,2006-12-01,2016-12-30,2538,Reindexed to CSI500 trading calendar for this proxy diagnostic.
GLD,GOLD_GLD_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-12-01,2006-12-01,2006-12-01,2016-12-30,2538,Reindexed to CSI500 trading calendar for this proxy diagnostic.
