candidate,lookback,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,cash_days_full,cash_days_last_10y,cash_days_last_1y,cash_days_last_3y,cash_days_last_5y,trade_days_full,trade_days_last_10y,trade_days_last_1y,trade_days_last_3y,trade_days_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_current_full,max_dd_delta_vs_current_full,ann_return_delta_vs_current_last_10y,max_dd_delta_vs_current_last_10y,ann_return_delta_vs_current_last_5y,max_dd_delta_vs_current_last_5y,ann_return_delta_vs_current_last_3y,max_dd_delta_vs_current_last_3y,ann_return_delta_vs_current_last_1y,max_dd_delta_vs_current_last_1y,decision_hint,stability_label
lookback_010,10,-0.03467485052669972,-0.08526341478069133,0.031348478563859805,0.006452613562815568,0.03590641839923325,0.20188955942741926,0.20156961022069766,0.2447559032664579,0.21632187185707744,0.21348392335611024,-0.07372018973375014,-0.34123429901244834,0.2488634555811798,0.13791277622617726,0.2716061790633686,-0.7865404693662292,-0.7245183563591922,-0.2064233022746399,-0.3334504942204025,-0.3334504942204022,0.8446059250978201,0.942063492063492,0.8849206349206349,0.9365079365079365,0.942063492063492,0.8446059250978201,0.942063492063492,0.8849206349206349,0.9365079365079365,0.942063492063492,556,146,29,48,73,1218,938,107,321,518,0.5905533817775294,0.6880952380952381,0.753968253968254,0.7936507936507936,0.7634920634920634,2.113,1.734,0.19,0.6000000000000001,0.9620000000000001,-0.26512649165994373,-0.4218710888211191,-0.4269634423260241,-0.5096894946293921,-0.4480616029205764,-0.11862163249060154,-0.6040425617758762,-0.16160180258849832,-0.3022481238514019,-0.034574610642734815,lookback_scan,pending_review
lookback_011,11,-0.018650650842134797,-0.04495440772692472,0.28730297626621604,0.08509810540923257,0.0791972600124502,0.20910118008421522,0.2078944954717714,0.27738323009011157,0.22961334438717493,0.2229578069730005,0.014737396402603575,-0.11728358639825476,1.0500176594845128,0.47059620034342947,0.4529774310717452,-0.7550552706041364,-0.6824748114324096,-0.23423655772279828,-0.2981086179373398,-0.2981086179373399,0.8532699832308552,0.95,0.9206349206349206,0.9444444444444444,0.9547619047619048,0.8532699832308552,0.95,0.9206349206349206,0.9444444444444444,0.9547619047619048,525,126,20,42,57,1128,872,95,297,479,0.5525433202906652,0.6444444444444445,0.6825396825396826,0.7328042328042328,0.7158730158730159,1.9770000000000003,1.624,0.17200000000000001,0.554,0.9020000000000001,-0.2491022919753788,-0.39038589005902624,-0.3866544352722575,-0.46764594970260953,-0.40477076130735945,-0.08327975620753925,-0.5253970699294592,-0.1262599263054356,-0.04629362614904564,-0.062387866090893196,lookback_scan,pending_review
lookback_012,12,-0.03675068665285952,-0.06284760372202902,0.34099536670680664,0.1039912997067145,0.03097965397643132,0.21012387032415114,0.2080227194259741,0.2942124651990627,0.23681596512440575,0.22588725058302636,-0.0726709953181425,-0.20789287031965187,1.145050011559728,0.5362317967905706,0.24762018786887618,-0.7935382299783765,-0.6940009155406941,-0.22983921605975188,-0.23813072296603477,-0.3493274703318012,0.8610955841252096,0.9531746031746032,0.9365079365079365,0.9523809523809523,0.9603174603174603,0.8610955841252096,0.9531746031746032,0.9365079365079365,0.9523809523809523,0.9603174603174603,497,118,16,36,50,1001,769,82,254,421,0.4927333705980995,0.5698412698412698,0.5952380952380952,0.6296296296296297,0.6317460317460317,1.7630000000000001,1.436,0.15000000000000002,0.47600000000000003,0.796,-0.26720232778610353,-0.4288688494332664,-0.4045476312673618,-0.479172053810894,-0.45298836734337833,-0.13449860860200058,-0.5065038756319773,-0.06628203133413058,0.007398764291544957,-0.0579905244278468,lookback_scan,pending_review
lookback_013,13,0.0036317667930623188,-0.025340664817914638,0.4358061234311814,0.1779240293136206,0.07113911513006621,0.2114855905253828,0.2099699231607285,0.29011311585411353,0.23816848787930067,0.22834400311449607,0.12315190142840529,-0.017276420270189302,1.3925727183200156,0.8066582470158591,0.4146053453666131,-0.682809082561173,-0.6522417711137767,-0.1768166693340546,-0.3232650305941144,-0.38199016862543245,0.8664058133035215,0.9583333333333334,0.9484126984126984,0.9576719576719577,0.9650793650793651,0.8664058133035215,0.9583333333333334,0.9484126984126984,0.9576719576719577,0.9650793650793651,478,105,13,32,44,901,697,83,231,376,0.44745667970933484,0.5206349206349207,0.6190476190476191,0.582010582010582,0.5682539682539682,1.601,1.3119999999999998,0.15600000000000003,0.44000000000000006,0.716,-0.2268198743401817,-0.3181397020160629,-0.36704069236324743,-0.4374129093839766,-0.41282890618974344,-0.1671613068956318,-0.4325711460250712,-0.15141633896221018,0.10220952101591974,-0.0049679777021495175,lookback_scan,pending_review
lookback_014,14,0.021978676339084346,0.006769343643776127,0.5831609846235002,0.21642796492745098,0.13818432689383164,0.21635563582642867,0.21323623352576726,0.29168420255926486,0.24080469015702322,0.23230165651723686,0.20890850162892127,0.13821435814710722,1.7222720487577465,0.9339963275943138,0.6728156677838418,-0.6243125703825507,-0.6243125703825518,-0.14549342086451778,-0.306444035097172,-0.3064440350971708,0.8725544997205142,0.9575396825396826,0.9563492063492064,0.9563492063492064,0.9634920634920635,0.8725544997205142,0.9575396825396826,0.9563492063492064,0.9563492063492064,0.9634920634920635,456,107,11,33,46,821,656,75,201,350,0.4086081609837898,0.4876984126984127,0.5515873015873016,0.49867724867724866,0.523015873015873,1.4620000000000002,1.229,0.139,0.377,0.659,-0.20847296479415967,-0.2596431898374406,-0.33493068390155667,-0.40948370865275174,-0.345783694425978,-0.09161517336737013,-0.3940672104112408,-0.1345953434652678,0.2495643822082385,0.026355270767387307,lookback_scan,pending_review
lookback_015,15,0.05685232390236172,0.050788253995794674,0.7957720233944394,0.2870785158339486,0.21101321809567608,0.2147399100545126,0.21474314866703614,0.2950279402746432,0.23919734003742557,0.2324509008441967,0.3649412229952849,0.33806471001250105,2.133846534956882,1.1750233104750323,0.9396300797637839,-0.5496030480864907,-0.5496030480864901,-0.10028886432804396,-0.2705180266818389,-0.27051802668183933,0.8719955282280604,0.9571428571428572,0.9642857142857143,0.9616402116402116,0.9642857142857143,0.8719955282280604,0.9571428571428572,0.9642857142857143,0.9616402116402116,0.9642857142857143,458,108,9,29,45,732,579,73,186,317,0.363890441587479,0.43134920634920637,0.5595238095238095,0.4722222222222222,0.476984126984127,1.302,1.087,0.14100000000000001,0.357,0.601,-0.1735993172308823,-0.18493366754138063,-0.2909117735495381,-0.33477418635669,-0.27295480322413357,-0.05568916495203868,-0.3234166595047432,-0.09866933504993469,0.46217542097917774,0.07155982730386112,lookback_scan,pending_review
lookback_016,16,0.116817783414638,0.12803517695431066,0.5418037469163599,0.3650358296007419,0.3022107564498544,0.21674444809888008,0.2160978052171027,0.29680471990380725,0.24195723685958004,0.23590846345755848,0.6181726683361115,0.6655118775418586,1.608193941248022,1.4072934629808433,1.23708358644776,-0.33478901926614313,-0.30573371617339284,-0.13472863159247284,-0.13472863159247284,-0.2530959056871882,0.8764673001676915,0.9630952380952381,0.9722222222222222,0.9642857142857143,0.9650793650793651,0.8764673001676915,0.9630952380952381,0.9722222222222222,0.9642857142857143,0.9650793650793651,442,93,7,27,44,664,520,72,179,289,0.32979318054779205,0.3884920634920635,0.5595238095238095,0.458994708994709,0.4357142857142857,1.1800000000000002,0.9790000000000001,0.14100000000000001,0.34700000000000003,0.549,-0.11363385771860601,0.029880361278966983,-0.21366485059102214,-0.09090485444359275,-0.18175726486995525,-0.03826704395738756,-0.24545934573794992,0.03712006003943136,0.20820714450109823,0.037120060039432246,lookback_scan,pending_review
lookback_017,17,0.09319625789634278,0.08772274873415764,0.37801893355079064,0.3192366254568222,0.23915413727337498,0.21766722426968713,0.21685073773329036,0.30089322811408115,0.24543833588370007,0.23761207358168662,0.5182326895284278,0.49609147009838767,1.2166046222854803,1.2515656449533248,1.020828532344769,-0.4818359224316239,-0.440952222371809,-0.17084766703237386,-0.17084766703237364,-0.2963749429457829,0.8778647288988262,0.9638888888888889,0.9642857142857143,0.9629629629629629,0.9634920634920635,0.8778647288988262,0.9638888888888889,0.9642857142857143,0.9629629629629629,0.9634920634920635,437,91,9,28,46,625,491,68,168,275,0.3102291783119061,0.36626984126984125,0.5198412698412699,0.4298941798941799,0.41349206349206347,1.1099999999999999,0.923,0.131,0.325,0.521,-0.13725538323690123,-0.11716654188651376,-0.25397727881117516,-0.22612336064200889,-0.24481388404643467,-0.08154608121598228,-0.2912585498818696,0.0010010245995305533,0.04442233113552896,0.0010010245995312195,lookback_scan,pending_review
lookback_018,18,0.13178243306970705,0.1438008095753993,0.3752175187691027,0.2992894436105782,0.2524520518106972,0.2190524007679467,0.2191009359773987,0.3153415972268992,0.2508492321889028,0.24210868199933513,0.6747359571457333,0.7227674329762708,1.1685465928188974,1.169148366443671,1.0504603776881467,-0.2763107930246468,-0.276310793024646,-0.18681340481925823,-0.18681340481925812,-0.25651968019744753,0.8792621576299608,0.9662698412698413,0.9722222222222222,0.9642857142857143,0.9634920634920635,0.8792621576299608,0.9662698412698413,0.9722222222222222,0.9642857142857143,0.9634920634920635,432,85,7,27,46,584,454,70,170,259,0.29094466182224704,0.3404761904761905,0.5476190476190477,0.43915343915343913,0.39365079365079364,1.041,0.8580000000000001,0.138,0.332,0.49600000000000005,-0.09866920806353696,0.08835858752046333,-0.19789921796993348,-0.061481931294845915,-0.23151596950911246,-0.041690818467646884,-0.3112057317281136,-0.014964713187353929,0.04162091635384102,-0.014964713187353151,lookback_scan,pending_review
lookback_019,19,0.14074011045770307,0.15561183564173642,0.3681130617822779,0.3367933242217733,0.272528946732828,0.21925167774767054,0.22116399774095172,0.3084778240470241,0.24996840298688847,0.24064479427800936,0.7102155815725347,0.7644876884730232,1.1705129805125254,1.2862254387815164,1.1214199539810492,-0.28153236391654324,-0.2815323639165429,-0.19368147227145782,-0.1936814722714576,-0.2616779555489265,0.8817775293460034,0.9702380952380952,0.9761904761904762,0.966931216931217,0.9650793650793651,0.8817775293460034,0.9702380952380952,0.9761904761904762,0.966931216931217,0.9650793650793651,423,75,6,25,44,556,434,66,158,241,0.2786472889882616,0.3277777777777778,0.5158730158730159,0.4074074074074074,0.3682539682539683,0.9970000000000001,0.8260000000000001,0.13,0.30800000000000005,0.464,-0.08971153067554094,0.08313701662856687,-0.18608819190359638,-0.06670350218674281,-0.21143907458698163,-0.04684909381912583,-0.27370185111691847,-0.021832780639553406,0.034516459367016195,-0.02183278063955274,lookback_scan,pending_review
