start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,lookback,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,-0.03467485052669972,0.20188955942741926,-0.07372018973375014,-0.7865404693662292,0.8446059250978201,0.8446059250978201,556,1218,0.5905533817775294,2113.0,2.113,lookback_010,full,10,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,-0.08526341478069133,0.20156961022069766,-0.34123429901244834,-0.7245183563591922,0.942063492063492,0.942063492063492,146,938,0.6880952380952381,1734.0,1.734,lookback_010,last_10y,10,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.03590641839923325,0.21348392335611024,0.2716061790633686,-0.3334504942204022,0.942063492063492,0.942063492063492,73,518,0.7634920634920634,962.0,0.9620000000000001,lookback_010,last_5y,10,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.006452613562815568,0.21632187185707744,0.13791277622617726,-0.3334504942204025,0.9365079365079365,0.9365079365079365,48,321,0.7936507936507936,600.0,0.6000000000000001,lookback_010,last_3y,10,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.031348478563859805,0.2447559032664579,0.2488634555811798,-0.2064233022746399,0.8849206349206349,0.8849206349206349,29,107,0.753968253968254,190.0,0.19,lookback_010,last_1y,10,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,-0.018650650842134797,0.20910118008421522,0.014737396402603575,-0.7550552706041364,0.8532699832308552,0.8532699832308552,525,1128,0.5525433202906652,1977.0,1.9770000000000003,lookback_011,full,11,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,-0.04495440772692472,0.2078944954717714,-0.11728358639825476,-0.6824748114324096,0.95,0.95,126,872,0.6444444444444445,1624.0,1.624,lookback_011,last_10y,11,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.0791972600124502,0.2229578069730005,0.4529774310717452,-0.2981086179373399,0.9547619047619048,0.9547619047619048,57,479,0.7158730158730159,902.0,0.9020000000000001,lookback_011,last_5y,11,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.08509810540923257,0.22961334438717493,0.47059620034342947,-0.2981086179373398,0.9444444444444444,0.9444444444444444,42,297,0.7328042328042328,554.0,0.554,lookback_011,last_3y,11,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.28730297626621604,0.27738323009011157,1.0500176594845128,-0.23423655772279828,0.9206349206349206,0.9206349206349206,20,95,0.6825396825396826,172.0,0.17200000000000001,lookback_011,last_1y,11,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,-0.03675068665285952,0.21012387032415114,-0.0726709953181425,-0.7935382299783765,0.8610955841252096,0.8610955841252096,497,1001,0.4927333705980995,1763.0,1.7630000000000001,lookback_012,full,12,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,-0.06284760372202902,0.2080227194259741,-0.20789287031965187,-0.6940009155406941,0.9531746031746032,0.9531746031746032,118,769,0.5698412698412698,1436.0,1.436,lookback_012,last_10y,12,off,1.0,1.0,off,off
