version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,reason
1.0,v1_0_original_full_entry,Full,2007-01-04,2016-12-30,2432,2.3070466471064837,0.13194046596098308,-0.4217073886289766,0.6260086776981112,0.24665011032333115,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.0,0.6009356184629083,600.9356184629083,1.257750313061896,0.9485703304220149,1.5,
1.0,v1_0_original_full_entry,10Y,,2016-12-30,2432,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days after 2007-01-04
1.0,v1_0_original_full_entry,5Y,2011-10-28,2016-12-30,1260,0.9061318737885355,0.1377074152768032,-0.42170738862897583,0.6505110954140547,0.24429116701890088,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,0.32174368364152006,321.74368364152,1.2490957731157326,0.973074373865238,1.5,
1.0,v1_0_original_full_entry,3Y,2013-11-29,2016-12-30,756,0.04153268982801328,0.013656870775103691,-0.4217073886289757,0.1790902736230207,0.24839308113173195,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,0.19089500398942982,190.89500398942982,1.2091759521974073,0.9661558070427172,1.5,
1.0,v1_0_original_full_entry,1Y,2015-12-22,2016-12-30,252,-0.3117438456651601,-0.3117438456651601,-0.3831344089034041,-1.6383822942581512,0.21371096210121596,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.07081158348645594,70.81158348645596,1.2116126896563766,0.9801109312215452,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,Full,2007-01-04,2016-12-30,2432,1.9449704549193623,0.11842129248205269,-0.36963880186261633,0.5931566387994788,0.23567293399803604,594.0,454.0,454.0,234.0,184.0,12.0,6.0,5.0,1805.0,0.5637954030151304,563.7954030151304,1.32185867753271,0.8699542314285992,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,,2016-12-30,2432,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days after 2007-01-04
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2011-10-28,2016-12-30,1260,0.8109389507378806,0.12610986230969345,-0.36963880186261555,0.6269642758957251,0.2328383034167053,277.0,235.0,235.0,130.0,100.0,9.0,4.0,3.0,981.0,0.3083595110487856,308.3595110487856,1.3134225690706127,0.8905988379628045,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2013-11-29,2016-12-30,756,0.10591071470766256,0.034125757029554116,-0.3696388018626172,0.26049820587680533,0.2385680541275627,153.0,123.0,123.0,77.0,58.0,7.0,2.0,1.0,603.0,0.17787504570905122,177.87504570905122,1.2656688243882321,0.8959400998298725,1.5,
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2015-12-22,2016-12-30,252,-0.26975264038563196,-0.26975264038563196,-0.3696388018626168,-1.3506763813738174,0.2151757171634819,42.0,45.0,45.0,28.0,23.0,0.0,0.0,0.0,211.0,0.06646306514706504,66.46306514706502,1.281337730443231,0.9265495605947793,1.5,
