code,name,first,last,rows,missing_in_joined_calendar,max_abs_daily_return,max_abs_daily_return_date,large_move_gt_30pct_count
QQQ,NASDAQ_QQQ_ADJ_CLOSE_PROXY,2007-01-04,2016-12-30,2432,0,0.15141190693205797,2008-10-06,0
EWG,GERMANY_EWG_ADJ_CLOSE_PROXY,2007-01-04,2016-12-30,2432,0,0.1978961767096108,2008-10-28,0
EWJ,JAPAN_EWJ_ADJ_CLOSE_PROXY,2007-01-04,2016-12-30,2432,0,0.15821991570684468,2008-10-13,0
GLD,GOLD_GLD_ADJ_CLOSE_PROXY,2007-01-04,2016-12-30,2432,0,0.11290530102327678,2008-09-17,0
CN_CYB_399006,CHINEXT_INDEX_PROXY_DYNAMIC_FROM_2010_06_01,2010-06-01,2016-12-30,1601,831,0.0890973621342449,2015-06-26,0
