asset,start,end,days,total,cagr,maxdd,vol
QQQ,2007-01-04,2016-12-30,2432,1.9453893208887072,0.11843777444179682,-0.5340401268281875,0.2215834277569174
EWG,2007-01-04,2016-12-30,2432,0.23877108628811983,0.022434715087149337,-0.6309547303457435,0.29747739229063436
EWJ,2007-01-04,2016-12-30,2432,-0.011903315256930669,-0.0012400328243296066,-0.5355016474543769,0.23478814348535365
GLD,2007-01-04,2016-12-30,2432,0.7779399496744577,0.06144137909298575,-0.4555501273425694,0.19688262626957642
CN_CYB_399006,2010-06-01,2016-12-30,1601,1.0160290989796903,0.1166788489816526,-0.5486069433109424,0.3415798795910765
