candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,nav_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,trades,cost_total,turnover_total,avg_exposure_effective,avg_final_exposure,avg_nav_defense_scale_effective,avg_nav_defense_scale_next,defense_day_ratio,trigger_count,recovery_count,reason
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,False,,,1.0,nav_off,full,Full,2016-12-30,2007-01-04,2432.0,0.09143280358375905,0.16705667427612686,-0.23103804353793,0.6075027642557757,404.0,0.364,364.0,0.555407072368421,0.5558182565789473,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.0957360792194073,0.16128962126834623,-0.19530151138201635,0.6479003222720469,211.0,0.19525000000000003,195.25,0.564484126984127,0.5646825396825397,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07434907397052593,0.15997446729163192,-0.19530151138201646,0.5287873500344414,121.0,0.11175000000000002,111.75,0.5396825396825397,0.5400132275132276,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,False,,,1.0,nav_off,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.01835244791470303,0.13150701818480545,-0.19530151138201612,0.20466981754301752,34.0,0.0315,31.5,0.5128968253968254,0.5168650793650794,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.011852350764367525,0.11135194744999853,-0.31660448069835767,0.16149451492856762,258.0,0.16627175645124817,166.27175645124817,0.2197779605263158,0.2197779605263158,0.37088815789473684,0.3704769736842105,0.6291118421052632,13.0,12.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.03673037639976462,0.11650611240829131,-0.1723835642270949,0.36799536707822844,139.0,0.09840004368304434,98.40004368304433,0.23531746031746031,0.23472222222222222,0.4150793650793651,0.4142857142857143,0.584920634920635,6.0,5.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.04584466995010161,0.09908954717300424,-0.08742375523283297,0.502052433755813,50.0,0.038541607434187025,38.54160743418702,0.15542328042328044,0.15542328042328044,0.3002645502645503,0.3002645502645503,0.6997354497354498,2.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.01682839688792881,0.09754911179806787,-0.0779969110175146,0.22032287528820518,11.0,0.009505722648257248,9.505722648257247,0.17261904761904762,0.17261904761904762,0.17857142857142858,0.17857142857142858,0.8214285714285714,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.032577932856455494,0.11553340246787328,-0.24324796316183328,0.3352747092466537,1125.0,0.21669198107026416,216.69198107026415,0.3036852384868421,0.3037880345394737,0.5281661184210527,0.5278577302631579,0.6291118421052632,13.0,12.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.05228958677755191,0.11972191316710155,-0.1645556675562515,0.4857368408663696,574.0,0.12313683009253856,123.13683009253856,0.31760912698412697,0.31721230158730157,0.5613095238095238,0.5607142857142857,0.584920634920635,6.0,5.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off_nav_off,layer5_carried_primary_no_decay,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.054320737238322314,0.10389572531900387,-0.10845461686750024,0.5612392505820191,358.0,0.05720130615324223,57.20130615324223,0.25148809523809523,0.2515707671957672,0.4751984126984127,0.4751984126984127,0.6997354497354498,2.0,2.0,
