candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,avg_exposure_effective,avg_final_exposure,avg_decay_multiplier_effective,avg_decay_multiplier_next,decay_day_ratio,trigger_count,recovery_count,reason
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,full,Full,2016-12-30,2007-01-04,2432.0,0.0914329728901273,0.16705672782548855,-0.23103759993870376,0.6075035508451331,982.0,404.0,0.364,364.0,0.5962171052631579,0.5558182565789473,0.555407072368421,0.5558182565789473,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09573654750488636,0.16128974985716701,-0.195301836227452,0.6479025852115423,501.0,211.0,0.19525000000000003,195.25,0.6023809523809524,0.5646825396825397,0.564484126984127,0.5646825396825397,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07434918248262878,0.15997452042407703,-0.195301836227452,0.5287878600531473,322.0,121.0,0.11175000000000002,111.75,0.5740740740740741,0.5400132275132276,0.5396825396825397,0.5400132275132276,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.01835209092806611,0.13150710451237668,-0.19530183622745145,0.20466710841658725,116.0,34.0,0.0315,31.5,0.5396825396825397,0.5168650793650794,0.5128968253968254,0.5168650793650794,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.07185221679476284,0.1591782286981202,-0.21642741317032355,0.5156934520989994,1044.0,600.0,0.3685693287749791,368.5693287749791,0.5707236842105263,0.5558182565789473,0.5299136513157895,0.5303248355263158,0.9745065789473685,0.9745065789473685,0.02549342105263158,21.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.06494838737940833,0.1484175116643604,-0.17146953487747973,0.4984970112329592,546.0,299.0,0.19950975795002995,199.50975795002995,0.5666666666666667,0.5646825396825397,0.5287698412698413,0.528968253968254,0.9642857142857143,0.9642857142857143,0.03571428571428571,13.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.0728869110526642,0.14982148659646416,-0.15016593148565072,0.5448907800689591,338.0,163.0,0.11386775857149578,113.86775857149578,0.5529100529100529,0.5400132275132276,0.5185185185185185,0.5188492063492064,0.9788359788359788,0.9788359788359788,0.021164021164021163,6.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.08867984073804291,0.11762844988945018,-0.15016593148565138,0.7814006017827676,120.0,42.0,0.031522599542817484,31.522599542817485,0.5238095238095238,0.5168650793650794,0.49702380952380953,0.5009920634920635,0.9841269841269841,0.9841269841269841,0.015873015873015872,2.0,0.0,
