candidate,candidate_type,lookback,r2_threshold,switch_buffer,entry_fraction,decay_label,notes,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_off,layer5_carried_baseline,28,0.5,1.0,0.75,decay_off,"Layer5 rejected target-vol, so this is the carried Layer4 primary line before momentum decay",0.0914329728901273,-0.23103759993870376,,,,insufficient rows: 2432 < 2520 trading days,0.09573654750488636,-0.195301836227452,,0.07434918248262878,-0.195301836227452,,0.01835209092806611,-0.19530183622745145,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p95_c1_scale_0p00,primary_55_95_cash_decay,28,0.5,1.0,0.75,decay_0p55_rec_0p95_c1_scale_0p00,"Primary line with score-peak decay 55%, recovery 95%, one-day confirm, derisk to cash",0.07013269192011062,-0.22484317879845994,,,,insufficient rows: 2432 < 2520 trading days,0.05077107171559869,-0.18694275301269847,,0.07273208971432954,-0.14873559725471774,,0.13129370808422358,-0.1272369962580544,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p95_c1_scale_0p50,primary_55_95_half_decay,28,0.5,1.0,0.75,decay_0p55_rec_0p95_c1_scale_0p50,"Primary line with score-peak decay 55%, recovery 95%, one-day confirm, derisk to 50%",0.08130242074103688,-0.22779817499502997,,,,insufficient rows: 2432 < 2520 trading days,0.07380775623436286,-0.1763188508968544,,0.07411930345256912,-0.16156627012209634,,0.07389347798502599,-0.16156627012209612,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75,layer6_selected,28,0.5,1.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,Selected Layer6 line under the documented pass rule,0.09107100789567557,-0.22530957369393212,,,,insufficient rows: 2432 < 2520 trading days,0.09245533013327623,-0.18398836023990728,,0.07474349140502867,-0.18398836023990806,,0.03246033973579121,-0.18398836023990783,
lb_32_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p95_c1_scale_0p00,return_peak_watch_decay,32,0.5,1.0,0.75,decay_0p55_rec_0p95_c1_scale_0p00,Return peak watch line with the same momentum-decay tuple,0.09921274939358837,-0.1466894522183374,,,,insufficient rows: 2432 < 2520 trading days,0.09112224464363816,-0.14668945221833718,,0.08598457301328066,-0.14668945221833796,,0.0002305920576075593,-0.14668945221833796,
orig_layer6_lb25_r2_0p20_buf_1p05_entry_0p50_decay_off,original_layer6_same_stage_decay_off,25,0.2,1.05,0.5,decay_off,"Original first-layer parameter plus original R2 0.20, switch buffer 1.05, initial entry fraction 0.50; no momentum decay in this layer",0.08028518278132468,-0.2816289370394265,,,,insufficient rows: 2432 < 2520 trading days,0.08269774257510298,-0.28162893703942693,,0.03257608099004594,-0.28162893703942693,,-0.179941816330216,-0.2703657399702585,
orig_full_v1_1_reference,original_full_strategy_reference,25,0.2,,,,"Full official V1.1 chain including target-vol and overheat; context only, not Layer6 pass baseline",0.11842169193896668,-0.3696385662013124,,,,insufficient rows: 2432 < 2520 trading days,0.12611090691404936,-0.3696385662013121,,0.03412644532268794,-0.3696385662013121,,-0.26975244390794295,-0.3696385662013122,
