candidate,R2_THRESHOLD,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,avg_turnover,cost_total,qqq_days,gld_days
no_r2,,full,2015-07-13,2026-05-15,2728,0.212660967322855,0.1766566143733121,1.180546901049579,-0.3286542662050346,7.063288945155817,2015-07-13,2022-11-03,116,0,2728,0.0,1.0,,0.0,1601,1127
no_r2,,last_10y,2016-05-09,2026-05-15,2520,0.2061672668627954,0.1778319469224998,1.1437374602338293,-0.3286542662050347,5.517415115300404,2016-05-09,2022-11-03,109,0,2520,0.0,1.0,,0.0,1493,1027
no_r2,,last_1y,2025-05-15,2026-05-15,252,0.6267454183783008,0.2491019233985213,2.0815522068251355,-0.1573108000364715,0.6267454183783008,2025-05-15,2026-03-30,8,0,252,0.0,1.0,,0.0,122,130
no_r2,,last_3y,2023-05-11,2026-05-15,756,0.4269421871380725,0.1927104464308218,1.9432612018137407,-0.1573108000364714,1.9054883192863608,2023-05-11,2026-03-30,28,0,756,0.0,1.0,,0.0,390,366
no_r2,,last_5y,2021-05-11,2026-05-15,1260,0.2434587085779394,0.1913026180326154,1.2355840304862655,-0.3286542662050346,1.972739414576889,2021-05-11,2022-11-03,51,0,1260,0.0,1.0,,0.0,645,615
r2_ge_0.00,0.0,full,2015-07-13,2026-05-15,2728,0.212660967322855,0.1766566143733121,1.180546901049579,-0.3286542662050346,7.063288945155817,2015-07-13,2022-11-03,116,0,2728,0.0,1.0,,0.0,1601,1127
r2_ge_0.00,0.0,last_10y,2016-05-09,2026-05-15,2520,0.2061672668627954,0.1778319469224998,1.1437374602338293,-0.3286542662050347,5.517415115300404,2016-05-09,2022-11-03,109,0,2520,0.0,1.0,,0.0,1493,1027
r2_ge_0.00,0.0,last_1y,2025-05-15,2026-05-15,252,0.6267454183783008,0.2491019233985213,2.0815522068251355,-0.1573108000364715,0.6267454183783008,2025-05-15,2026-03-30,8,0,252,0.0,1.0,,0.0,122,130
r2_ge_0.00,0.0,last_3y,2023-05-11,2026-05-15,756,0.4269421871380725,0.1927104464308218,1.9432612018137407,-0.1573108000364714,1.9054883192863608,2023-05-11,2026-03-30,28,0,756,0.0,1.0,,0.0,390,366
r2_ge_0.00,0.0,last_5y,2021-05-11,2026-05-15,1260,0.2434587085779394,0.1913026180326154,1.2355840304862655,-0.3286542662050346,1.972739414576889,2021-05-11,2022-11-03,51,0,1260,0.0,1.0,,0.0,645,615
r2_ge_0.05,0.05,full,2015-07-13,2026-05-15,2728,0.2032111576386903,0.182575380905141,1.1055372554299916,-0.311943668176278,6.408536316812751,2015-07-13,2022-07-06,275,55,2673,0.0201612903225806,0.9798387096774194,,0.0,1571,1102
r2_ge_0.05,0.05,last_10y,2016-05-09,2026-05-15,2520,0.1978807781089275,0.1843216743330589,1.0727572401443843,-0.311943668176278,5.083254138992104,2016-05-09,2022-07-06,249,51,2469,0.0202380952380952,0.9797619047619048,,0.0,1467,1002
r2_ge_0.05,0.05,last_1y,2025-05-15,2026-05-15,252,0.546778638386547,0.2462246296583013,1.8978819289562467,-0.1653253650564786,0.546778638386547,2025-05-15,2025-11-21,15,3,249,0.0119047619047619,0.988095238095238,,0.0,130,119
r2_ge_0.05,0.05,last_3y,2023-05-11,2026-05-15,756,0.4130439230692286,0.1946923110821802,1.875111787860242,-0.1653253650564786,1.821415091493337,2023-05-11,2025-11-21,56,11,745,0.0145502645502645,0.9854497354497356,,0.0,400,345
r2_ge_0.05,0.05,last_5y,2021-05-11,2026-05-15,1260,0.270480226759775,0.1952493156435151,1.3247553097537867,-0.3119436681762781,2.3100880873222147,2021-05-11,2022-07-06,114,25,1235,0.0198412698412698,0.9801587301587302,,0.0,654,581
r2_ge_0.10,0.1,full,2015-07-13,2026-05-15,2728,0.2090796525813993,0.1809038642537234,1.1408930291195487,-0.3282760368666817,6.80921084261507,2015-07-13,2022-11-03,269,109,2619,0.0399560117302052,0.9600439882697948,,0.0,1523,1096
r2_ge_0.10,0.1,last_10y,2016-05-09,2026-05-15,2520,0.2090295125443269,0.1824329121273327,1.1326780718282723,-0.3282760368666816,5.6737359823455895,2016-05-09,2022-11-03,246,101,2419,0.040079365079365,0.959920634920635,,0.0,1420,999
r2_ge_0.10,0.1,last_1y,2025-05-15,2026-05-15,252,0.6402491916502104,0.2438736610760313,2.154826932256888,-0.153727865471432,0.6402491916502104,2025-05-15,2025-11-20,16,8,244,0.0317460317460317,0.9682539682539684,,0.0,129,115
r2_ge_0.10,0.1,last_3y,2023-05-11,2026-05-15,756,0.438855196436299,0.1937811874492289,1.976539422338152,-0.1537278654714321,1.97886806617544,2023-05-11,2025-11-20,58,18,738,0.0238095238095238,0.9761904761904762,,0.0,399,339
r2_ge_0.10,0.1,last_5y,2021-05-11,2026-05-15,1260,0.2703463347045749,0.1924933631557047,1.3403842591492183,-0.3282760368666817,2.308344254228357,2021-05-11,2022-11-03,114,41,1219,0.0325396825396825,0.9674603174603176,,0.0,645,574
r2_ge_0.15,0.15,full,2015-07-13,2026-05-15,2728,0.2202204233753388,0.1825218824275861,1.182555507617019,-0.279934393728241,7.624397934496619,2015-07-13,2022-11-03,273,167,2561,0.0612170087976539,0.938782991202346,,0.0,1484,1077
r2_ge_0.15,0.15,last_10y,2016-05-09,2026-05-15,2520,0.2174836574501468,0.1842990684826516,1.1607691906948585,-0.279934393728241,6.155358585014462,2016-05-09,2022-11-03,249,154,2366,0.0611111111111111,0.9388888888888888,,0.0,1389,977
r2_ge_0.15,0.15,last_1y,2025-05-15,2026-05-15,252,0.5491113677209265,0.2432881959997589,1.9239994321559497,-0.1703400401163612,0.5491113677209265,2025-05-15,2026-03-30,17,11,241,0.0436507936507936,0.9563492063492064,,0.0,129,112
r2_ge_0.15,0.15,last_3y,2023-05-11,2026-05-15,756,0.3685005397305838,0.1958047652449913,1.70178188127241,-0.1703400401163611,1.5629192265359595,2023-05-11,2026-03-30,59,29,727,0.0383597883597883,0.9616402116402116,,0.0,403,324
r2_ge_0.15,0.15,last_5y,2021-05-11,2026-05-15,1260,0.2729491331693974,0.1921406158014579,1.3531012435288046,-0.279934393728241,2.342375570151604,2021-05-11,2022-11-03,114,67,1193,0.0531746031746031,0.9468253968253968,,0.0,637,556
r2_ge_0.20,0.2,full,2015-07-13,2026-05-15,2728,0.2370821416980753,0.1852204393632539,1.2419081405131278,-0.2512480559745815,9.005777357796857,2015-07-13,2022-10-14,274,227,2501,0.0832111436950146,0.9167888563049854,,0.0,1455,1046
r2_ge_0.20,0.2,last_10y,2016-05-09,2026-05-15,2520,0.2314095024158797,0.1872471683545747,1.2059373442327577,-0.2512480559745814,7.017242238692029,2016-05-09,2022-10-14,248,203,2317,0.0805555555555555,0.9194444444444444,,0.0,1365,952
r2_ge_0.20,0.2,last_1y,2025-05-15,2026-05-15,252,0.5714296110123547,0.2385482413916564,2.017456566486717,-0.1529566580171222,0.5714296110123547,2025-05-15,2026-03-30,16,18,234,0.0714285714285714,0.9285714285714286,,0.0,128,106
r2_ge_0.20,0.2,last_3y,2023-05-11,2026-05-15,756,0.3917006233800606,0.2069536501156204,1.701508079951615,-0.1529566580171222,1.6954883883561551,2023-05-11,2026-03-30,61,43,713,0.0568783068783068,0.9431216931216932,,0.0,397,316
r2_ge_0.20,0.2,last_5y,2021-05-11,2026-05-15,1260,0.2834863153829587,0.1996873396052175,1.35022944660222,-0.2512480559745813,2.4830219611184723,2021-05-11,2022-10-14,121,90,1170,0.0714285714285714,0.9285714285714286,,0.0,633,537
r2_ge_0.25,0.25,full,2015-07-13,2026-05-15,2728,0.2313086943499662,0.1840473933723307,1.2231860415284777,-0.2289290255448588,8.511697961112663,2015-07-13,2022-10-14,277,304,2424,0.1114369501466275,0.8885630498533725,,0.0,1407,1017
r2_ge_0.25,0.25,last_10y,2016-05-09,2026-05-15,2520,0.2253288160919422,0.186309142980999,1.184453676400456,-0.2289290255448588,6.630033934351415,2016-05-09,2022-10-14,255,272,2248,0.1079365079365079,0.8920634920634921,,0.0,1327,921
r2_ge_0.25,0.25,last_1y,2025-05-15,2026-05-15,252,0.5283845179506961,0.2366010443756997,1.9145195796010424,-0.1723517597101437,0.5283845179506961,2025-05-15,2026-03-30,21,25,227,0.0992063492063492,0.9007936507936508,,0.0,124,103
r2_ge_0.25,0.25,last_3y,2023-05-11,2026-05-15,756,0.366190395633502,0.204197541613756,1.631001891003683,-0.1723517597101437,1.5499618541855598,2023-05-11,2026-03-30,74,67,689,0.0886243386243386,0.9113756613756614,,0.0,385,304
r2_ge_0.25,0.25,last_5y,2021-05-11,2026-05-15,1260,0.2610243905258373,0.1969055383449005,1.2767458617484917,-0.2289290255448588,2.188727693339645,2021-05-11,2022-10-14,132,134,1126,0.1063492063492063,0.8936507936507937,,0.0,610,516
