episode,start,end,rows,main_asset,alpha_vs_off,base_compound_return,scale_zero_compound_return
1,2013-03-01,2013-03-04,2,159915.SZ,0.023442508690614247,0.0034883720930232176,0.027012656976744376
3,2013-03-06,2013-03-07,2,159915.SZ,0.022951024999999937,-0.007891770011273946,0.01487813077790312
5,2015-11-09,2015-11-11,3,159915.SZ,-0.036193064113301365,0.04970172684458385,0.011709804945054803
7,2015-11-19,2015-11-27,7,159915.SZ,0.04918053846153836,-0.007949125596184103,0.040840470588235256
9,2019-03-21,2019-03-25,3,159915.SZ,0.018148704793817607,-0.014875227404713032,0.0030035112781956474
11,2022-03-07,2022-03-15,7,159985.SZ,-0.005155233396584283,0.053999999999999604,0.04856638399999991
13,2022-03-22,2022-03-28,5,159985.SZ,0.028298540983606464,0.0006075334143382793,0.02892326670716905
15,2024-01-15,2024-01-16,2,513520.SH,0.042463004797806646,0.002060439560439775,0.04461093681318706
17,2024-11-11,2024-11-14,4,159915.SZ,0.024608544143356885,0.002629272567922891,0.027302519281332316
19,2025-09-22,2025-09-23,2,159915.SZ,-0.00355541927696319,0.020583787876870874,0.01695518460369727
21,2025-09-29,2025-10-10,4,159915.SZ,0.03605079579967683,-0.010866091403004208,0.024792973154362352
23,2026-06-01,2026-06-02,2,159941.SZ,0.016715716158541716,0.02215466351830009,0.039240710743801754
25,2026-06-18,2026-06-22,2,513520.SH,-0.029929956613149476,0.05766083773891806,0.026005094753964952
