start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,overheat_days,overheat_triggers,overheat_recoveries,avg_turnover,turnover_total,cost_total,candidate,segment,overheat_derisk_scale,overheat_enter,overheat_exit,bias_ma,bias_momentum_days
2011-12-09,2026-09-02,3578,0.2304516411332438,0.243716346643768,0.9722486786218415,-0.3646693805451108,0.8943543879262158,0.8943543879262158,0,13,10,0.19312465064281722,691.0,0.691,scale_1.00_off,full,1.0,0.2,0.18,60,20
2016-04-21,2026-09-02,2520,0.3417000275453328,0.24090591081288845,1.3398950386378392,-0.21482886172980076,0.975,0.975,0,9,7,0.22301587301587303,562.0,0.562,scale_1.00_off,last_10y,1.0,0.2,0.18,60,20
2021-06-25,2026-09-02,1260,0.48396802131980965,0.26626305032071695,1.6141132068789015,-0.2148288617298011,0.9706349206349206,0.9706349206349206,0,8,6,0.24285714285714285,306.0,0.306,scale_1.00_off,last_5y,1.0,0.2,0.18,60,20
2023-07-24,2026-09-02,756,0.6104951753386918,0.2887508298802378,1.7930810447278898,-0.17184869163190408,0.9642857142857143,0.9642857142857143,0,6,4,0.2619047619047619,198.0,0.198,scale_1.00_off,last_3y,1.0,0.2,0.18,60,20
2025-08-20,2026-09-02,252,0.33359660241526323,0.31384892256705815,1.0743488348190255,-0.17184869163190464,0.9722222222222222,0.9722222222222222,0,4,2,0.3492063492063492,88.0,0.08800000000000001,scale_1.00_off,last_1y,1.0,0.2,0.18,60,20
2011-12-09,2026-09-02,3578,0.23207011993114324,0.2432318658262597,0.97909598035045,-0.3638547178552758,0.8934647282595695,0.8943543879262158,32,13,10,0.1935794149455469,692.6271466751668,0.6926271466751668,scale_0.90,full,0.9,0.2,0.18,60,20
2016-04-21,2026-09-02,2520,0.34341096457275433,0.2405416338713983,1.3468562495277967,-0.2125261221128084,0.9741302913412674,0.975,22,9,7,0.22341855264508298,563.0147526656091,0.5630147526656091,scale_0.90,last_10y,0.9,0.2,0.18,60,20
2021-06-25,2026-09-02,1260,0.48721617836318254,0.2656162810136896,1.6256267547607504,-0.2125261221128083,0.9690544977654239,0.9706349206349206,20,8,6,0.2436612082005328,307.01312233267134,0.3070131223326713,scale_0.90,last_5y,0.9,0.2,0.18,60,20
2023-07-24,2026-09-02,756,0.6151291806106023,0.2880354340355929,1.8067938640984422,-0.1718486916319042,0.96296487358192,0.9642857142857143,10,6,4,0.26271254375893166,198.61068308175234,0.19861068308175234,scale_0.90,last_3y,0.9,0.2,0.18,60,20
2025-08-20,2026-09-02,252,0.33615742973479423,0.3128919488260881,1.082796789695477,-0.17184869163190408,0.9698441444110253,0.9722222222222222,6,4,2,0.35001705624901774,88.20429817475247,0.08820429817475248,scale_0.90,last_1y,0.9,0.2,0.18,60,20
2011-12-09,2026-09-02,3578,0.23448364083119277,0.24259242891891347,0.9890955268404923,-0.362675544439253,0.8921283264971667,0.8943543879262158,32,13,10,0.19425834750295562,695.0563673655752,0.6950563673655752,scale_0.75,full,0.75,0.2,0.18,60,20
2016-04-21,2026-09-02,2520,0.34596570945945593,0.24006055657047562,1.3569888306771036,-0.20907201268731945,0.9728243820687011,0.975,22,9,7,0.22402008626724226,564.5306173934505,0.5645306173934506,scale_0.75,last_10y,0.75,0.2,0.18,60,20
2021-06-25,2026-09-02,1260,0.492068465547592,0.264760782340988,1.6423297819706135,-0.20907201268731945,0.9666810604663084,0.9706349206349206,20,8,6,0.2448628810084156,308.52723007060365,0.3085272300706037,scale_0.75,last_5y,0.75,0.2,0.18,60,20
2023-07-24,2026-09-02,756,0.6220537517393696,0.287089714672041,1.8267079322494197,-0.1718486916319043,0.9609828218350904,0.9642857142857143,10,6,4,0.26391821987695596,199.5221742269787,0.1995221742269787,scale_0.75,last_3y,0.75,0.2,0.18,60,20
2025-08-20,2026-09-02,252,0.33994392788325944,0.3116311312168154,1.0949856954356785,-0.17184869163190442,0.9662758353034168,0.9722222222222222,6,4,2,0.3512259805799759,88.50894710615393,0.08850894710615394,scale_0.75,last_1y,0.75,0.2,0.18,60,20
2011-12-09,2026-09-02,3578,0.23846840553501236,0.24176415832848122,1.0049818136276552,-0.3608243308758121,0.8898958140324068,0.8943543879262158,32,13,10,0.1953814278427227,699.0747488212618,0.6990747488212619,scale_0.50,full,0.5,0.2,0.18,60,20
2016-04-21,2026-09-02,2520,0.3501926327429674,0.2394353875251269,1.373009413462466,-0.20331516364483848,0.9706442207683252,0.975,22,9,7,0.22501609833298364,567.0405677991188,0.5670405677991188,scale_0.50,last_10y,0.5,0.2,0.18,60,20
2021-06-25,2026-09-02,1260,0.5001023401371769,0.2636462054088041,1.6685426070824285,-0.2033151636448386,0.9627177460170634,0.9706349206349206,20,8,6,0.24685402513895857,311.0360716750878,0.3110360716750878,scale_0.50,last_5y,0.5,0.2,0.18,60,20
2023-07-24,2026-09-02,756,0.6335237209845603,0.28585811812610673,1.8580225713666503,-0.17184869163190375,0.9576772841879317,0.9642857142857143,10,6,4,0.265911888213715,201.02938748956853,0.20102938748956856,scale_0.50,last_3y,0.5,0.2,0.18,60,20
2025-08-20,2026-09-02,252,0.3461079358311552,0.3100034746774552,1.113907014738045,-0.17184869163190364,0.9603254642751018,0.9722222222222222,6,4,2,0.3532218844798371,89.01191488891895,0.08901191488891896,scale_0.50,last_1y,0.5,0.2,0.18,60,20
2011-12-09,2026-09-02,3578,0.24240609143200964,0.24123983324098186,1.0198072478877436,-0.3591155283232482,0.8876567036646579,0.8943543879262158,32,13,10,0.19649406528890861,703.055765603715,0.7030557656037151,scale_0.25,full,0.25,0.2,0.18,60,20
2016-04-21,2026-09-02,2520,0.3543809965132674,0.23903457532332376,1.38788166717082,-0.1975583146023574,0.9684594100123634,0.975,22,9,7,0.22600406317931448,569.5302392118725,0.5695302392118726,scale_0.25,last_10y,0.25,0.2,0.18,60,20
2021-06-25,2026-09-02,1260,0.5080694955417042,0.2629287350130653,1.6925528806439036,-0.19755831460235684,0.958744766131663,0.9706349206349206,20,8,6,0.24883085889867904,313.5268822123356,0.3135268822123356,scale_0.25,last_5y,0.25,0.2,0.18,60,20
2023-07-24,2026-09-02,756,0.6449041644985471,0.2850641529405457,1.8868003066619474,-0.17184869163190375,0.9543690833212221,0.9642857142857143,10,6,4,0.2678861258619251,202.52191115161537,0.20252191115161539,scale_0.25,last_3y,0.25,0.2,0.18,60,20
2025-08-20,2026-09-02,252,0.352087058034636,0.3089789533829163,1.1309302651939863,-0.17184869163190364,0.9543710912976977,0.9722222222222222,6,4,2,0.35519415477957483,89.50892700445286,0.08950892700445287,scale_0.25,last_1y,0.25,0.2,0.18,60,20
2011-12-09,2026-09-02,3578,0.24474616367930824,0.24107426330676895,1.0281547323763793,-0.35815851611927196,0.8863100076829485,0.8943543879262158,32,13,10,0.19715670331006255,705.4266844434038,0.7054266844434038,scale_0.10,full,0.1,0.2,0.18,60,20
2016-04-21,2026-09-02,2520,0.35687558475510284,0.23890332503880432,1.3962254487652899,-0.19410420517686933,0.967146246775624,0.975,22,9,7,0.226593040547566,571.0144621798663,0.5710144621798664,scale_0.10,last_10y,0.1,0.2,0.18,60,20
2021-06-25,2026-09-02,1260,0.5128176962815507,0.2626922186666721,1.7058277854620016,-0.19410420517686866,0.9563562491239804,0.9706349206349206,20,8,6,0.2500102024888612,315.0128551359651,0.3150128551359651,scale_0.10,last_5y,0.1,0.2,0.18,60,20
2023-07-24,2026-09-02,756,0.6516890703116278,0.28480051530877454,1.9027665898373707,-0.17184869163190408,0.9523828769007274,0.9642857142857143,10,6,4,0.2690614828094349,203.4104810039328,0.2034104810039328,scale_0.10,last_3y,0.1,0.2,0.18,60,20
