candidate,overheat_enter,overheat_exit,overheat_derisk_scale,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,overheat_days_full,overheat_days_last_10y,overheat_days_last_1y,overheat_days_last_3y,overheat_days_last_5y,overheat_triggers_full,overheat_triggers_last_10y,overheat_triggers_last_1y,overheat_triggers_last_3y,overheat_triggers_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_off_full,max_dd_delta_vs_off_full,ann_return_delta_vs_off_last_10y,max_dd_delta_vs_off_last_10y,ann_return_delta_vs_off_last_5y,max_dd_delta_vs_off_last_5y,ann_return_delta_vs_off_last_3y,max_dd_delta_vs_off_last_3y,ann_return_delta_vs_off_last_1y,max_dd_delta_vs_off_last_1y,decision_hint,stability_label
overheat_off,off,off,0.0,0.230451641133244,0.3417000275453328,0.3335966024152617,0.6104951753386918,0.48396802131980965,0.2437163466437678,0.24090591081288817,0.3138489225670579,0.28875082988023765,0.26626305032071673,0.9722486786218217,1.3398950386378174,1.0743488348190053,1.7930810447278678,1.6141132068788802,-0.3646693805451101,-0.2148288617298001,-0.17184869163190508,-0.1718486916319042,-0.21482886172980065,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0,0,0,0,0,0,0,0,0,0,0.19312465064281722,0.22301587301587303,0.3492063492063492,0.2619047619047619,0.24285714285714285,0.691,0.562,0.08800000000000001,0.198,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overheat_enter_scan,pending_review
enter_0.050,0.05,0.030000000000000002,0.0,0.039301294998333125,0.09312304994703746,-0.01410537861394956,0.06313190675006197,0.037793632156067236,0.15684553394999426,0.13831908098479337,0.14511259632607476,0.13921498238845373,0.13660705897164116,0.3241198146470371,0.7127691513533754,-0.02524426903213858,0.5093004635949687,0.3398400494511259,-0.4740053915161504,-0.19238668031416095,-0.13120241377171626,-0.13708840858790516,-0.19238668031416106,0.45500279485746226,0.45674603174603173,0.3055555555555556,0.35185185185185186,0.36984126984126986,0.45500279485746226,0.45674603174603173,0.3055555555555556,0.35185185185185186,0.36984126984126986,1572,1306,168,463,757,217,188,37,73,106,0.1660145332588038,0.18055555555555555,0.20634920634920634,0.18783068783068782,0.1865079365079365,0.594,0.45500000000000007,0.052000000000000005,0.14200000000000002,0.23500000000000001,-0.1911503461349109,-0.10933601097104029,-0.24857697759829533,0.02244218141563914,-0.4461743891637424,0.022442181415639584,-0.5473632685886298,0.03476028304399903,-0.34770198102921124,0.04064627786018882,overheat_enter_scan,pending_review
enter_0.075,0.075,0.05499999999999999,0.0,0.0864974698555343,0.15993829655875214,0.05583315817005263,0.1896858130912431,0.16468395589125184,0.18366341398403488,0.17097876149577756,0.18254157449929384,0.1762243326017283,0.174834604391996,0.5434164822057438,0.9529758098286296,0.38903729304547435,1.0733483506454984,0.9589320015474122,-0.45805342996526843,-0.19238668031416106,-0.12598102608017203,-0.1338489974860403,-0.19238668031416062,0.6260480715483511,0.6718253968253968,0.49206349206349204,0.5119047619047619,0.5746031746031746,0.6260480715483511,0.6718253968253968,0.49206349206349204,0.5119047619047619,0.5746031746031746,960,764,121,342,499,156,131,33,62,84,0.18893236444941308,0.20912698412698413,0.24603174603174602,0.22486772486772486,0.22142857142857142,0.676,0.527,0.062,0.17,0.279,-0.1439541712777097,-0.09338404942015832,-0.18176173098658066,0.02244218141563903,-0.3192840654285578,0.022442181415640028,-0.4208093622474487,0.037999694145863905,-0.27776344424520905,0.04586766555173305,overheat_enter_scan,pending_review
enter_0.100,0.1,0.08,0.0,0.16078720008843117,0.2630830732121272,0.035492536153141296,0.33460644789939176,0.28470686293211944,0.2028385020479059,0.19291728613856193,0.2206919120121776,0.2061096493987993,0.20205530226385526,0.8364370668458888,1.3071340348110974,0.2687915774743077,1.5036931220504908,1.3407665029859182,-0.43110522962443676,-0.19238668031416128,-0.1363475271800535,-0.1363475271800536,-0.19238668031416128,0.7361654555617664,0.8007936507936508,0.626984126984127,0.7116402116402116,0.7396825396825397,0.7361654555617664,0.8007936507936508,0.626984126984127,0.7116402116402116,0.7396825396825397,566,439,87,191,291,115,97,26,47,64,0.19899385131358302,0.2257936507936508,0.2777777777777778,0.2566137566137566,0.24047619047619048,0.712,0.569,0.07,0.194,0.303,-0.06966444104481284,-0.06643584907932665,-0.07861695433320559,0.022442181415638807,-0.1992611583876902,0.022442181415639362,-0.27588872743930004,0.035501164451850586,-0.2981040662621204,0.035501164451851586,overheat_enter_scan,pending_review
enter_0.125,0.125,0.105,0.0,0.18892219664306986,0.28450149224125565,0.27287980873218287,0.452896454460598,0.3677994615474973,0.21958786594496654,0.21364966292643683,0.2632547855107963,0.23231778272955203,0.2236638405435855,0.8978955973578483,1.2788271915720488,1.0482043456452852,1.7244696527802095,1.5120300666768154,-0.40782909950793533,-0.1923866803141614,-0.16746164317509205,-0.16746164317509238,-0.19238668031416084,0.8113471212968139,0.8865079365079365,0.7341269841269841,0.8161375661375662,0.8341269841269842,0.8113471212968139,0.8865079365079365,0.7341269841269841,0.8161375661375662,0.8341269841269842,297,223,60,112,172,73,62,23,34,45,0.19927333705980996,0.22777777777777777,0.32936507936507936,0.27116402116402116,0.2492063492063492,0.7130000000000001,0.5740000000000001,0.08300000000000002,0.20500000000000002,0.314,-0.04152944449017415,-0.04315971896282522,-0.05719853530407715,0.022442181415638696,-0.11616855977231233,0.022442181415639806,-0.1575987208780938,0.004387048456811815,-0.06071679368307881,0.004387048456813036,overheat_enter_scan,pending_review
enter_0.150,0.15,0.13,0.0,0.1891582745524294,0.2779343070500382,0.29484765054699413,0.4409292147376733,0.3517454231509951,0.22581410494195933,0.22065861849698687,0.2780878226993106,0.24391021308368352,0.2327853649533273,0.8801852617528604,1.221870580582724,1.0682698475016599,1.6199397590279385,1.4109863064019939,-0.40521937198172897,-0.1923866803141614,-0.17184869163190397,-0.17184869163190408,-0.19238668031416084,0.8487982112912241,0.9265873015873016,0.8174603174603174,0.8796296296296297,0.8968253968253969,0.8487982112912241,0.9265873015873016,0.8174603174603174,0.8796296296296297,0.8968253968253969,163,122,39,64,93,44,37,14,22,28,0.19424259362772497,0.2222222222222222,0.32142857142857145,0.2619047619047619,0.24285714285714285,0.6950000000000001,0.56,0.081,0.198,0.306,-0.04129336658081462,-0.04054999143661886,-0.06376572049529461,0.022442181415638696,-0.13222259816881454,0.022442181415639806,-0.16956596060101847,1.1102230246251565e-16,-0.038748951868267545,1.1102230246251565e-15,overheat_enter_scan,pending_review
enter_0.175,0.175,0.155,0.0,0.20905595534531596,0.30702248220291906,0.23258936606055114,0.5125806108852515,0.39307235923748496,0.2320221452743185,0.2268898018077661,0.2988399648621079,0.2573714333303354,0.24165064798930605,0.9342892095413681,1.2937107545509845,0.8491401052528129,1.7370782343479285,1.4926345756116397,-0.366254224469845,-0.19238668031416117,-0.17184869163190453,-0.17184869163190375,-0.19238668031416084,0.873392956959195,0.9543650793650794,0.8968253968253969,0.9298941798941799,0.9357142857142857,0.873392956959195,0.9543650793650794,0.8968253968253969,0.9298941798941799,0.9357142857142857,75,52,19,26,44,21,16,6,10,13,0.1975964225824483,0.22698412698412698,0.3611111111111111,0.2724867724867725,0.2492063492063492,0.707,0.5720000000000001,0.091,0.20600000000000002,0.314,-0.021395685787928054,-0.0015848439247349022,-0.03467754534241374,0.022442181415638918,-0.09089566208232469,0.022442181415639806,-0.09791456445344027,4.440892098500626e-16,-0.10100723635471054,5.551115123125783e-16,overheat_enter_scan,pending_review
enter_0.180,0.18,0.16,0.0,0.23912852459090383,0.34898333107013757,0.29109817926935966,0.6267833439035175,0.47458919711953973,0.23932728141362825,0.2370599598153596,0.30077882484442336,0.28192806619483524,0.26014215306075394,1.015002266514266,1.3806078008901963,0.9999221563190555,1.865302695337456,1.6214701956431958,-0.36625422446984446,-0.19238668031416117,-0.17184869163190453,-0.17184869163190386,-0.19238668031416106,0.8767467859139184,0.957936507936508,0.9087301587301587,0.9365079365079365,0.9412698412698413,0.8767467859139184,0.957936507936508,0.9087301587301587,0.9365079365079365,0.9412698412698413,63,43,16,21,37,20,15,7,10,12,0.19927333705980996,0.22936507936507936,0.36904761904761907,0.2751322751322751,0.2523809523809524,0.713,0.5780000000000001,0.093,0.20800000000000002,0.318,0.008676883457659823,-0.001584843924734347,0.007283303524804774,0.022442181415638918,-0.00937882420026992,0.022442181415639584,0.016288168564825733,3.3306690738754696e-16,-0.04249842314590202,5.551115123125783e-16,overheat_enter_scan,pending_review
enter_0.185,0.185,0.165,0.0,0.2333779387338244,0.33898492911079403,0.22935982745194994,0.6004285864548198,0.46483727758523097,0.23981176640495627,0.23763556238239822,0.30293386900768837,0.2827507745672752,0.26072914815209036,0.9940228761029914,1.346497888235904,0.8330438044869046,1.8028188950339004,1.5929178765772596,-0.36625422446984557,-0.19238668031416073,-0.17184869163190453,-0.17184869163190386,-0.19238668031416095,0.8795416433761878,0.9607142857142857,0.9206349206349206,0.9404761904761905,0.9444444444444444,0.8795416433761878,0.9607142857142857,0.9206349206349206,0.9404761904761905,0.9444444444444444,53,36,13,18,33,14,9,4,7,8,0.1970374510899944,0.2261904761904762,0.3531746031746032,0.2698412698412698,0.2492063492063492,0.705,0.5700000000000001,0.089,0.20400000000000001,0.314,0.0029262976005803853,-0.0015848439247354573,-0.002715098434538765,0.022442181415639362,-0.01913074373457868,0.022442181415639695,-0.010066588883872019,3.3306690738754696e-16,-0.10423677496331174,5.551115123125783e-16,overheat_enter_scan,pending_review
enter_0.190,0.19,0.17,0.0,0.24358981851606876,0.3521050158117536,0.30399562406530256,0.6339904761370769,0.49368442834793114,0.24040081399108584,0.23819220514355727,0.3060088318010337,0.28383156129623804,0.26171295679485607,1.0264979498722417,1.3848855340175572,1.0204851738683232,1.8702784673820372,1.6625330246071564,-0.3575489253554216,-0.19238668031416095,-0.17184869163190353,-0.1718486916319042,-0.19238668031416128,0.8831749580771381,0.9646825396825397,0.9444444444444444,0.9497354497354498,0.9523809523809523,0.8831749580771381,0.9646825396825397,0.9444444444444444,0.9497354497354498,0.9523809523809523,40,26,7,11,23,15,9,4,6,8,0.19815539407490218,0.22698412698412698,0.35714285714285715,0.2698412698412698,0.2507936507936508,0.709,0.5720000000000001,0.09,0.20400000000000001,0.316,0.013138177382824745,0.007120455189688513,0.010404988266420778,0.02244218141563914,0.009716407028121488,0.022442181415639362,0.023495300798385133,0.0,-0.029600978349959117,1.5543122344752192e-15,overheat_enter_scan,pending_review
