start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,overheat_days,overheat_triggers,overheat_recoveries,avg_turnover,turnover_total,cost_total,candidate,segment,overheat_enter,overheat_exit,overheat_derisk_scale,episodes,positive_episodes,negative_episodes,event_alpha_sum,top3_alpha_share
2011-12-09,2026-09-02,3578,0.230451641133244,0.2437163466437678,0.9722486786218217,-0.3646693805451101,0.8943543879262158,0.8943543879262158,0,0,0,0.19312465064281722,691.0,0.691,overheat_off,full,off,off,0.0,0,0,0,0.0,0.0
2016-04-21,2026-09-02,2520,0.3417000275453328,0.24090591081288817,1.3398950386378174,-0.2148288617298001,0.975,0.975,0,0,0,0.22301587301587303,562.0,0.562,overheat_off,last_10y,off,off,0.0,0,0,0,0.0,0.0
2021-06-25,2026-09-02,1260,0.48396802131980965,0.26626305032071673,1.6141132068788802,-0.21482886172980065,0.9706349206349206,0.9706349206349206,0,0,0,0.24285714285714285,306.0,0.306,overheat_off,last_5y,off,off,0.0,0,0,0,0.0,0.0
2023-07-24,2026-09-02,756,0.6104951753386918,0.28875082988023765,1.7930810447278678,-0.1718486916319042,0.9642857142857143,0.9642857142857143,0,0,0,0.2619047619047619,198.0,0.198,overheat_off,last_3y,off,off,0.0,0,0,0,0.0,0.0
2025-08-20,2026-09-02,252,0.3335966024152617,0.3138489225670579,1.0743488348190053,-0.17184869163190508,0.9722222222222222,0.9722222222222222,0,0,0,0.3492063492063492,88.0,0.08800000000000001,overheat_off,last_1y,off,off,0.0,0,0,0,0.0,0.0
2011-12-09,2026-09-02,3578,0.039301294998333125,0.15684553394999426,0.3241198146470371,-0.4740053915161504,0.45500279485746226,0.45500279485746226,1572,217,75,0.1660145332588038,594.0,0.594,enter_0.050,full,0.05,0.030000000000000002,0.0,113,55,58,-2.064133601885247,-0.14307186376080694
2016-04-21,2026-09-02,2520,0.09312304994703746,0.13831908098479337,0.7127691513533754,-0.19238668031416095,0.45674603174603173,0.45674603174603173,1306,188,56,0.18055555555555555,455.0,0.45500000000000007,enter_0.050,last_10y,0.05,0.030000000000000002,0.0,113,55,58,-2.064133601885247,-0.14307186376080694
2021-06-25,2026-09-02,1260,0.037793632156067236,0.13660705897164116,0.3398400494511259,-0.19238668031416106,0.36984126984126986,0.36984126984126986,757,106,30,0.1865079365079365,235.0,0.23500000000000001,enter_0.050,last_5y,0.05,0.030000000000000002,0.0,113,55,58,-2.064133601885247,-0.14307186376080694
2023-07-24,2026-09-02,756,0.06313190675006197,0.13921498238845373,0.5093004635949687,-0.13708840858790516,0.35185185185185186,0.35185185185185186,463,73,22,0.18783068783068782,142.0,0.14200000000000002,enter_0.050,last_3y,0.05,0.030000000000000002,0.0,113,55,58,-2.064133601885247,-0.14307186376080694
2025-08-20,2026-09-02,252,-0.01410537861394956,0.14511259632607476,-0.02524426903213858,-0.13120241377171626,0.3055555555555556,0.3055555555555556,168,37,11,0.20634920634920634,52.0,0.052000000000000005,enter_0.050,last_1y,0.05,0.030000000000000002,0.0,113,55,58,-2.064133601885247,-0.14307186376080694
