candidate,overheat_enter,overheat_exit,episodes,positive_episodes,negative_episodes,event_alpha_sum,top3_alpha_share
overheat_off,off,off,0,0,0,0.0,0.0
enter_0.050,0.05,0.030000000000000002,113,55,58,-2.064133601885247,-0.14307186376080694
enter_0.075,0.075,0.05499999999999999,105,51,54,-1.5657818899755542,-0.1488137106220402
enter_0.100,0.1,0.08,83,45,38,-0.6823999621894621,-0.3366036360196545
enter_0.125,0.125,0.105,56,28,28,-0.42573418021456716,-0.4058815482332286
enter_0.150,0.15,0.13,38,18,20,-0.44430670731033367,-0.32519258869718154
enter_0.175,0.175,0.155,19,8,11,-0.21997585428159577,-0.6732708044222728
enter_0.180,0.18,0.16,19,12,7,0.1098526228004944,1.2496234276111584
enter_0.185,0.185,0.165,14,8,6,0.04320862406435293,3.177014172716524
enter_0.190,0.19,0.17,14,8,6,0.1569451020073096,0.8746651490253965
enter_0.195,0.195,0.17500000000000002,14,9,5,0.19062611597212942,0.7201238420873023
enter_0.200,0.2,0.18000000000000002,13,9,4,0.18702570542896194,0.6827635739490615
enter_0.205,0.205,0.185,11,8,3,0.1488981339617554,0.8575952945912728
enter_0.210,0.21,0.19,10,8,2,0.17755203917009482,0.7191938749669402
enter_0.215,0.215,0.195,7,6,1,0.16695931399490316,0.7081756543215562
enter_0.220,0.22,0.2,6,5,1,0.1552462333497418,0.7616063777022732
enter_0.225,0.225,0.20500000000000002,4,4,0,0.1753360921592683,0.904664715902542
enter_0.230,0.23,0.21000000000000002,4,4,0,0.1753360921592683,0.904664715902542
enter_0.235,0.235,0.215,3,3,0,0.06619738894812183,1.0
enter_0.240,0.24,0.22,3,3,0,0.06619738894812183,1.0
enter_0.250,0.25,0.23,2,2,0,0.04948167278957989,1.0
enter_0.275,0.275,0.255,1,1,0,0.024608544143356878,1.0
enter_0.300,0.3,0.27999999999999997,0,0,0,0.0,0.0
enter_0.350,0.35,0.32999999999999996,0,0,0,0.0,0.0
enter_0.400,0.4,0.38,0,0,0,0.0,0.0
enter_0.450,0.45,0.43,0,0,0,0.0,0.0
enter_0.500,0.5,0.48,0,0,0,0.0,0.0
