start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,score_min,lookback,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,0.2304516411332378,0.24371634664376826,0.9722486786218211,-0.3646693805451159,0.8943543879262158,0.8943543879262158,378,384,0.19312465064281722,691.0,0.691,score_min_0,full,0,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.34170002754532525,0.24090591081288873,1.3398950386378166,-0.21482886172980187,0.975,0.975,63,293,0.22301587301587303,562.0,0.562,score_min_0,last_10y,0,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4839680213198021,0.26626305032071723,1.6141132068788797,-0.21482886172980253,0.9706349206349206,0.9706349206349206,37,158,0.24285714285714285,306.0,0.306,score_min_0,last_5y,0,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6104951753386827,0.28875082988023815,1.7930810447278684,-0.17184869163190497,0.9642857142857143,0.9642857142857143,27,102,0.2619047619047619,198.0,0.198,score_min_0,last_3y,0,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3335966024152561,0.3138489225670585,1.0743488348190062,-0.17184869163190508,0.9722222222222222,0.9722222222222222,7,45,0.3492063492063492,88.0,0.08800000000000001,score_min_0,last_1y,0,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2323461758855252,0.23797505627216284,0.9963662914035262,-0.3408653103093181,0.8261598658468418,0.8261598658468418,622,396,0.1864169927333706,667.0,0.667,score_min_0p2,full,0.2,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.32658136778218516,0.2368968924620449,1.310630982459957,-0.22075513937794278,0.9257936507936508,0.9257936507936508,187,307,0.21825396825396826,550.0,0.55,score_min_0p2,last_10y,0.2,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.46913717054450577,0.2646119910600641,1.584503419605773,-0.22075513937794278,0.9396825396825397,0.9396825396825397,76,164,0.24126984126984127,304.0,0.304,score_min_0p2,last_5y,0.2,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5945378916678266,0.28773325410012174,1.763720808704638,-0.1718486916319043,0.9417989417989417,0.9417989417989417,44,104,0.2619047619047619,198.0,0.198,score_min_0p2,last_3y,0.2,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.29862236507245665,0.31265562678657577,0.9921540535471701,-0.17184869163190508,0.9444444444444444,0.9444444444444444,14,47,0.3492063492063492,88.0,0.08800000000000001,score_min_0p2,last_1y,0.2,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.246648741663557,0.23558515964153517,1.0530775174246514,-0.33514781681297745,0.7847959754052544,0.7847959754052544,770,405,0.1825041922861934,653.0,0.653,score_min_0p3,full,0.3,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3318888235618438,0.23470695101341774,1.337671457368923,-0.22782565069233407,0.8861111111111111,0.8861111111111111,287,319,0.21666666666666667,546.0,0.546,score_min_0p3,last_10y,0.3,25,off,1.0,1.0,off,off
