candidate,baseline_candidate,line_role,line_order,lookback,r2_threshold,r2_label,r2_execution_threshold,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,ann_return_full,max_dd_full,trades_full,cost_total_full,turnover_total_full,avg_exposure_effective_full,avg_final_exposure_full,avg_decay_multiplier_effective_full,avg_decay_multiplier_next_full,decay_day_ratio_full,trigger_count_full,recovery_count_full,reason_full,ann_return_last_10y,max_dd_last_10y,trades_last_10y,cost_total_last_10y,turnover_total_last_10y,avg_exposure_effective_last_10y,avg_final_exposure_last_10y,avg_decay_multiplier_effective_last_10y,avg_decay_multiplier_next_last_10y,decay_day_ratio_last_10y,trigger_count_last_10y,recovery_count_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,trades_last_5y,cost_total_last_5y,turnover_total_last_5y,avg_exposure_effective_last_5y,avg_final_exposure_last_5y,avg_decay_multiplier_effective_last_5y,avg_decay_multiplier_next_last_5y,decay_day_ratio_last_5y,trigger_count_last_5y,recovery_count_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,trades_last_3y,cost_total_last_3y,turnover_total_last_3y,avg_exposure_effective_last_3y,avg_final_exposure_last_3y,avg_decay_multiplier_effective_last_3y,avg_decay_multiplier_next_last_3y,decay_day_ratio_last_3y,trigger_count_last_3y,recovery_count_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,trades_last_1y,cost_total_last_1y,turnover_total_last_1y,avg_exposure_effective_last_1y,avg_final_exposure_last_1y,avg_decay_multiplier_effective_last_1y,avg_decay_multiplier_next_last_1y,decay_day_ratio_last_1y,trigger_count_last_1y,recovery_count_last_1y,reason_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,material_decay,layer6_pass,pass_reason,selection_role
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,0.10629935262027268,-0.2947914517986966,412.0,0.366,366.0,0.780530427631579,0.7809416118421053,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.0548646186898778,-0.26219326538303145,230.0,0.20375,203.75,0.7950396825396825,0.7956349206349206,1.0,1.0,0.0,0.0,0.0,,0.05722929851938541,-0.2621932653830312,143.0,0.12625,126.25,0.8075396825396826,0.808531746031746,1.0,1.0,0.0,0.0,0.0,,-0.11112585803929553,-0.21356712846819914,49.0,0.043500000000000004,43.5,0.8184523809523809,0.8184523809523809,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,baseline/no momentum decay,baseline_no_momentum_decay_pass
lb_28_r2_none_buf_1p15_entry_0p75_decay_off,lb_28_r2_none_buf_1p15_entry_0p75_decay_off,return_watch_line_r2_removed,1,28,,none,0.0,1.15,1p15,0.75,0p75,False,,,,1.0,decay_off,0.11266626974041416,-0.3036541487282717,412.0,0.388,388.0,0.8662623355263158,0.8666735197368421,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04629234551394523,-0.30110683344389544,230.0,0.21725,217.25,0.883531746031746,0.8837301587301587,1.0,1.0,0.0,0.0,0.0,,0.020448611405745387,-0.30110683344389666,143.0,0.13275,132.75,0.8908730158730159,0.8912037037037037,1.0,1.0,0.0,0.0,0.0,,-0.18180752728149085,-0.2691984103971914,49.0,0.0465,46.5,0.9077380952380952,0.9077380952380952,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,baseline/no momentum decay,baseline_no_momentum_decay_pass
