candidate,line_role,line_order,lookback,r2_threshold,r2_label,r2_execution_threshold,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,avg_exposure_effective,avg_final_exposure,avg_decay_multiplier_effective,avg_decay_multiplier_next,decay_day_ratio,trigger_count,recovery_count,reason
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,full,Full,2016-12-30,2007-01-04,2432.0,0.10629935262027268,0.20487046409288956,-0.2947914517986966,0.5957192036974684,220.0,412.0,0.366,366.0,0.9095394736842105,0.7809416118421053,0.780530427631579,0.7809416118421053,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.0548646186898778,0.19594722269539538,-0.26219326538303145,0.37086762481179447,91.0,230.0,0.20375,203.75,0.9277777777777778,0.7956349206349206,0.7950396825396825,0.7956349206349206,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.05722929851938541,0.19387577859898467,-0.2621932653830312,0.3844310388918055,51.0,143.0,0.12625,126.25,0.9325396825396826,0.808531746031746,0.8075396825396826,0.808531746031746,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.11112585803929553,0.1887074263234505,-0.21356712846819914,-0.5286338252385029,12.0,49.0,0.043500000000000004,43.5,0.9523809523809523,0.8184523809523809,0.8184523809523809,0.8184523809523809,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p00,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.029262108900222072,0.17184658579700757,-0.32242312889779223,0.2538981574987003,672.0,678.0,0.3766839280892676,376.6839280892676,0.7236842105263158,0.7809416118421053,0.594983552631579,0.5953947368421053,0.8141447368421053,0.8141447368421053,0.18585526315789475,88.0,7.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p00,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p00,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,-0.0015186876819613948,0.16671187287583472,-0.2871073353813317,0.07438644792226819,306.0,371.0,0.2091170720327517,209.1170720327517,0.7571428571428571,0.7956349206349206,0.6244047619047619,0.625,0.8293650793650794,0.8293650793650794,0.17063492063492064,50.0,4.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p00,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.013776452990234667,0.17356306927943618,-0.28710733538133193,0.1658778233242596,172.0,214.0,0.12544634421532497,125.44634421532496,0.7724867724867724,0.808531746031746,0.6474867724867724,0.6484788359788359,0.83994708994709,0.83994708994709,0.16005291005291006,28.0,1.0,
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p00,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.06934905962437943,0.17669807324927597,-0.16570283943945396,-0.3174834269659102,29.0,74.0,0.04205950153622621,42.05950153622621,0.8849206349206349,0.8184523809523809,0.7509920634920635,0.7509920634920635,0.9325396825396826,0.9325396825396826,0.06746031746031746,9.0,0.0,
