candidate,candidate_type,line_role,lookback,r2_threshold,switch_buffer,entry_fraction,decay_label,notes,ann_return_full,max_dd_full,reason_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,target_vol,target_vol_label
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,line_baseline_no_momentum_decay,main_line_r2_removed,28,,1.15,0.25,decay_off,Same carried line before momentum-decay layer,0.10629935262027268,-0.2947914517986966,,,,insufficient rows: 2432 < 2520 trading days,0.0548646186898778,-0.26219326538303145,,0.05722929851938541,-0.2621932653830312,,-0.11112585803929553,-0.21356712846819914,,,
lb_28_r2_none_buf_1p15_entry_0p75_decay_off,line_baseline_no_momentum_decay,return_watch_line_r2_removed,28,,1.15,0.75,decay_off,Same carried line before momentum-decay layer,0.11266626974041416,-0.3036541487282717,,,,insufficient rows: 2432 < 2520 trading days,0.04629234551394523,-0.30110683344389544,,0.020448611405745387,-0.30110683344389666,,-0.18180752728149085,-0.2691984103971914,,,
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,baseline_no_momentum_decay_pass,main_line_r2_removed,28,,1.15,0.25,decay_off,Line-level selected momentum-decay result,0.10629935262027268,-0.2947914517986966,,,,insufficient rows: 2432 < 2520 trading days,0.0548646186898778,-0.26219326538303145,,0.05722929851938541,-0.2621932653830312,,-0.11112585803929553,-0.21356712846819914,,,
lb_28_r2_none_buf_1p15_entry_0p75_decay_off,baseline_no_momentum_decay_pass,return_watch_line_r2_removed,28,,1.15,0.75,decay_off,Line-level selected momentum-decay result,0.11266626974041416,-0.3036541487282717,,,,insufficient rows: 2432 < 2520 trading days,0.04629234551394523,-0.30110683344389544,,0.020448611405745387,-0.30110683344389666,,-0.18180752728149085,-0.2691984103971914,,,
orig_full_v1_1_reference,original_full_v1_1_reference,,25,0.2,1.05,0.5,,"Full official V1.1 chain on this proxy panel; includes original lookback 25, R2 0.20, switch buffer 1.05, staged entry 0.50, target-vol 25%, and later overlays.",0.11842133442445535,-0.36963805130667093,,,,insufficient rows: 2432 < 2520 trading days,0.12611010221054686,-0.3696380513066705,,0.03412602749361948,-0.36963805130667104,,-0.2697518648064453,-0.36963805130667093,,0.25,tv25
