window,status,start,end,rows,total_return,annual_return,max_drawdown,volatility,sharpe,trade_count,avg_exposure,zero_exposure_days,cash_days,overheat_days
full_sample,ok,2007-01-04,2026-07-01,4735,18.99794960653584,0.17284157748082252,-0.2519635105900494,0.1739710850177081,1.0039083357084506,659,0.7189230544553261,615,506,108
10Y,ok,2016-07-01,2026-07-01,2427,3.8600891961938872,0.17840769563927839,-0.2200523880636297,0.16656770094525572,1.069310805885015,332,0.7173579481611072,258,210,48
5Y,ok,2021-07-01,2026-07-01,1211,1.2572450785718114,0.18461458014971566,-0.22005238806363103,0.17302774791248265,1.0660183605146178,172,0.7347242933870431,141,113,28
3Y,ok,2023-07-03,2026-07-01,726,1.1382704369687384,0.3018687262992994,-0.16734713310332494,0.1807228791055816,1.5507837226699794,108,0.7981921223894503,65,37,28
1Y,ok,2025-07-01,2026-07-01,243,0.5009552476485652,0.5237014547841072,-0.1335271667877872,0.19824312325093618,2.2253717993796394,52,0.717545192162881,32,8,24
from_2017_eval_start,ok,2017-01-03,2026-07-01,2303,4.37795657779158,0.2021148579922427,-0.22005238806363192,0.16932521623154514,1.1723497895208648,314,0.7171497579169629,245,197,48
