horizon_years,start_date,end_date,elapsed_days,total_return,annual_return,start_nav,end_nav
1,2007-01-04,2008-01-04,365,0.15269732228711885,0.15280952206229692,1.0001173037138344,1.1528325379639501
1,2007-01-05,2008-01-07,367,0.14768812880187876,0.14693452412637353,1.0002346211878301,1.1479574007539168
1,2007-01-08,2008-01-08,365,0.17476343878425538,0.17489304551282658,1.0003519524236013,1.1751768996236938
1,2007-01-09,2008-01-09,365,0.17151250396799078,0.17163952820743877,1.0004692974227622,1.1720622917668366
1,2007-01-10,2008-01-10,365,0.19438300050161605,0.19452832299598288,1.0005866561869272,1.195083692678421
1,2007-01-11,2008-01-11,365,0.1987086603528021,0.198857477661311,1.0007040287177111,1.1995525856738596
1,2007-01-12,2008-01-14,367,0.21155772541883855,0.21044955128163445,1.0008214150167287,1.2125529171281313
1,2007-01-15,2008-01-15,365,0.19044512944342395,0.1905872797653383,1.0009388150855951,1.1915627372895188
1,2007-01-16,2008-01-16,365,0.1728547097694415,0.17298279948655826,1.0010562289259257,1.1740935128398082
1,2007-01-17,2008-01-17,365,0.17001195701309602,0.17013779132759788,1.0011736565393359,1.1713851491975455
1,2007-01-18,2008-01-18,365,0.18231729984446754,0.18245293101912718,1.0012910979274412,1.1838437872598746
1,2007-01-19,2008-01-21,367,0.18217862590123346,0.1812355840724431,1.0014085530918575,1.1838437872598746
1,2007-01-22,2008-01-22,365,0.19218101140237964,0.19232455897424616,1.0015260220342008,1.1940003058945354
1,2007-01-23,2008-01-23,365,0.1882556516534475,0.18839604209080396,1.0016435047560872,1.1902085554683874
1,2007-01-24,2008-01-24,365,0.2177212143514351,0.2178855187590838,1.0017610012591331,1.219865622943181
1,2007-01-25,2008-01-25,365,0.22055206379707815,0.22071869161836033,1.0018785115449553,1.22284488494014
1,2007-01-26,2008-01-28,367,0.24000568413163026,0.23873439135526509,1.0019960356151705,1.242480779640171
1,2007-01-29,2008-01-29,365,0.2317521866508936,0.23192805097818048,1.0021135734713955,1.2343555853959323
1,2007-01-30,2008-01-30,365,0.24390347000803447,0.24408943418087103,1.0022311251152476,1.2466787742809131
1,2007-01-31,2008-01-31,365,0.23484083261521316,0.23501925639151122,1.002348690548344,1.2377410916074858
1,2007-02-01,2008-02-01,365,0.20700310407511036,0.2071586525794804,1.0024662697723026,1.2099798993457662
1,2007-02-02,2008-02-04,367,0.2034847536624076,0.2024222956984132,1.0025838627887407,1.2065943931342127
1,2007-02-05,2008-02-05,365,0.1841657548615141,0.18430286528455242,1.0027014695992762,1.1873647426487763
1,2007-02-06,2008-02-13,372,0.20779385547872353,0.20366336652623418,1.0028190902055274,1.2111987353069997
1,2007-02-07,2008-02-13,371,0.20765219339141838,0.20412586662829701,1.0029367246091125,1.2111987353069997
1,2007-02-08,2008-02-13,370,0.2075105479196533,0.2045910458873108,1.00305437281165,1.2111987353069997
1,2007-02-09,2008-02-13,369,0.20736891906147892,0.20505892761550704,1.0031720348147588,1.2111987353069997
1,2007-02-12,2008-02-13,366,0.2075291891122253,0.20706265761516351,1.0030388881924024,1.2111987353069997
1,2007-02-13,2008-02-13,365,0.2066421308519597,0.20679738560031646,1.0037762683222595,1.2111987353069997
1,2007-02-14,2008-02-14,365,0.20774342793910194,0.20789957914233326,1.0058883438751827,1.2148550365557993
1,2007-02-15,2008-02-15,365,0.19991682252144272,0.20006661784917745,1.0061293525051227,1.2072715357035033
1,2007-02-16,2008-02-18,367,0.20093771725087572,0.19988962961479784,1.005274060729083,1.2072715357035033
1,2007-02-26,2008-02-26,365,0.23011111461532963,0.23028562120464446,1.0316329320684947,1.2690231359406567
1,2007-02-27,2008-02-27,365,0.29532287898079534,0.29555247311855615,0.9908827514907483,1.2835130983934082
1,2007-02-28,2008-02-28,365,0.2907450268445928,0.290970679045639,1.0070919577641286,1.2998989360592337
1,2007-03-01,2008-03-03,368,0.3206647183747495,0.3179226256962333,0.9970936974355827,1.3168264671170016
1,2007-03-02,2008-03-03,367,0.36440358828347064,0.36238355407973444,0.9651297302535499,1.3168264671170016
1,2007-03-05,2008-03-05,366,0.3881335183932253,0.38720093765654084,0.9533136884660942,1.3233266845028624
1,2007-03-06,2008-03-06,366,0.34473328096013134,0.3439173314755939,0.9717952371392472,1.3068053976596887
1,2007-03-07,2008-03-07,366,0.33723337160072253,0.3364372893857295,0.9730935119594809,1.3012531178803646
1,2007-03-08,2008-03-10,368,0.3340153528433798,0.3311454826751663,0.973207659442342,1.2982739592008556
1,2007-03-09,2008-03-10,367,0.33385888624229243,0.3320278753112147,0.9733218203151267,1.2982739592008556
1,2007-03-12,2008-03-12,366,0.3495616214887982,0.34873283646042474,0.9734359945794058,1.3137118592601438
1,2007-03-13,2008-03-13,366,0.36790347131843615,0.36702560603781675,0.97355018223675,1.3317226737843466
1,2007-03-14,2008-03-14,366,0.3728891424133902,0.37199784900182364,0.9736643832887306,1.3367332601717279
1,2007-03-15,2008-03-17,368,0.37912517519276445,0.3758163058086337,0.9737785977369187,1.3429625792028925
1,2007-03-16,2008-03-17,367,0.37896341766263086,0.37685213625653224,0.9738928255828857,1.3429625792028925
1,2007-03-19,2008-03-19,366,0.29357378093039244,0.29289163047864153,0.9740070668282033,1.2599500040898803
1,2007-03-20,2008-03-20,366,0.24990950990846894,0.24933829055619094,0.9741213214744432,1.2175635035155115
1,2007-03-21,2008-03-21,366,0.248513145169861,0.24794542246876472,0.9742355895231775,1.216345940011996
1,2007-03-22,2008-03-24,368,0.248513145169861,0.24644405411811654,0.9743498709759782,1.2164886219080668
1,2007-03-23,2008-03-24,367,0.24867887683809808,0.24735723378387853,0.9742205497929592,1.2164886219080668
1,2007-03-26,2008-03-26,366,0.24540161082458778,0.24484166826110076,0.975299804108439,1.2146399470735547
1,2007-03-27,2008-03-27,366,0.22076880911196506,0.22026989474309988,0.9729435498280772,1.1877391386567897
1,2007-03-28,2008-03-28,366,0.2277414581519721,0.22722537113748809,0.9625482600200396,1.181760404298647
1,2007-03-29,2008-03-31,368,0.23281794207100504,0.23089122135187923,0.9636540748951744,1.188010033480607
1,2007-03-30,2008-03-31,367,0.2339513367696866,0.23271502082146278,0.9627689505087392,1.188010033480607
1,2007-04-02,2008-04-02,366,0.28213958006341544,0.28148677408794276,0.9640967355230435,1.2361065836240248
1,2007-04-03,2008-04-03,366,0.2683732937734977,0.2677555405920766,0.9767032613427449,1.2388243326286146
1,2007-04-04,2008-04-07,369,0.26793487864872545,0.26487967904181664,0.9806842539540215,1.2434437705299082
1,2007-04-05,2008-04-07,368,0.26167449902041096,0.2594848950162818,0.9855503709517331,1.2434437705299082
1,2007-04-06,2008-04-07,367,0.26167449902041096,0.26027687885502515,0.9855503709517331,1.2434437705299082
1,2007-04-09,2008-04-09,366,0.24257962233025232,0.24202672217853616,0.9818886615913317,1.2200748422905139
1,2007-04-10,2008-04-10,366,0.2572044461564813,0.2566149077186153,0.9842995411809141,1.2374657595224299
1,2007-04-11,2008-04-11,366,0.22359454907242826,0.22308868509142576,0.9833541679671264,1.2032267997322288
1,2007-04-12,2008-04-14,368,0.2197054084464085,0.21789649705028524,0.9820347616769127,1.1977931100997103
1,2007-04-13,2008-04-14,367,0.20442315915363185,0.2033554002789153,0.9944952494449039,1.1977931100997103
1,2007-04-16,2008-04-16,366,0.2295205951455086,0.2290001133884667,1.0027046027642197,1.2328459599458041
1,2007-04-17,2008-04-17,366,0.2340269766073766,0.23349533986550597,0.996840810919716,1.2301284520581026
1,2007-04-18,2008-04-18,366,0.26620460056814554,0.26559234172223145,1.0024113516586048,1.2692578651318587
1,2007-04-19,2008-04-21,368,0.29120093840994543,0.28873729077038424,0.9899508638906138,1.2782254844352967
1,2007-04-20,2008-04-21,367,0.26921108687009365,0.2677691139570535,1.0071023627657025,1.2782254844352967
1,2007-04-23,2008-04-23,366,0.2722322194329363,0.271604671016517,1.0006522923950227,1.2730620868343754
1,2007-04-24,2008-04-24,366,0.29368249028212556,0.2930000598468874,0.9928828157341292,1.284475113617257
1,2007-04-25,2008-04-25,366,0.2889681435494449,0.2882978378515295,0.9939842300347064,1.2812140077052598
1,2007-04-26,2008-04-28,368,0.28964433707910686,0.28719526254631345,0.9953594331355963,1.2836596563015916
1,2007-04-27,2008-04-28,367,0.28939189258130016,0.2878301147199773,0.9955543102816997,1.2836596563015916
