horizon_years,valid_start_count,valid_start_min,valid_start_max,worst_start_date,worst_end_date,worst_elapsed_days,worst_total_return,worst_annual_return,best_start_date,best_end_date,best_annual_return,median_annual_return,p05_annual_return,p25_annual_return
1,4493,2007-01-04,2025-07-01,2015-06-12,2016-06-13,367,-0.20861709713512744,-0.2077336769114253,2024-10-09,2025-10-09,0.7033488443436966,0.19739734090964478,-0.08863809114800751,0.03554916320709389
3,4009,2007-01-04,2023-06-30,2015-04-30,2018-05-02,1098,-0.17629969704119974,-0.06247985175768511,2009-03-13,2012-03-13,0.32365843711934317,0.16068139292523775,0.003856114571275926,0.09094941406579116
5,3525,2007-01-04,2021-07-01,2013-11-29,2018-11-29,1826,0.21158881450277578,0.03913825547720262,2010-05-04,2015-05-04,0.27453599403280693,0.15721163955210882,0.07225781784333396,0.11070917310961592
