window,start,end,rows,original_ann,original_mdd,selected_ann,selected_mdd,ann_delta_pp,mdd_improvement_pp
Full,2011-12-09,2026-09-02,3578,0.3512708218588707,-0.30220731286232516,0.30028206143548664,-0.22006724591954274,-5.098876042338407,8.214006694278241
10Y,2016-04-21,2026-09-02,2520,0.402131728351925,-0.20857139626967502,0.33972005546018047,-0.1741502646232026,-6.241167289174454,3.4421131646472425
5Y,2021-06-25,2026-09-02,1260,0.701176974218829,-0.17353518771849474,0.5298015409997416,-0.1707205051303593,-17.137543321908733,0.2814682588135442
3Y,2023-07-24,2026-09-02,756,0.8171861996964251,-0.1633573653168362,0.6750469713351757,-0.15044599600423436,-14.213922836124947,1.291136931260184
1Y,2025-08-20,2026-09-02,252,0.6262953112829093,-0.12849066475983661,0.5985510840115826,-0.1377428361092673,-2.774422727132664,-0.9252171349430682
