check,field,max_abs_diff
original_runner_vs_poe,return,0.0
original_runner_vs_poe,nav,0.0
original_runner_vs_poe,turnover,0.0
original_runner_vs_poe,cost,0.0
original_runner_vs_poe,exposure_effective,0.0
original_runner_vs_poe,overheat_scale_effective,0.0
original_runner_vs_poe,position,0.0
selected_vs_accepted,return,9.974659986866641e-17
selected_vs_accepted,nav,7.105427357601002e-15
selected_vs_accepted,turnover,0.0
selected_vs_accepted,cost,0.0
selected_vs_accepted,fraction_before,0.0
selected_vs_accepted,position,0.0
selected_runner_vs_poe,return,0.0
selected_runner_vs_poe,nav,0.0
selected_runner_vs_poe,turnover,0.0
selected_runner_vs_poe,cost,0.0
selected_runner_vs_poe,fraction_before,0.0
selected_runner_vs_poe,position,0.0
