result_status,result_note,version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,candidate,invested_day_ratio,over_1x_day_ratio,max_exposure
formal,FORMAL: qfq/front-adjusted ETF closes with the configured adjusted-source fallbacks.,1.1,v1_1_staged_50_plus_ma60_overheat,Full,2011-12-09,2026-09-02,3578,70.83474254015022,0.3512708218588707,-0.30220731286232516,1.3621854909761193,0.24260696386961475,741,613,613,329,277,32,13,10,849,0.7548031533719208,754.8031533719209,1.2724442744857298,0.8830656821830545,1.5000000000000002,original_v11,0.7836780324203466,0.509782001117943,1.5000000000000002
formal,FORMAL: qfq/front-adjusted ETF closes with the configured adjusted-source fallbacks.,1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-04-21,2026-09-02,2520,28.368933046234325,0.402131728351925,-0.20857139626967502,1.4880407759788916,0.24779551769343866,225,506,506,271,225,22,9,7,669,0.6111827205110515,611.1827205110515,1.2736953475627857,1.0169028903169077,1.5000000000000002,original_v11,0.901984126984127,0.594047619047619,1.5000000000000002
formal,FORMAL: qfq/front-adjusted ETF closes with the configured adjusted-source fallbacks.,1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-06-25,2026-09-02,1260,13.247789137233164,0.701176974218829,-0.17353518771849474,2.1907955871410176,0.25768622373734096,95,265,265,152,121,20,8,6,334,0.32707457253843253,327.0745725384325,1.2042774970265182,0.9662215709095898,1.5,original_v11,0.9087301587301587,0.5587301587301587,1.5
formal,FORMAL: qfq/front-adjusted ETF closes with the configured adjusted-source fallbacks.,1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-07-24,2026-09-02,756,5.000649910743061,0.8171861996964251,-0.1633573653168362,2.42598161857966,0.26025187905756175,58,173,173,96,74,10,6,4,209,0.19539933914319846,195.39933914319846,1.145479709662248,0.9086398273096237,1.5,original_v11,0.91005291005291,0.458994708994709,1.5
formal,FORMAL: qfq/front-adjusted ETF closes with the configured adjusted-source fallbacks.,1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-08-20,2026-09-02,252,0.6262953112829093,0.6262953112829093,-0.12849066475983661,1.9198450161100458,0.2727403078382108,23,78,78,43,30,6,4,2,88,0.08043584729721964,80.43584729721964,1.0843456801516298,0.7922480233711887,1.4815309307099005,original_v11,0.8849206349206349,0.40476190476190477,1.4815309307099005
unclassified,,selected_research,score_min_0.5_r2_0.25_no_overlays,Full,2011-12-09,2026-09-02,3578,40.60566785203356,0.30028206143548664,-0.22006724591954274,1.3283759486146958,0.21500325265093667,1153,0,0,0,0,0,0,0,388,0.591,591.0,0.6774734488541084,0.6774734488541084,1.0,selected_research,0.6774734488541084,0.0,1.0
unclassified,,selected_research,score_min_0.5_r2_0.25_no_overlays,10Y,2016-04-21,2026-09-02,2520,17.626900196151666,0.33972005546018047,-0.1741502646232026,1.4251329687053522,0.22248270857605135,552,0,0,0,0,0,0,0,315,0.499,499.0,0.7805555555555556,0.7805555555555556,1.0,selected_research,0.7805555555555556,0.0,1.0
unclassified,,selected_research,score_min_0.5_r2_0.25_no_overlays,5Y,2021-06-25,2026-09-02,1260,7.37867741889667,0.5298015409997416,-0.1707205051303593,1.8107096343355567,0.25217069225571953,219,0,0,0,0,0,0,0,162,0.266,266.0,0.8261904761904761,0.8261904761904761,1.0,selected_research,0.8261904761904761,0.0,1.0
unclassified,,selected_research,score_min_0.5_r2_0.25_no_overlays,3Y,2023-07-24,2026-09-02,756,3.6998172379435497,0.6750469713351757,-0.15044599600423436,1.9777142028637962,0.2805051035196475,107,0,0,0,0,0,0,0,108,0.18000000000000002,180.0,0.8584656084656085,0.8584656084656085,1.0,selected_research,0.8584656084656085,0.0,1.0
unclassified,,selected_research,score_min_0.5_r2_0.25_no_overlays,1Y,2025-08-20,2026-09-02,252,0.5985510840115826,0.5985510840115826,-0.1377428361092673,1.7132072473414215,0.30028046033984523,48,0,0,0,0,0,0,0,47,0.07600000000000001,76.0,0.8095238095238095,0.8095238095238095,1.0,selected_research,0.8095238095238095,0.0,1.0
